arm,seed,mode,series,origin,crps,pinball,nmae,raw_mae,coverage,width,negative_mass
TARGET,92301,raw,0,1437,0.6546273736536686,0.7228733769312858,1.0591874981490337,485.6958770751953,1.0,3.944667029040123,0.0
TARGET,92301,raw,0,1438,0.4010645279496931,0.4626766790589441,0.5111262294160064,234.3795623779297,1.0,3.624441657041642,0.0
TARGET,92301,raw,0,1439,0.37121773860402757,0.42312818618090803,0.5425625426970102,248.7948455810547,1.0,3.0205173588199337,0.041666666666666664
TARGET,92301,raw,0,1440,0.5318447144598921,0.5824734692975106,0.9257480150153717,424.5065155029297,1.0,2.947216828769724,0.0
TARGET,92301,raw,0,1441,0.45636913529593737,0.5049706603578709,0.708076019894935,324.69190216064453,1.0,2.8070124754299814,0.0
TARGET,92301,raw,0,1442,0.2078106938699695,0.24404965277997304,0.2762348649185558,126.66891860961914,1.0,2.176057879260093,0.0
TARGET,92301,raw,0,1443,0.3570071341506501,0.40313496464612686,0.500991169601093,229.7320785522461,1.0,2.6855931760652503,0.0
TARGET,92301,raw,0,1444,1.1670275191929778,1.2215634952352568,1.7425574514996902,799.0586853027344,0.375,3.1548133194373595,0.0
TARGET,92301,raw,0,1445,0.4834273519479878,0.5495201084362176,0.6188595252142379,283.7812194824219,1.0,3.7932687133945406,0.0
TARGET,92301,raw,0,1446,0.8035478810428949,0.845063840730488,1.1924811750483415,546.8183784484863,0.5,2.370410127556122,0.0
TARGET,92301,raw,0,1447,0.48586230487733595,0.5504350448445008,0.7355450093455084,337.28794860839844,1.0,3.6138494542935264,0.0
TARGET,92301,raw,0,1448,0.5433265944909644,0.6017844143771715,0.8481783496334837,388.9365463256836,1.0,3.2461988055984534,0.0
TARGET,92301,raw,0,1449,0.9271111198326568,0.9672095217738901,1.3939360096393336,639.1965293884277,0.75,2.279304399360173,0.027777777777777776
TARGET,92301,raw,0,1450,0.845845614208753,0.9172275439468862,1.3664894064828579,626.6107482910156,1.0,3.969247753966725,0.0
TARGET,92301,raw,0,1451,1.0122210114350145,1.0744250875421582,1.6304657913134857,747.6584777832031,1.0,3.591815850394667,0.0
TARGET,92301,raw,0,1452,0.5772500371548948,0.6222938036431306,0.8758103572256901,401.6073455810547,1.0,2.560471694440313,0.0
TARGET,92301,raw,0,1453,0.38144673250895667,0.44640067952140383,0.3835411240631615,175.874755859375,1.0,3.6260449349740966,0.0
TARGET,92301,raw,0,1454,0.8053847967851238,0.843887765645791,1.2924446714963163,592.657154083252,0.75,2.173117413325693,0.0
TARGET,92301,raw,0,1455,0.6854108008570052,0.7328451137612697,1.0846432351797077,497.36873626708984,0.875,2.6595389405052,0.0
TARGET,92301,raw,0,1456,0.5336311129168776,0.5853903393625015,0.8512694384742114,390.3539810180664,0.875,2.8377118961315886,0.0
TARGET,92301,raw,0,1457,0.25856288849008036,0.2881730314212652,0.28364595946941074,130.06731414794922,0.375,1.7312272747086954,0.0
TARGET,92301,raw,0,1458,0.16701835314806535,0.1942593012237397,0.1944697451439794,89.17510223388672,0.75,1.636200060096094,0.0
TARGET,92301,raw,0,1459,0.18130265795131564,0.2157658641542107,0.15271668618292306,70.02902221679688,1.0,1.9831838584420869,0.0
TARGET,92301,raw,0,1460,0.181896197462242,0.21456146526359626,0.1918042870543497,87.95284271240234,1.0,1.8958172652816616,0.0
TARGET,92301,raw,0,1461,0.6144026946545225,0.6676397020662386,0.9493799886662628,435.34307861328125,0.875,2.9546888929041684,0.0
TARGET,92301,raw,0,1462,0.18811732795888902,0.21861044568755433,0.22791590839438608,104.51201248168945,1.0,1.7752390117486865,0.0
TARGET,92301,raw,0,1463,1.682325174587952,1.7227615397422302,2.272624706881801,1042.1237525939941,0.0,2.2898410647989627,0.0
TARGET,92301,raw,0,1464,0.6268499019310836,0.6862768963203362,1.0150926381619514,465.4759521484375,1.0,3.285680500082025,0.0
TARGET,92301,raw,0,1465,0.24759316388877203,0.2860011647269278,0.3299761046483962,151.31224060058594,1.0,2.183699167472773,0.0
TARGET,92301,raw,0,1466,0.16204684055999677,0.19130494375225238,0.13382626438887166,61.366722106933594,0.875,1.7017918352501857,0.0
TARGET,92301,raw,0,1467,0.7152070164307311,0.7453639109830954,1.1431501184452082,524.1973686218262,0.875,1.7301135586570817,0.0
TARGET,92301,raw,0,1468,0.3162454357157214,0.3634512866143327,0.3958275807794989,181.50877380371094,1.0,2.649821300637864,0.0
TARGET,92301,raw,0,1469,0.3543619386607304,0.39726756327199164,0.5321726235339099,244.0304946899414,1.0,2.4170577571379086,0.0
TARGET,92301,raw,0,1470,0.43556499290093664,0.48229331300995393,0.6633558244461991,304.1852264404297,1.0,2.7000003327579947,0.0
TARGET,92301,raw,0,1471,0.6762856735724508,0.7018211288607923,1.0119658693452354,464.0421562194824,0.625,1.535396474495597,0.0
TARGET,92301,raw,0,1472,0.33457605760545345,0.3823797531845218,0.46437890553898975,212.9433364868164,1.0,2.8171367206100655,0.0
TARGET,92301,raw,0,1473,0.6119355293134384,0.6335214850560417,0.8601963538375482,394.4474639892578,0.5,1.359976059726067,0.0
TARGET,92301,raw,0,1474,0.3931022542887543,0.4311698151673534,0.5613085142455361,257.39090728759766,1.0,2.2838193679794303,0.0
TARGET,92301,raw,0,1475,1.4670543508873979,1.5049633324722294,1.9832061116329864,909.409366607666,0.0,2.2614788197872544,0.0
TARGET,92301,raw,0,1476,0.6747599685123843,0.7263200241597094,1.101065923684616,504.8994445800781,1.0,2.9566415334553224,0.0
TARGET,92301,raw,0,1477,0.7232177393475978,0.7807525024417966,1.1276813389649296,517.1040802001953,1.0,3.287441571855595,0.0
TARGET,92301,raw,0,1478,1.633511139589444,1.6639247454114798,2.107504632823182,966.4070930480957,0.125,1.8176469051676318,0.0
TARGET,92301,raw,0,1479,0.4394250757107625,0.49214138107064737,0.6139336753420004,281.52244567871094,1.0,3.024095131184848,0.0
TARGET,92301,raw,0,1480,0.6391665035433569,0.6926087783111888,0.8560767765866151,392.55841064453125,0.75,3.043780736440029,0.0
TARGET,92301,raw,0,1481,0.7388359411351433,0.7928199236113352,1.165730086014614,534.5515289306641,0.875,3.051540835894738,0.0
TARGET,92301,raw,0,1482,0.5031653550845976,0.5474147236465188,0.7565960454374387,346.9410095214844,0.875,2.553764241626228,0.0
TARGET,92301,raw,0,1483,0.4084989544846504,0.44632968005725504,0.5693267340767812,261.0677032470703,0.875,2.2490489443751756,0.0
TARGET,92301,raw,0,1484,1.5249572127651372,1.5665153575394068,2.0069728439528056,920.3077239990234,0.25,2.4187612285025857,0.0
TARGET,92301,raw,0,1485,0.6851746770163604,0.7427708588147389,1.14713768228067,526.0258865356445,1.0,3.239462901975817,0.027777777777777776
TARGET,92301,raw,0,1486,0.5584331895913281,0.6067774421728536,0.8891338542326983,407.71690368652344,1.0,2.7697968545717786,0.0
TARGET,92301,raw,0,1487,0.9537433920783883,0.9974444522457707,1.391923930191366,638.2738800048828,0.625,2.5657798499727305,0.0
TARGET,92301,raw,0,1488,0.34752466175283336,0.40023717769753875,0.4601802483506018,211.0180206298828,1.0,3.021434073819699,0.0
TARGET,92301,raw,0,1489,0.48891462114678597,0.5350158923369642,0.720060082783534,330.187255859375,0.875,2.622778998445022,0.0
TARGET,92301,raw,0,1490,0.3749493450926227,0.41694706445148927,0.5664892401038604,259.7665557861328,1.0,2.448914776351688,0.0
TARGET,92301,raw,0,1491,0.3562787789705835,0.4056999828777525,0.5216384537800809,239.1999969482422,1.0,2.8764031323175563,0.0
TARGET,92301,raw,0,1492,0.5074190268236094,0.5594323595984025,0.7363080234274939,337.63783264160156,1.0,2.9632574611829483,0.0
TARGET,92301,raw,0,1493,0.7570738799611354,0.8026012424518009,1.0320482885091677,473.2510528564453,0.75,2.639388464012389,0.0
TARGET,92301,raw,0,1494,0.294500560999168,0.3432637776691508,0.34870209407933683,159.89913940429688,1.0,2.8171368869890627,0.0
TARGET,92301,raw,0,1495,0.6400292168503207,0.6897082618227159,0.9735072725923544,446.4067687988281,0.75,2.8620396833874233,0.0
TARGET,92301,raw,0,1496,0.3092046505912264,0.35548581761393805,0.3945964760262839,180.94424438476562,1.0,2.6324221587541805,0.06944444444444445
TARGET,92301,raw,0,1497,0.6825439393477974,0.7330946445447675,0.991848410764455,454.8171920776367,0.875,2.858846837151898,0.0
TARGET,92301,raw,0,1498,0.7077523116851949,0.7603193737287489,1.054522048045596,483.55651092529297,0.75,2.96024831399843,0.0
TARGET,92301,raw,0,1499,0.33650108489171177,0.37612950837631365,0.5372439552014567,246.3559799194336,1.0,2.2316086985601893,0.0
