candidate,baseline,mode,metric,candidate_score,baseline_score,gain_pct
CONTEXT3,FULL9,raw,crps,0.1099687501998537,0.1100026925809563,0.030855954800945717
CONTEXT3,FULL9,raw,pinball,0.12052053542212658,0.1207820136058351,0.2164876838051666
CONTEXT3,FULL9,raw,nmae,0.16115284031421562,0.16084153055027173,-0.19355061026764542
CONTEXT3,FULL9,cal,crps,0.1099687501998537,0.1100026925809563,0.030855954800945717
CONTEXT3,FULL9,cal,pinball,0.12052053542212658,0.1207820136058351,0.2164876838051666
CONTEXT3,FULL9,cal,nmae,0.16115284031421562,0.16084153055027173,-0.19355061026764542
CONTEXT3,MEDIAN1,raw,crps,0.1099687501998537,0.11146182971783034,1.3395433412105584
CONTEXT3,MEDIAN1,raw,pinball,0.12052053542212658,0.12156372289840864,0.858140447996858
CONTEXT3,MEDIAN1,raw,nmae,0.16115284031421562,0.16263559997058052,0.9117066968321375
CONTEXT3,MEDIAN1,cal,crps,0.1099687501998537,0.11146182971783034,1.3395433412105584
CONTEXT3,MEDIAN1,cal,pinball,0.12052053542212658,0.12156372289840864,0.858140447996858
CONTEXT3,MEDIAN1,cal,nmae,0.16115284031421562,0.16263559997058052,0.9117066968321375
CONTEXT3,FIXED3,raw,crps,0.1099687501998537,0.11001594767459014,0.042900575538418195
CONTEXT3,FIXED3,raw,pinball,0.12052053542212658,0.12053353550573649,0.010785449506123257
CONTEXT3,FIXED3,raw,nmae,0.16115284031421562,0.16096580775326685,-0.11619396911637381
CONTEXT3,FIXED3,cal,crps,0.1099687501998537,0.11001594767459014,0.042900575538418195
CONTEXT3,FIXED3,cal,pinball,0.12052053542212658,0.12053353550573649,0.010785449506123257
CONTEXT3,FIXED3,cal,nmae,0.16115284031421562,0.16096580775326685,-0.11619396911637381
CONTEXT3,MEDOID3,raw,crps,0.1099687501998537,0.11006679706984683,0.08907942504307043
CONTEXT3,MEDOID3,raw,pinball,0.12052053542212658,0.1209046472764001,0.31769817201103834
CONTEXT3,MEDOID3,raw,nmae,0.16115284031421562,0.1613666782045993,0.1325167579594999
CONTEXT3,MEDOID3,cal,crps,0.1099687501998537,0.11006679706984683,0.08907942504307043
CONTEXT3,MEDOID3,cal,pinball,0.12052053542212658,0.1209046472764001,0.31769817201103834
