arm,seed,checkpoint,mode,region,crps,pinball,nmae,raw_mae,coverage,width,negative_mass
FULL9,92301,0,raw,tail64,0.11472769573134443,0.1261566493089507,0.16820316278987701,1.654374950607395,0.8624770220588235,0.43110570820415023,0.40707195783405953
MEDIAN1,92301,0,raw,tail64,0.11108776526734536,0.12020290083636376,0.16109203746248368,1.5836828708745945,0.8004365808823529,0.512592431117667,0.3531869127859477
FIXED3,92301,0,raw,tail64,0.10999769932080472,0.12054515067174769,0.16075638755965194,1.580428756394373,0.8825252757352942,0.4922702119539944,0.34977319921023964
MEDOID3,92301,0,raw,tail64,0.11005380116988411,0.12090546612258465,0.1610521925569024,1.5837792605280971,0.8802562040441176,0.4852185930616268,0.3521099987178267
GLOBAL3,92301,0,raw,tail64,0.10991856732961797,0.12050282157224276,0.16096778712214543,1.582688465691236,0.8697725183823529,0.49021253515789087,0.3506869978894335
CONTEXT3,92301,0,raw,tail64,0.10991856732961797,0.12050282157224276,0.16096778712214543,1.582688465691236,0.8697725183823529,0.49021253515789087,0.3506869978894335
FULL9,92302,0,raw,tail64,0.11472769573134443,0.1261566493089507,0.16820316278987701,1.654374950607395,0.8624770220588235,0.43110570820415023,0.40707195783405953
MEDIAN1,92302,0,raw,tail64,0.11131836299672379,0.12024117532413967,0.16111365356814977,1.5841194593927224,0.8095703125,0.5045400664233912,0.29251238255718953
FIXED3,92302,0,raw,tail64,0.11003419602837554,0.1205219203397253,0.16117522794688174,1.5847467322650761,0.9030618106617647,0.4883048986643043,0.29744093818082784
MEDOID3,92302,0,raw,tail64,0.11007979296980955,0.12090382843021556,0.1616811638522962,1.5898517183983558,0.8980928308823529,0.4815874914664123,0.2996639115910443
GLOBAL3,92302,0,raw,tail64,0.11001893307008942,0.1205382492720104,0.16133789350628577,1.5862593147615318,0.8913143382352942,0.4856137523466612,0.29711222596677556
CONTEXT3,92302,0,raw,tail64,0.11001893307008942,0.1205382492720104,0.16133789350628577,1.5862593147615318,0.8913143382352942,0.4856137523466612,0.29711222596677556
