key,phase,updates,fit_seconds,wall_seconds,trainable_parameters,peak_allocated,peak_reserved,selected_checkpoint,raw_val_0,raw_val_128,raw_val_256
smoke_FULL9,smoke,2,0.23447919997852296,0.43592570000328124,294912,487539712,530579456,,,,
smoke_MEDIAN1,smoke,2,0.17287589999614283,0.37496830002055503,294912,290982400,329252864,,,,
smoke_FIXED3,smoke,2,0.14121880001039244,0.3324594000005163,294912,344115712,364904448,,,,
smoke_MEDOID3,smoke,2,0.15473819998442195,0.3374607999867294,294912,344207872,364904448,,,,
smoke_GLOBAL3,smoke,2,0.15873679998912849,0.34601649999967776,294942,352316416,364904448,,,,
smoke_CONTEXT3,smoke,2,0.14963669999269769,0.33408119998057373,299798,352396288,373293056,,,,
FULL9_92301,main,256,13.167011099663796,16.96358829998644,294912,487777280,532676608,256,0.11313015314460184,0.10669158176182697,0.10624080655005026
MEDIAN1_92301,main,256,13.2542000002868,15.738969600002747,294912,289950720,331350016,128,0.10806416860477532,0.10779182574827453,0.10779322406016233
FIXED3_92301,main,256,13.289410699508153,16.009124100004556,294912,343452672,367001600,0,0.10638393802697045,0.10688968775035126,0.10684825777598841
MEDOID3_92301,main,256,13.40378219995182,16.06059620002634,294912,343452672,367001600,0,0.10660232664881328,0.10709774680986225,0.10699936824282065
GLOBAL3_92301,main,256,14.190288000099827,16.89657630000147,294942,351425536,367001600,0,0.10653660093012554,0.10695232746650708,0.10691938281535837
CONTEXT3_92301,main,256,14.13324539992027,16.919977500016103,299798,351495680,367001600,0,0.10653660093012554,0.10695461882199539,0.10692058423670439
FULL9_92302,main,256,12.681207000103313,16.539295800001128,294912,488170496,534773760,128,0.11313015314460184,0.10622049087921286,0.10685341405253594
MEDIAN1_92302,main,256,13.04870059993118,15.519459400005871,294912,289950720,331350016,128,0.10800046812166868,0.10745112221292806,0.10791519702507724
FIXED3_92302,main,256,13.21550800013938,15.868140800012043,294912,343452672,367001600,0,0.10635795749988262,0.10645222790085791,0.10683260042359984
MEDOID3_92302,main,256,13.417571599798976,16.10956919999444,294912,343452672,367001600,0,0.10655341390210674,0.10659506187674073,0.10703424557479162
GLOBAL3_92302,main,256,13.880295899871271,16.549488999997266,294942,351425536,367001600,0,0.1065163938407598,0.10651873096537631,0.10692269133980443
CONTEXT3_92302,main,256,14.005092200095532,16.667740299977595,299798,351495680,367001600,0,0.1065163938407598,0.10651690140683884,0.10691220918940646
