arm,seed,mode,lead,crps,pinball,nmae,raw_mae,coverage,width,negative_mass,native_pinball
FULL9,92301,raw,1,0.006226869785388505,0.007374787757514626,0.006583413550362124,0.06398104876279831,1.0,0.07562880782183587,0.6503267973856208,
FULL9,92301,raw,2,0.004983876483107502,0.005983237715898732,0.004835265208330456,0.047322425772162044,1.0,0.06493238713052825,0.5496323529411765,
FULL9,92301,raw,3,0.005199585799811362,0.006225683193479278,0.0045713372828727165,0.04471836107618669,0.9981617647058824,0.0628389115261355,0.5553513071895424,
FULL9,92301,raw,4,0.005915002509077001,0.007111482754772393,0.005233063282870597,0.05225935666000142,0.9852941176470589,0.07543227747420941,0.5998774509803921,
FULL9,92301,raw,5,0.006964261001865175,0.008337789308384727,0.0058468255407129206,0.05967941485783633,0.9889705882352942,0.08588849528157934,0.5655637254901961,
FULL9,92301,raw,6,0.007826037665724652,0.009326186007300168,0.008406351412076766,0.08444798693937414,1.0,0.09775188094064058,0.579452614379085,
FULL9,92301,raw,7,0.028411237145271467,0.03295369363205025,0.03451798986652078,0.376140421085224,0.9926470588235294,0.27763788177955045,0.39195261437908496,
FULL9,92301,raw,8,0.1353729238296,0.1477018265923413,0.1921951162986321,1.9853132495293668,0.8933823529411765,0.7165607278297595,0.04125816993464052,
FULL9,92301,raw,9,0.2649464756148258,0.28813535140529906,0.39192673510538906,3.900106541593285,0.8731617647058824,1.3090166299698272,0.001633986928104575,
FULL9,92301,raw,10,0.37374755760301537,0.4057091233434777,0.5575949461351657,5.4437797004630895,0.8455882352941176,1.7719369049853015,0.001633986928104575,
FULL9,92301,raw,11,0.4421233706992246,0.47953669841298063,0.6561335355777217,6.361763973610804,0.8566176470588235,2.0790051208082465,0.0024509803921568627,
FULL9,92301,raw,12,0.45535598757923273,0.49433539867555465,0.6725586695250722,6.460375261109541,0.8658088235294118,2.1921130248528296,0.0026552287581699343,
FULL9,92301,raw,13,0.4489798679136263,0.48699804985412243,0.6648881209871839,6.438383341383408,0.8474264705882353,2.1282645777617013,0.0026552287581699343,
FULL9,92301,raw,14,0.40992319775825964,0.4448386763537195,0.6072264344406934,5.914529494612532,0.84375,1.9352723412604425,0.0026552287581699343,
FULL9,92301,raw,15,0.32684450499195955,0.354151175460781,0.48329420343426743,4.757264403304468,0.8180147058823529,1.506387886824776,0.001838235294117647,
FULL9,92301,raw,16,0.19614309762668214,0.2118836827735951,0.2899637479294207,2.922426863136934,0.8363970588235294,0.8861885079735461,0.02369281045751634,
FULL9,92301,raw,17,0.03208051981722247,0.03773284840055397,0.0342594586756936,0.3712128472226836,0.9963235294117647,0.344155692404682,0.35334967320261434,
FULL9,92301,raw,18,0.01990776347941219,0.021541919703660452,0.025857599905629466,0.24630937506170833,0.84375,0.11441416748724652,0.8051470588235294,
FULL9,92301,raw,19,0.005423277533905889,0.00644960756095973,0.006156089119406312,0.05986317290979273,0.9761029411764706,0.0721500943580668,0.639297385620915,
FULL9,92301,raw,20,0.00479418316935985,0.005732768843994581,0.003918942290539627,0.03971691341961131,0.9485294117647058,0.061516776352266524,0.576797385620915,
FULL9,92301,raw,21,0.005264029132702937,0.005869254025686188,0.008034659988296831,0.07992360434111427,0.9283088235294118,0.04208530225853757,0.7551062091503268,
FULL9,92301,raw,22,0.003883018243007772,0.004620055300959455,0.004005392634159589,0.040885797756559705,0.9742647058823529,0.05122833499317147,0.4013480392156863,
FULL9,92301,raw,23,0.0043895566442591055,0.005260247275195822,0.00561274276107168,0.05450488977572497,0.9981617647058824,0.061721738606071615,0.6527777777777777,
FULL9,92301,raw,24,0.005383701594357887,0.006296074626374796,0.007617273954044662,0.07322657327441608,1.0,0.063939497500243,0.7048611111111112,
FULL9,92301,raw,25,0.004577899145394667,0.005374380070223321,0.006082132228815919,0.060027265373398274,1.0,0.05413079721483869,0.6570669934640522,
