arm,seed,mode,series,origin,crps,pinball,nmae,raw_mae,coverage,width,negative_mass,native_pinball
FULL9,92301,raw,0,7008,0.0833091123662286,0.09164066976914545,0.12175628584965202,1.1041720224166056,0.90625,0.4707506294313534,0.3759645061728395,
FULL9,92301,raw,0,7032,0.12556166459497659,0.13831358617916778,0.20642543985869063,1.8720117307821056,0.953125,0.5032502650813242,0.34008487654320985,
FULL9,92301,raw,0,7056,0.1871770388666752,0.20904486108682693,0.31182899950437093,2.827885678576422,0.84375,0.5071848309150333,0.3369984567901234,
FULL9,92301,raw,0,7080,0.20549475347294666,0.22913600218826438,0.33400300085724033,3.0289751890522894,0.671875,0.5473902371793484,0.1732253086419753,
FULL9,92301,raw,0,7104,0.15720526441278512,0.1739781466480262,0.23413258429730108,2.1232796919939574,0.875,0.5360715804492752,0.33352623456790126,
FULL9,92301,raw,0,7128,0.07634380194395894,0.08301503233806289,0.10154067735787888,0.9208426020340994,1.0,0.5198460346886205,0.31462191358024694,
FULL9,92301,raw,0,7152,0.06790826039921222,0.07346494072632977,0.08495498274509557,0.7704318052856252,0.953125,0.5132884797371301,0.41975308641975306,
FULL9,92301,raw,0,7176,0.10120757913638276,0.11093500189026079,0.15939515849933952,1.4455079119361471,0.953125,0.5543051078745562,0.2388117283950617,
FULL9,92301,raw,0,7200,0.1161157529438602,0.12674398471287163,0.18778423279388595,1.7029600948735606,0.90625,0.5191864336279455,0.38020833333333337,
FULL9,92301,raw,0,7224,0.09890617169777707,0.10783776343564938,0.14248031514233514,1.29211216182739,0.90625,0.5156656094019936,0.38425925925925924,
FULL9,92301,raw,0,7248,0.08549035099595959,0.09411013671734866,0.12022178159537153,1.0902560536924284,0.921875,0.5071843096286313,0.3283179012345679,
FULL9,92301,raw,0,7272,0.08588316479390201,0.09458758522400293,0.12336898216243192,1.1187970919709187,0.953125,0.5132042182472647,0.3549382716049383,
FULL9,92301,raw,0,7296,0.08080711370683344,0.08842998844799295,0.11494178810146795,1.042373342308565,0.96875,0.5164078037538904,0.31712962962962965,
FULL9,92301,raw,0,7320,0.08144593049003135,0.08859372114473688,0.10542059301070333,0.9560284183826298,0.984375,0.541081715817914,0.33140432098765427,
FULL9,92301,raw,0,7344,0.11414315268277561,0.12584751503248215,0.1656196662573039,1.5019561459776014,0.953125,0.5579618214834317,0.3099922839506173,
FULL9,92301,raw,0,7368,0.13302189950736068,0.14770320369165352,0.21436804699241882,1.9440409038215876,0.921875,0.5605673144385379,0.2986111111111111,
FULL9,92301,raw,0,7392,0.09499196505339214,0.10461627674923503,0.14394674722374776,1.3054108039941639,0.953125,0.5233331494713609,0.3611111111111111,
