arm,main_fits,main_updates,optimizer_compute_seconds,fit_wall_seconds,trainable_parameters
FULL9,2,512,25.84821809976711,33.50288409998757,294912
MEDIAN1,2,512,26.30290060021798,31.25842900000862,294912
FIXED3,2,512,26.504918699647533,31.8772649000166,294912
MEDOID3,2,512,26.821353799750796,32.17016540002078,294912
GLOBAL3,2,512,28.070583899971098,33.446065299998736,294942
CONTEXT3,2,512,28.138337600015802,33.5877177999937,299798
