candidate,arm,seed,batch,round,repeat,seconds,peak_allocated,peak_reserved
A,FULL9,92301,1,0,0,0.03569369998876937,271946240,318767104
A,FULL9,92301,1,0,1,0.03530800002044998,271946240,318767104
A,FULL9,92301,1,0,2,0.03610409999964759,271946240,318767104
A,FULL9,92301,1,0,3,0.03716629999689758,271946240,318767104
A,FULL9,92301,1,0,4,0.036983099998906255,271946240,318767104
A,FULL9,92301,1,0,5,0.0376420000102371,271946240,318767104
A,FULL9,92301,1,0,6,0.03634510000119917,271946240,318767104
A,FULL9,92301,1,0,7,0.03650709998328239,271946240,318767104
A,FULL9,92301,1,0,8,0.037234999996144325,271946240,318767104
A,FULL9,92301,1,0,9,0.03784580001956783,271946240,318767104
A,FULL9,92301,1,0,10,0.03641590001643635,271946240,318767104
A,FULL9,92301,1,0,11,0.03654689999530092,271946240,318767104
A,FULL9,92301,1,0,12,0.03652449999935925,271946240,318767104
A,FULL9,92301,1,0,13,0.03702809999231249,271946240,318767104
A,FULL9,92301,1,0,14,0.03699429999687709,271946240,318767104
A,FULL9,92301,8,0,0,0.060654799977783114,351306752,385875968
A,FULL9,92301,8,0,1,0.06037829999695532,351306752,385875968
A,FULL9,92301,8,0,2,0.061431000009179115,351306752,385875968
A,FULL9,92301,8,0,3,0.05919169998378493,351306752,385875968
A,FULL9,92301,8,0,4,0.06194549999781884,351306752,385875968
A,FULL9,92301,8,0,5,0.05982580001000315,351306752,385875968
A,FULL9,92301,8,0,6,0.0658578000147827,351306752,385875968
A,FULL9,92301,8,0,7,0.06023879998247139,351306752,385875968
A,FULL9,92301,8,0,8,0.05900979999569245,351306752,385875968
A,FULL9,92301,8,0,9,0.059847199998330325,351306752,385875968
A,FULL9,92301,8,0,10,0.0590807999833487,351306752,385875968
A,FULL9,92301,8,0,11,0.059096199984196573,351306752,385875968
A,FULL9,92301,8,0,12,0.05976609999197535,351306752,385875968
A,FULL9,92301,8,0,13,0.058808299974771217,351306752,385875968
A,FULL9,92301,8,0,14,0.0614538999798242,351306752,385875968
A,MEDIAN1,92301,1,0,0,0.03275260000373237,261875200,306184192
A,MEDIAN1,92301,1,0,1,0.03352120000636205,261875200,306184192
A,MEDIAN1,92301,1,0,2,0.03294209999148734,261875200,306184192
A,MEDIAN1,92301,1,0,3,0.033656999992672354,261875200,306184192
A,MEDIAN1,92301,1,0,4,0.03355969997937791,261875200,306184192
A,MEDIAN1,92301,1,0,5,0.03308669998659752,261875200,306184192
A,MEDIAN1,92301,1,0,6,0.03267360001336783,261875200,306184192
A,MEDIAN1,92301,1,0,7,0.0331241000094451,261875200,306184192
A,MEDIAN1,92301,1,0,8,0.03258389999973588,261875200,306184192
