candidate,arm,seed,mode,region,examples,crps,pinball,nmae,raw_mae,coverage,width,negative_mass,native_pinball
A,FULL9,92301,raw,first64,544,0.15392395738257347,0.16733701159287367,0.2248420965245173,2.2040433872047127,0.9242589613970589,0.7578324518566601,0.34252770118464043,
A,FULL9,92301,raw,tail64,544,0.10998070021858683,0.12077572350254412,0.16076661769687944,1.5809034942086488,0.8916590073529411,0.4774193018728377,0.3442691312636165,
A,FULL9,92301,raw,full128,544,0.13195232880058017,0.1440563675477089,0.1928043571106984,1.8924734407066808,0.907958984375,0.617625876864749,0.34339841622412853,
A,FULL9,92301,cal,first64,544,0.15392395738257347,0.16733701159287367,0.2248420965245173,2.2040433872047127,0.9242589613970589,0.7578324518566601,0.34252770118464043,
A,FULL9,92301,cal,tail64,544,0.10998070021858683,0.12077572350254412,0.16076661769687944,1.5809034942086488,0.8916590073529411,0.4774193018728377,0.3442691312636165,
A,FULL9,92301,cal,full128,544,0.13195232880058017,0.1440563675477089,0.1928043571106984,1.8924734407066808,0.907958984375,0.617625876864749,0.34339841622412853,
A,FULL9,92302,raw,first64,544,0.15392395738257347,0.16733701159287367,0.2248420965245173,2.2040433872047127,0.9242589613970589,0.7578324518566601,0.34252770118464043,
A,FULL9,92302,raw,tail64,544,0.11002468494332578,0.12078830370912609,0.160916443403664,1.5824599378263027,0.9081169577205882,0.47601344142062263,0.2978643280228758,
A,FULL9,92302,raw,full128,544,0.13197432116294963,0.14406265765099988,0.19287926996409066,1.8932516625155078,0.9161879595588235,0.6169229466386414,0.32019601460375813,
A,FULL9,92302,cal,first64,544,0.15392395738257347,0.16733701159287367,0.2248420965245173,2.2040433872047127,0.9242589613970589,0.7578324518566601,0.34252770118464043,
A,FULL9,92302,cal,tail64,544,0.11002468494332578,0.12078830370912609,0.160916443403664,1.5824599378263027,0.9081169577205882,0.47601344142062263,0.2978643280228758,
A,FULL9,92302,cal,full128,544,0.13197432116294963,0.14406265765099988,0.19287926996409066,1.8932516625155078,0.9161879595588235,0.6169229466386414,0.32019601460375813,
A,MEDIAN1,92301,raw,first64,544,0.15392395738257392,0.16733701159287367,0.2248420965245173,2.2040433872047127,0.9242589613970589,0.7578324518566601,0.34252770118464043,
A,MEDIAN1,92301,raw,tail64,544,0.11154845279629703,0.12159628560606188,0.16298719799659475,1.6023514974411441,0.8485179227941176,0.5626717970672165,0.36614072712418294,
A,MEDIAN1,92301,raw,full128,544,0.13273620508943546,0.14446664859946778,0.19391464726055604,1.9031974423229285,0.8863884420955882,0.6602521244619384,0.35433421415441174,
A,MEDIAN1,92301,cal,first64,544,0.15392395738257392,0.16733701159287367,0.2248420965245173,2.2040433872047127,0.9242589613970589,0.7578324518566601,0.34252770118464043,
A,MEDIAN1,92301,cal,tail64,544,0.11154845279629703,0.12159628560606188,0.16298719799659475,1.6023514974411441,0.8485179227941176,0.5626717970672165,0.36614072712418294,
A,MEDIAN1,92301,cal,full128,544,0.13273620508943546,0.14446664859946778,0.19391464726055604,1.9031974423229285,0.8863884420955882,0.6602521244619384,0.35433421415441174,
A,MEDIAN1,92302,raw,first64,544,0.15392395738257392,0.16733701159287367,0.2248420965245173,2.2040433872047127,0.9242589613970589,0.7578324518566601,0.34252770118464043,
A,MEDIAN1,92302,raw,tail64,544,0.11137520663936364,0.12153116019075538,0.1622840019445663,1.595365429310518,0.8980066636029411,0.5700796920218006,0.36321423100490197,
A,MEDIAN1,92302,raw,full128,544,0.13264958201096877,0.14443408589181453,0.19356304923454182,1.8997044082576153,0.9111328125,0.6639560719392305,0.3528709660947712,
A,MEDIAN1,92302,cal,first64,544,0.15392395738257392,0.16733701159287367,0.2248420965245173,2.2040433872047127,0.9242589613970589,0.7578324518566601,0.34252770118464043,
A,MEDIAN1,92302,cal,tail64,544,0.11137520663936364,0.12153116019075538,0.1622840019445663,1.595365429310518,0.8980066636029411,0.5700796920218006,0.36321423100490197,
A,MEDIAN1,92302,cal,full128,544,0.13264958201096877,0.14443408589181453,0.19356304923454182,1.8997044082576153,0.9111328125,0.6639560719392305,0.3528709660947712,
A,FIXED3,92301,raw,first64,544,0.15392395738257406,0.16733701159287367,0.2248420965245173,2.2040433872047127,0.9242589613970589,0.7578324518566601,0.34252770118464043,
A,FIXED3,92301,raw,tail64,544,0.10999769932080472,0.12054515067174769,0.16075638755965194,1.580428756394373,0.8825252757352942,0.4922702119539944,0.34977319921023964,
A,FIXED3,92301,raw,full128,544,0.1319608283516894,0.1439410811323107,0.19279924204208462,1.8922360717995428,0.9033921185661765,0.6250513319053274,0.34615045019744006,
A,FIXED3,92301,cal,first64,544,0.15392395738257406,0.16733701159287367,0.2248420965245173,2.2040433872047127,0.9242589613970589,0.7578324518566601,0.34252770118464043,
A,FIXED3,92301,cal,tail64,544,0.10999769932080472,0.12054515067174769,0.16075638755965194,1.580428756394373,0.8825252757352942,0.4922702119539944,0.34977319921023964,
A,FIXED3,92301,cal,full128,544,0.1319608283516894,0.1439410811323107,0.19279924204208462,1.8922360717995428,0.9033921185661765,0.6250513319053274,0.34615045019744006,
A,FIXED3,92302,raw,first64,544,0.15392395738257406,0.16733701159287367,0.2248420965245173,2.2040433872047127,0.9242589613970589,0.7578324518566601,0.34252770118464043,
A,FIXED3,92302,raw,tail64,544,0.11003419602837554,0.1205219203397253,0.16117522794688174,1.5847467322650761,0.9030618106617647,0.4883048986643043,0.29744093818082784,
A,FIXED3,92302,raw,full128,544,0.1319790767054748,0.1439294659662995,0.19300866223569954,1.8943950597348944,0.9136603860294118,0.6230686752604823,0.31998431968273416,
A,FIXED3,92302,cal,first64,544,0.15392395738257406,0.16733701159287367,0.2248420965245173,2.2040433872047127,0.9242589613970589,0.7578324518566601,0.34252770118464043,
A,FIXED3,92302,cal,tail64,544,0.11003419602837554,0.1205219203397253,0.16117522794688174,1.5847467322650761,0.9030618106617647,0.4883048986643043,0.29744093818082784,
A,FIXED3,92302,cal,full128,544,0.1319790767054748,0.1439294659662995,0.19300866223569954,1.8943950597348944,0.9136603860294118,0.6230686752604823,0.31998431968273416,
A,MEDOID3,92301,raw,first64,544,0.15392395738257406,0.16733701159287367,0.2248420965245173,2.2040433872047127,0.9242589613970589,0.7578324518566601,0.34252770118464043,
A,MEDOID3,92301,raw,tail64,544,0.11005380116988411,0.12090546612258465,0.1610521925569024,1.5837792605280971,0.8802562040441176,0.4852185930616268,0.3521099987178267,
A,MEDOID3,92301,raw,full128,544,0.13198887927622907,0.14412123885772915,0.19294714454070985,1.893911323866405,0.9022575827205882,0.6215255224591435,0.3473188499512337,
A,MEDOID3,92301,cal,first64,544,0.15392395738257406,0.16733701159287367,0.2248420965245173,2.2040433872047127,0.9242589613970589,0.7578324518566601,0.34252770118464043,
A,MEDOID3,92301,cal,tail64,544,0.11005380116988411,0.12090546612258465,0.1610521925569024,1.5837792605280971,0.8802562040441176,0.4852185930616268,0.3521099987178267,
A,MEDOID3,92301,cal,full128,544,0.13198887927622907,0.14412123885772915,0.19294714454070985,1.893911323866405,0.9022575827205882,0.6215255224591435,0.3473188499512337,
A,MEDOID3,92302,raw,first64,544,0.15392395738257406,0.16733701159287367,0.2248420965245173,2.2040433872047127,0.9242589613970589,0.7578324518566601,0.34252770118464043,
A,MEDOID3,92302,raw,tail64,544,0.11007979296980955,0.12090382843021556,0.1616811638522962,1.5898517183983558,0.8980928308823529,0.4815874914664123,0.2996639115910443,
A,MEDOID3,92302,raw,full128,544,0.13200187517619183,0.14412042001154463,0.19326163018840672,1.8969475528015343,0.9111758961397058,0.6197099716615363,0.3210958063878424,
A,MEDOID3,92302,cal,first64,544,0.15392395738257406,0.16733701159287367,0.2248420965245173,2.2040433872047127,0.9242589613970589,0.7578324518566601,0.34252770118464043,
A,MEDOID3,92302,cal,tail64,544,0.11007979296980955,0.12090382843021556,0.1616811638522962,1.5898517183983558,0.8980928308823529,0.4815874914664123,0.2996639115910443,
A,MEDOID3,92302,cal,full128,544,0.13200187517619183,0.14412042001154463,0.19326163018840672,1.8969475528015343,0.9111758961397058,0.6197099716615363,0.3210958063878424,
A,GLOBAL3,92301,raw,first64,544,0.15392395738257406,0.16733701159287367,0.2248420965245173,2.2040433872047127,0.9242589613970589,0.7578324518566601,0.34252770118464043,
A,GLOBAL3,92301,raw,tail64,544,0.10991856732961797,0.12050282157224276,0.16096778712214543,1.582688465691236,0.8697725183823529,0.49021253515789087,0.3506869978894335,
A,GLOBAL3,92301,raw,full128,544,0.131921262356096,0.14391991658255823,0.1929049418233314,1.8933659264479743,0.8970157398897058,0.6240224935072756,0.346607349537037,
A,GLOBAL3,92301,cal,first64,544,0.15392395738257406,0.16733701159287367,0.2248420965245173,2.2040433872047127,0.9242589613970589,0.7578324518566601,0.34252770118464043,
A,GLOBAL3,92301,cal,tail64,544,0.10991856732961797,0.12050282157224276,0.16096778712214543,1.582688465691236,0.8697725183823529,0.49021253515789087,0.3506869978894335,
A,GLOBAL3,92301,cal,full128,544,0.131921262356096,0.14391991658255823,0.1929049418233314,1.8933659264479743,0.8970157398897058,0.6240224935072756,0.346607349537037,
A,GLOBAL3,92302,raw,first64,544,0.15392395738257406,0.16733701159287367,0.2248420965245173,2.2040433872047127,0.9242589613970589,0.7578324518566601,0.34252770118464043,
A,GLOBAL3,92302,raw,tail64,544,0.11001893307008942,0.1205382492720104,0.16133789350628577,1.5862593147615318,0.8913143382352942,0.4856137523466612,0.29711222596677556,
A,GLOBAL3,92302,raw,full128,544,0.13197144522633172,0.14393763043244204,0.19308999501540156,1.8951513509831222,0.9077866498161765,0.6217231021016607,0.319819963575708,
A,GLOBAL3,92302,cal,first64,544,0.15392395738257406,0.16733701159287367,0.2248420965245173,2.2040433872047127,0.9242589613970589,0.7578324518566601,0.34252770118464043,
A,GLOBAL3,92302,cal,tail64,544,0.11001893307008942,0.1205382492720104,0.16133789350628577,1.5862593147615318,0.8913143382352942,0.4856137523466612,0.29711222596677556,
A,GLOBAL3,92302,cal,full128,544,0.13197144522633172,0.14393763043244204,0.19308999501540156,1.8951513509831222,0.9077866498161765,0.6217231021016607,0.319819963575708,
A,CONTEXT3,92301,raw,first64,544,0.15392395738257406,0.16733701159287367,0.2248420965245173,2.2040433872047127,0.9242589613970589,0.7578324518566601,0.34252770118464043,
A,CONTEXT3,92301,raw,tail64,544,0.10991856732961797,0.12050282157224276,0.16096778712214543,1.582688465691236,0.8697725183823529,0.49021253515789087,0.3506869978894335,
A,CONTEXT3,92301,raw,full128,544,0.131921262356096,0.14391991658255823,0.1929049418233314,1.8933659264479743,0.8970157398897058,0.6240224935072756,0.346607349537037,
A,CONTEXT3,92301,cal,first64,544,0.15392395738257406,0.16733701159287367,0.2248420965245173,2.2040433872047127,0.9242589613970589,0.7578324518566601,0.34252770118464043,
A,CONTEXT3,92301,cal,tail64,544,0.10991856732961797,0.12050282157224276,0.16096778712214543,1.582688465691236,0.8697725183823529,0.49021253515789087,0.3506869978894335,
