arm,batch,repetitions,median_seconds,q25,q75,peak_allocated,peak_reserved
FULL9,1,30,0.03713794999930542,0.036812400016060565,0.0377849500218872,237998592,285212672
FULL9,8,30,0.058858299991698004,0.05695687499974156,0.0621081749923178,317359104,352321536
MEDIAN1,1,30,0.03475739998975769,0.03395757499674801,0.035181974999431986,227927552,272629760
MEDIAN1,8,30,0.037035849993117154,0.036658400000305846,0.03813677500875201,236789248,285212672
FIXED3,1,30,0.035904450007365085,0.03527894998842385,0.036736525005835574,230446080,276824064
FIXED3,8,30,0.0401100500166649,0.039762000007613096,0.04087519999302458,256937472,283115520
MEDOID3,1,30,0.03596655000001192,0.03544449999026256,0.03668514999299077,230448128,276824064
MEDOID3,8,30,0.04149249999318272,0.04071322499657981,0.04258622499764897,256944640,283115520
GLOBAL3,1,30,0.036230600002454594,0.03533937498286832,0.03682354999909876,230450688,276824064
GLOBAL3,8,30,0.04128084998228587,0.0409036500059301,0.041763125016586855,256963584,283115520
CONTEXT3,1,30,0.03612725001585204,0.03582885000651004,0.0367401500188862,230470656,276824064
CONTEXT3,8,30,0.04059479999705218,0.040049650000582915,0.04135377499915194,256983552,285212672
F0_NATIVE,1,30,0.028723650000756606,0.028340249991742894,0.029581225011497736,236818944,283115520
F0_NATIVE,8,30,0.04884780001884792,0.04723205000482267,0.04948940000758739,316179456,350224384
F0_MEDIAN,1,30,0.025916449987562373,0.025618374995246995,0.02651204998983303,226747904,272629760
F0_MEDIAN,8,30,0.027913400015677325,0.02764167499844916,0.028527624999696855,235609600,283115520
CHRONOS2,1,30,0.020756900004926138,0.020265250001102686,0.021959350000543054,514749952,536870912
CHRONOS2,8,30,0.02327809999405872,0.022739624997484498,0.024068900012935046,526492672,547356672
