candidate,baseline,seed,mode,metric,candidate_score,baseline_score,gain_pct
CONTEXT3,FULL9,92301,raw,crps,0.10991856732961797,0.10998070021858683,0.05649435659654811
CONTEXT3,FULL9,92301,raw,pinball,0.12050282157224276,0.12077572350254412,0.22595760338840476
CONTEXT3,FULL9,92301,raw,nmae,0.16096778712214543,0.16076661769687944,-0.12513134141149962
CONTEXT3,FULL9,92302,raw,crps,0.11001893307008942,0.11002468494332578,0.005227802505702872
CONTEXT3,FULL9,92302,raw,pinball,0.1205382492720104,0.12078830370912609,0.20701875052228091
CONTEXT3,FULL9,92302,raw,nmae,0.16133789350628577,0.160916443403664,-0.26190617547054984
CONTEXT3,FULL9,92301,cal,crps,0.10991856732961797,0.10998070021858683,0.05649435659654811
CONTEXT3,FULL9,92301,cal,pinball,0.12050282157224276,0.12077572350254412,0.22595760338840476
CONTEXT3,FULL9,92301,cal,nmae,0.16096778712214543,0.16076661769687944,-0.12513134141149962
CONTEXT3,FULL9,92302,cal,crps,0.11001893307008942,0.11002468494332578,0.005227802505702872
CONTEXT3,FULL9,92302,cal,pinball,0.1205382492720104,0.12078830370912609,0.20701875052228091
CONTEXT3,FULL9,92302,cal,nmae,0.16133789350628577,0.160916443403664,-0.26190617547054984
CONTEXT3,MEDIAN1,92301,raw,crps,0.10991856732961797,0.11154845279629703,1.4611457405468986
CONTEXT3,MEDIAN1,92301,raw,pinball,0.12050282157224276,0.12159628560606188,0.8992577596997009
CONTEXT3,MEDIAN1,92301,raw,nmae,0.16096778712214543,0.16298719799659475,1.2389996878721221
CONTEXT3,MEDIAN1,92302,raw,crps,0.11001893307008942,0.11137520663936364,1.2177517871332588
CONTEXT3,MEDIAN1,92302,raw,pinball,0.1205382492720104,0.12153116019075538,0.8170011025867896
CONTEXT3,MEDIAN1,92302,raw,nmae,0.16133789350628577,0.1622840019445663,0.5829955059918346
CONTEXT3,MEDIAN1,92301,cal,crps,0.10991856732961797,0.11154845279629703,1.4611457405468986
CONTEXT3,MEDIAN1,92301,cal,pinball,0.12050282157224276,0.12159628560606188,0.8992577596997009
CONTEXT3,MEDIAN1,92301,cal,nmae,0.16096778712214543,0.16298719799659475,1.2389996878721221
CONTEXT3,MEDIAN1,92302,cal,crps,0.11001893307008942,0.11137520663936364,1.2177517871332588
CONTEXT3,MEDIAN1,92302,cal,pinball,0.1205382492720104,0.12153116019075538,0.8170011025867896
CONTEXT3,MEDIAN1,92302,cal,nmae,0.16133789350628577,0.1622840019445663,0.5829955059918346
CONTEXT3,FIXED3,92301,raw,crps,0.10991856732961797,0.10999769932080472,0.07193967844361104
CONTEXT3,FIXED3,92301,raw,pinball,0.12050282157224276,0.12054515067174769,0.03511472611634758
CONTEXT3,FIXED3,92301,raw,nmae,0.16096778712214543,0.16075638755965194,-0.13150305608544688
CONTEXT3,FIXED3,92302,raw,crps,0.11001893307008942,0.11003419602837554,0.013871104472085172
CONTEXT3,FIXED3,92302,raw,pinball,0.1205382492720104,0.1205219203397253,-0.013548516518047116
CONTEXT3,FIXED3,92302,raw,nmae,0.16133789350628577,0.16117522794688174,-0.1009246653323359
CONTEXT3,FIXED3,92301,cal,crps,0.10991856732961797,0.10999769932080472,0.07193967844361104
CONTEXT3,FIXED3,92301,cal,pinball,0.12050282157224276,0.12054515067174769,0.03511472611634758
CONTEXT3,FIXED3,92301,cal,nmae,0.16096778712214543,0.16075638755965194,-0.13150305608544688
CONTEXT3,FIXED3,92302,cal,crps,0.11001893307008942,0.11003419602837554,0.013871104472085172
CONTEXT3,FIXED3,92302,cal,pinball,0.1205382492720104,0.1205219203397253,-0.013548516518047116
CONTEXT3,FIXED3,92302,cal,nmae,0.16133789350628577,0.16117522794688174,-0.1009246653323359
CONTEXT3,MEDOID3,92301,raw,crps,0.10991856732961797,0.11005380116988411,0.12287975410989471
CONTEXT3,MEDOID3,92301,raw,pinball,0.12050282157224276,0.12090546612258465,0.3330242736367728
CONTEXT3,MEDOID3,92301,raw,nmae,0.16096778712214543,0.1610521925569024,0.05240874614429458
CONTEXT3,MEDOID3,92302,raw,crps,0.11001893307008942,0.11007979296980955,0.055287076835996984
CONTEXT3,MEDOID3,92302,raw,pinball,0.1205382492720104,0.12090382843021556,0.30237186278693207
CONTEXT3,MEDOID3,92302,raw,nmae,0.16133789350628577,0.1616811638522962,0.21231313396780083
CONTEXT3,MEDOID3,92301,cal,crps,0.10991856732961797,0.11005380116988411,0.12287975410989471
CONTEXT3,MEDOID3,92301,cal,pinball,0.12050282157224276,0.12090546612258465,0.3330242736367728
CONTEXT3,MEDOID3,92301,cal,nmae,0.16096778712214543,0.1610521925569024,0.05240874614429458
CONTEXT3,MEDOID3,92302,cal,crps,0.11001893307008942,0.11007979296980955,0.055287076835996984
CONTEXT3,MEDOID3,92302,cal,pinball,0.1205382492720104,0.12090382843021556,0.30237186278693207
CONTEXT3,MEDOID3,92302,cal,nmae,0.16133789350628577,0.1616811638522962,0.21231313396780083
CONTEXT3,GLOBAL3,92301,raw,crps,0.10991856732961797,0.10991856732961797,0.0
CONTEXT3,GLOBAL3,92301,raw,pinball,0.12050282157224276,0.12050282157224276,0.0
CONTEXT3,GLOBAL3,92301,raw,nmae,0.16096778712214543,0.16096778712214543,0.0
CONTEXT3,GLOBAL3,92302,raw,crps,0.11001893307008942,0.11001893307008942,0.0
CONTEXT3,GLOBAL3,92302,raw,pinball,0.1205382492720104,0.1205382492720104,0.0
CONTEXT3,GLOBAL3,92302,raw,nmae,0.16133789350628577,0.16133789350628577,0.0
CONTEXT3,GLOBAL3,92301,cal,crps,0.10991856732961797,0.10991856732961797,0.0
