arm,seed,mode,group,crps,pinball,nmae,raw_mae,coverage,width,negative_mass,native_pinball
FULL9,92301,raw,0,0.10515315213927005,0.11551172996608026,0.15316650987949132,1.3890221256335602,0.9025735294117647,0.4676828893717591,0.35788001543209874,
FULL9,92301,raw,1,0.11073786787641002,0.12174519149252247,0.1645435382883509,1.4133108575316489,0.9051011029411765,0.478343526556892,0.3355006354393609,
FULL9,92301,raw,2,0.11116584415485593,0.12175502141462528,0.15806699344199254,2.0663342750710454,0.8435202205882353,0.4695805264437526,0.2708560275962237,
FULL9,92301,raw,3,0.10427536948066611,0.11445519460759677,0.15198522403405665,0.964767350575986,0.8975183823529411,0.46065347851291083,0.3620529230210603,
FULL9,92301,raw,4,0.11433405217229431,0.1257116042432567,0.1702280048414258,1.4736528908613442,0.91015625,0.4936794238308997,0.355701366194626,
FULL9,92301,raw,5,0.12307460171599797,0.13530117055346083,0.17997025860103136,2.5455561577918537,0.8784466911764706,0.5284775869296409,0.3699363425925925,
FULL9,92301,raw,6,0.10572201411500777,0.11605620159510668,0.1554748113172748,1.4142244909671717,0.8917738970588235,0.45874954463756906,0.35154547930283225,
FULL9,92301,raw,7,0.10538270009419248,0.11566967414770404,0.15269760117141232,1.3803598052365809,0.9041819852941176,0.46218743869927753,0.350680260530138,
FULL9,92301,cal,0,0.10515315213927005,0.11551172996608026,0.15316650987949132,1.3890221256335602,0.9025735294117647,0.4676828893717591,0.35788001543209874,
FULL9,92301,cal,1,0.11073786787641002,0.12174519149252247,0.1645435382883509,1.4133108575316489,0.9051011029411765,0.478343526556892,0.3355006354393609,
FULL9,92301,cal,2,0.11116584415485593,0.12175502141462528,0.15806699344199254,2.0663342750710454,0.8435202205882353,0.4695805264437526,0.2708560275962237,
FULL9,92301,cal,3,0.10427536948066611,0.11445519460759677,0.15198522403405665,0.964767350575986,0.8975183823529411,0.46065347851291083,0.3620529230210603,
FULL9,92301,cal,4,0.11433405217229431,0.1257116042432567,0.1702280048414258,1.4736528908613442,0.91015625,0.4936794238308997,0.355701366194626,
FULL9,92301,cal,5,0.12307460171599797,0.13530117055346083,0.17997025860103136,2.5455561577918537,0.8784466911764706,0.5284775869296409,0.3699363425925925,
FULL9,92301,cal,6,0.10572201411500777,0.11605620159510668,0.1554748113172748,1.4142244909671717,0.8917738970588235,0.45874954463756906,0.35154547930283225,
FULL9,92301,cal,7,0.10538270009419248,0.11566967414770404,0.15269760117141232,1.3803598052365809,0.9041819852941176,0.46218743869927753,0.350680260530138,
FULL9,92302,raw,0,0.10538972636445422,0.11571022525196763,0.15339814623186473,1.3911227677308489,0.9163602941176471,0.466709463745244,0.3116659858387799,
FULL9,92302,raw,1,0.11054720350025272,0.12147301356106288,0.16446350258540954,1.4126234083061504,0.9152113970588235,0.47732556353454214,0.2848725717138707,
FULL9,92302,raw,2,0.11114578097144594,0.12176058849997426,0.15814861411105868,2.0674012630764027,0.8600643382352942,0.467282177407857,0.2387408088235294,
FULL9,92302,raw,3,0.10459474127217354,0.1147375200971709,0.1527599384677939,0.9696850601522944,0.9156709558823529,0.4590635028615154,0.31170002723311546,
FULL9,92302,raw,4,0.11386441789675601,0.1252180849892194,0.16963381586794518,1.4685090351291257,0.9280790441176471,0.4917931737706999,0.30457119190268694,
FULL9,92302,raw,5,0.12321689355200852,0.13540701914259626,0.1805761774835848,2.5541264657671596,0.9032628676470589,0.5275030869326367,0.32139615105301383,
FULL9,92302,raw,6,0.10590352717080623,0.11618543813631665,0.1556455614414554,1.4157776622198393,0.9087775735294118,0.45735713220876195,0.30429318718228027,
FULL9,92302,raw,7,0.10553518881870885,0.11581453999470077,0.15270579104019966,1.3804338402286007,0.9175091911764706,0.4610734309037242,0.30567470043572986,
FULL9,92302,cal,0,0.10538972636445422,0.11571022525196763,0.15339814623186473,1.3911227677308489,0.9163602941176471,0.466709463745244,0.3116659858387799,
