candidate,baseline,mode,gain_pct,lower95,upper95,replicates,block_origins,origins,seed_resampling,series_resampling
CONTEXT3,FULL9,raw,0.030855954800945717,-0.28108855113494646,0.27989499445823984,2000,14,68,False,False
CONTEXT3,FULL9,cal,0.030855954800945717,-0.28108855113494646,0.27989499445823984,2000,14,68,False,False
CONTEXT3,MEDIAN1,raw,1.3395433412105584,1.0291690432492742,2.090030336838336,2000,14,68,False,False
CONTEXT3,MEDIAN1,cal,1.3395433412105584,1.0291690432492742,2.090030336838336,2000,14,68,False,False
CONTEXT3,FIXED3,raw,0.042900575538418195,-0.256996367727903,0.2649665015203907,2000,14,68,False,False
CONTEXT3,FIXED3,cal,0.042900575538418195,-0.256996367727903,0.2649665015203907,2000,14,68,False,False
CONTEXT3,MEDOID3,raw,0.08907942504307043,-0.21866515870930414,0.31657011148054326,2000,14,68,False,False
CONTEXT3,MEDOID3,cal,0.08907942504307043,-0.21866515870930414,0.31657011148054326,2000,14,68,False,False
CONTEXT3,GLOBAL3,raw,0.0,0.0,0.0,2000,14,68,False,False
CONTEXT3,GLOBAL3,cal,0.0,0.0,0.0,2000,14,68,False,False
CONTEXT3,F0_NATIVE,raw,4.148035486247947,0.5934433216416823,8.696005569715597,2000,14,68,False,False
CONTEXT3,F0_NATIVE,cal,4.148035486247947,0.5934433216416823,8.696005569715597,2000,14,68,False,False
CONTEXT3,F0_MEDIAN,raw,8.030873437696673,3.8048917583687483,11.792181451569322,2000,14,68,False,False
CONTEXT3,F0_MEDIAN,cal,3.084356887318296,-0.462696561794283,8.21153037729559,2000,14,68,False,False
CONTEXT3,CHRONOS2,raw,5.4865075601371665,2.220805917572316,9.527010246021774,2000,14,68,False,False
CONTEXT3,CHRONOS2,cal,5.4865075601371665,2.220805917572316,9.527010246021774,2000,14,68,False,False
FULL9,F0_NATIVE,raw,4.118450318615818,0.3490116128915641,8.935927070630209,2000,14,68,False,False
FULL9,F0_NATIVE,cal,4.118450318615818,0.3490116128915641,8.935927070630209,2000,14,68,False,False
FULL9,F0_MEDIAN,raw,8.002486726583037,3.610368980806392,12.01945526102617,2000,14,68,False,False
FULL9,F0_MEDIAN,cal,3.0544434101954177,-0.7002640077617672,8.436742218616859,2000,14,68,False,False
MEDIAN1,FULL9,raw,-1.3264558372516166,-2.2532220008578174,-0.8514214608071455,2000,14,68,False,False
MEDIAN1,FULL9,cal,-1.3264558372516166,-2.2532220008578174,-0.8514214608071455,2000,14,68,False,False
FIXED3,FULL9,raw,-0.012049790166801522,-0.04045572784544427,0.034084213404130814,2000,14,68,False,False
FIXED3,FULL9,cal,-0.012049790166801522,-0.04045572784544427,0.034084213404130814,2000,14,68,False,False
MEDOID3,FULL9,raw,-0.05827538161700119,-0.1218365383158404,0.0015349903117225056,2000,14,68,False,False
MEDOID3,FULL9,cal,-0.05827538161700119,-0.1218365383158404,0.0015349903117225056,2000,14,68,False,False
GLOBAL3,FULL9,raw,0.030855954800945717,-0.28108855113494646,0.27989499445823984,2000,14,68,False,False
GLOBAL3,FULL9,cal,0.030855954800945717,-0.28108855113494646,0.27989499445823984,2000,14,68,False,False
