phi,cond_a,cond_b,series,dSE,dxi,dtheta,se_a,se_b,xi_a,xi_b
0.5,phi0.5_gauss_goff,phi0.5_gauss_gon,0,0.003810320893128716,0.12270739386948165,-0.2893093871073146,0.7681734902226703,0.7719838111157991,-0.3662954454850092,-0.24358805161552755
0.5,phi0.5_gauss_goff,phi0.5_gauss_gon,1,0.021886769836100495,-0.048027416660194694,-0.26587612621350387,0.7532033628193499,0.7750901326554503,-0.08080151176750736,-0.12882892842770205
0.5,phi0.5_gauss_goff,phi0.5_gauss_gon,2,-0.0026007357801267617,-0.07278436237536107,-0.2855049101769239,0.7493327953085729,0.7467320595284461,-0.08816833841314153,-0.1609527007885026
0.5,phi0.5_gauss_goff,phi0.5_gauss_gon,3,0.009168164320797034,0.09736589856705487,-0.13606240398785596,0.7462241975348777,0.7553923618556747,-0.03823229605945454,0.05913360250760033
0.5,phi0.5_gauss_goff,phi0.5_gauss_gon,4,0.00470993164180844,-0.04923438077483347,-0.3048829253204224,0.7776118119465288,0.7823217435883373,-0.11395414899923287,-0.16318852977406634
0.5,phi0.5_gauss_goff,phi0.5_gauss_gon,5,0.010312451956283386,0.07560106699886274,-0.33710968125428087,0.7492759249163814,0.7595883768726648,-0.21173910596244575,-0.136138038963583
0.5,phi0.5_gauss_goff,phi0.5_gauss_gon,6,-0.03620748136485774,0.11828541987992933,-0.2826161634083708,0.8058190890030745,0.7696116076382168,-0.09617516140362839,0.022110258476300933
0.5,phi0.5_gauss_goff,phi0.5_gauss_gon,7,0.030236202219836583,0.30918837351199374,-0.1793771572129399,0.7426626758378857,0.7728988780577223,-0.22837227412512387,0.08081609938686987
0.5,phi0.5_gauss_goff,phi0.5_gauss_gon,8,-0.03754254552241576,0.20298595590093566,-0.1647128359626575,0.7915757378999684,0.7540331923775526,-0.09032479017483648,0.11266116572609917
0.5,phi0.5_gauss_goff,phi0.5_gauss_gon,9,-0.006407999339172243,0.11794158441444952,-0.2576734335186056,0.7735868461872043,0.7671788468480321,-0.21750067095271602,-0.0995590865382665
0.5,phi0.5_gauss_goff,phi0.5_gauss_gon,10,0.01253166259432148,0.1408973370137271,-0.31453643346011495,0.7845340213457948,0.7970656839401162,-0.08373471982838732,0.057162617185339784
0.5,phi0.5_gauss_goff,phi0.5_gauss_gon,11,-0.010299896786342355,0.07370710861830042,-0.3587270351526971,0.7779950977910074,0.767695201004665,-0.14537795484794475,-0.07167084622964433
0.5,phi0.5_gauss_goff,phi0.5_gauss_gon,12,-0.002825834961352247,-0.1095351699474393,-0.2978706356648212,0.7677065734830187,0.7648807385216665,-0.07961349890176485,-0.18914866884920414
0.5,phi0.5_gauss_goff,phi0.5_gauss_gon,13,0.00795636439358105,0.2429207520709329,-0.3948426550665145,0.7551329768080618,0.7630893412016428,-0.06888923843814382,0.17403151363278907
0.5,phi0.5_gauss_goff,phi0.5_gauss_gon,14,0.020201595052045773,-0.025675007191372945,-0.39353144827818165,0.7572182226771565,0.7774198177292023,-0.1986999953553361,-0.22437500254670906
0.5,phi0.5_gauss_goff,phi0.5_gauss_gon,15,0.041996578892783853,0.2123826481909939,-0.2551571268998387,0.738359683033285,0.7803562619260689,-0.20806411602239439,0.004318532168599496
0.5,phi0.5_gauss_goff,phi0.5_gauss_gon,16,0.0273436102434228,-0.006074882011577715,-0.2104333000750671,0.749399253005359,0.7767428632487818,-0.06229249086433533,-0.06836737287591305
0.5,phi0.5_gauss_goff,phi0.5_gauss_gon,17,-0.027993773035879466,0.20784531581174642,-0.133963860753471,0.7697032516124593,0.7417094785765799,-0.21784169877318546,-0.00999638296143903
0.5,phi0.5_gauss_goff,phi0.5_gauss_gon,18,-0.01675972480356669,0.10543575441598885,-0.2657917042898448,0.783205424607385,0.7664456998038183,-0.252240235410034,-0.14680448099404514
0.5,phi0.5_gauss_goff,phi0.5_gauss_gon,19,0.007749897145967188,0.22468268345656983,-0.11700113444400684,0.7615697742058383,0.7693196713518055,-0.2449621032078506,-0.02027941975128077
0.5,phi0.5_gauss_goff,phi0.5_gauss_gon,20,-0.024234781437065256,0.16182458755788276,-0.25837601411673694,0.7721329542297105,0.7478981727926453,-0.235309109337337,-0.07348452177945423
0.5,phi0.5_gauss_goff,phi0.5_gauss_gon,21,0.06086972283694059,0.1915047684440503,-0.09597303597698881,0.7524046532660759,0.8132743761030164,-0.30667154516783746,-0.11516677672378717
0.5,phi0.5_gauss_goff,phi0.5_gauss_gon,22,-0.0795342364954914,-0.059138648688711215,-0.2625804104222965,0.7906922485913034,0.711158012095812,-0.15122379740551833,-0.21036244609422955
0.5,phi0.5_gauss_goff,phi0.5_gauss_gon,23,-0.030036714898354466,-0.07495379611817538,-0.34357596508291044,0.7772906659475992,0.7472539510492447,-0.020178954684856483,-0.09513275080303187
0.5,phi0.5_gauss_goff,phi0.5_gauss_gon,24,0.010515683903050022,0.35443864991965446,-0.4013671819233813,0.7499621760535944,0.7604778599566444,-0.31072287272398263,0.04371577719567182
0.5,phi0.5_gauss_goff,phi0.5_gauss_gon,25,0.004766407006795648,0.01596090796703066,-0.2781093544768607,0.7588235719550591,0.7635899789618548,-0.05913717055595104,-0.04317626258892038
0.5,phi0.5_gauss_goff,phi0.5_gauss_gon,26,-0.010761277303619643,-0.04863642154444936,-0.3394324541964048,0.7496752657252918,0.7389139884216721,-0.11891036956281925,-0.1675467911072686
0.5,phi0.5_gauss_goff,phi0.5_gauss_gon,27,-0.016191929103686498,0.040436646221705425,-0.31625859702290604,0.756907782327304,0.7407158532236175,-0.16368584897093874,-0.12324920274923332
0.5,phi0.5_gauss_goff,phi0.5_gauss_gon,28,-0.0060159894573570405,0.1085875509497139,-0.1845909732016925,0.769890274199486,0.7638742847421289,-0.238250092251661,-0.1296625413019471
0.5,phi0.5_gauss_goff,phi0.5_gauss_gon,29,0.024592205767235642,0.16849899303246238,-0.34460236755977747,0.7596697788042547,0.7842619845714903,-0.2150869765775813,-0.04658798354511892
0.5,phi0.5_gauss_goff,phi0.5_gauss_gon,30,-0.016899441532744475,-0.09493714561606777,-0.25892603488381605,0.7728971975132405,0.755997755980496,-0.04557492896995484,-0.1405120745860226
0.5,phi0.5_gauss_goff,phi0.5_gauss_gon,31,-0.0092365491360209,0.10312415064896935,-0.17496715414889819,0.7744757382298155,0.7652391890937946,-0.17832753458783446,-0.07520338393886511
0.5,phi0.5_gauss_goff,phi0.5_gauss_gon,32,-0.053774975405752934,0.17975132402673724,-0.36134928460350724,0.776235061471798,0.7224600860660451,-0.20777618890049537,-0.02802486487375812
0.5,phi0.5_gauss_goff,phi0.5_gauss_gon,33,0.023462141495329214,0.03886456845374231,-0.41041788135945667,0.7510592204245746,0.7745213619199038,-0.10879094089228097,-0.06992637243853866
0.5,phi0.5_gauss_goff,phi0.5_gauss_gon,34,-0.03484211093593503,0.13303434866156333,-0.31880400025090805,0.7766356791434189,0.7417935682074839,-0.12206614132096363,0.010968207340599709
0.5,phi0.5_gauss_goff,phi0.5_gauss_gon,35,-0.01689042546149655,0.18331462575422033,-0.2265423570894315,0.7850708753134144,0.7681804498519178,-0.22280345250298517,-0.03948882674876483
