arm,condition,series,tau,extension,qs,qs_ref,gap,exceed_rate,sel_choice
F0,phi0.5_gauss_goff,0,0.9,NONE,0.16778963273132363,0.16988490835986148,-0.012333500655040464,0.105,LIN
F0,phi0.5_gauss_goff,0,0.95,NONE,0.09616780663075675,0.09396414167674294,0.023452190534500872,0.03,LIN
F0,phi0.5_gauss_goff,0,0.99,NONE,0.02513371018269602,0.023857313723349937,0.05350126481745643,0.005,LIN
F0,phi0.5_gauss_goff,0,0.995,CLAMP,0.013105012838983424,0.013176064009215267,-0.005392442703841649,0.005,LIN
F0,phi0.5_gauss_goff,0,0.995,LIN,0.01326997452275208,0.013176064009215267,0.007127357112953536,0.0,LIN
F0,phi0.5_gauss_goff,0,0.995,EVT-S,0.014354030421741193,0.013176064009215267,0.08940199529252912,0.005,LIN
F0,phi0.5_gauss_goff,0,0.995,SEL,0.01326997452275208,0.013176064009215267,0.007127357112953536,0.0,LIN
F0,phi0.5_gauss_goff,0,0.999,CLAMP,0.0034820549640133436,0.0031496158044619672,0.10554911461912897,0.005,LIN
F0,phi0.5_gauss_goff,0,0.999,LIN,0.003165870044306752,0.0031496158044619672,0.00516070557613979,0.0,LIN
F0,phi0.5_gauss_goff,0,0.999,EVT-S,0.003267404634688815,0.0031496158044619672,0.03739784073345698,0.0,LIN
F0,phi0.5_gauss_goff,0,0.999,SEL,0.003165870044306752,0.0031496158044619672,0.00516070557613979,0.0,LIN
F0,phi0.5_gauss_goff,1,0.9,NONE,0.17829417846303852,0.1705614138414825,0.04533712782624311,0.135,EVT-S
F0,phi0.5_gauss_goff,1,0.95,NONE,0.09856883790587972,0.09183311571517763,0.07334742089763213,0.045,EVT-S
F0,phi0.5_gauss_goff,1,0.99,NONE,0.02412838417920105,0.02339303522906235,0.03143452497455912,0.0,EVT-S
F0,phi0.5_gauss_goff,1,0.995,CLAMP,0.012064192089600525,0.012678106043332164,-0.048423159708032015,0.0,EVT-S
F0,phi0.5_gauss_goff,1,0.995,LIN,0.013357513994887694,0.012678106043332164,0.0535890731023545,0.0,EVT-S
F0,phi0.5_gauss_goff,1,0.995,EVT-S,0.013040543884422771,0.012678106043332164,0.028587695973818272,0.0,EVT-S
F0,phi0.5_gauss_goff,1,0.995,SEL,0.013040543884422771,0.012678106043332164,0.028587695973818272,0.0,EVT-S
F0,phi0.5_gauss_goff,1,0.999,CLAMP,0.0024128384179201053,0.0030500242112853466,-0.2089117165062494,0.0,EVT-S
F0,phi0.5_gauss_goff,1,0.999,LIN,0.003204840027920297,0.0030500242112853466,0.05075888121219463,0.0,EVT-S
F0,phi0.5_gauss_goff,1,0.999,EVT-S,0.002757218501939452,0.0030500242112853466,-0.09600110984774768,0.0,EVT-S
F0,phi0.5_gauss_goff,1,0.999,SEL,0.002757218501939452,0.0030500242112853466,-0.09600110984774768,0.0,EVT-S
F0,phi0.5_gauss_goff,2,0.9,NONE,0.17935260961669144,0.1801886755399362,-0.0046399471039979545,0.09,EVT-S
F0,phi0.5_gauss_goff,2,0.95,NONE,0.11308805902333148,0.11179877749473195,0.011532161240853211,0.05,EVT-S
F0,phi0.5_gauss_goff,2,0.99,NONE,0.0316975410235145,0.034045335558712864,-0.06896082816247995,0.02,EVT-S
F0,phi0.5_gauss_goff,2,0.995,CLAMP,0.020056551724334074,0.019854344368999022,0.010184539543435234,0.02,EVT-S
F0,phi0.5_gauss_goff,2,0.995,LIN,0.01719732636239349,0.019854344368999022,-0.133825522375559,0.015,EVT-S
F0,phi0.5_gauss_goff,2,0.995,EVT-S,0.015500640291971145,0.019854344368999022,-0.2192821881253273,0.01,EVT-S
F0,phi0.5_gauss_goff,2,0.995,SEL,0.015500640291971145,0.019854344368999022,-0.2192821881253273,0.01,EVT-S
F0,phi0.5_gauss_goff,2,0.999,CLAMP,0.010743760284989735,0.00369949650749782,1.9041141850560503,0.02,EVT-S
F0,phi0.5_gauss_goff,2,0.999,LIN,0.003112736305528104,0.00369949650749782,-0.15860542124597787,0.0,EVT-S
F0,phi0.5_gauss_goff,2,0.999,EVT-S,0.003336810733426508,0.00369949650749782,-0.09803652289879228,0.0,EVT-S
F0,phi0.5_gauss_goff,2,0.999,SEL,0.003336810733426508,0.00369949650749782,-0.09803652289879228,0.0,EVT-S
F0,phi0.5_gauss_goff,3,0.9,NONE,0.1900294673294976,0.18743105304796162,0.01386330727636187,0.125,EVT-S
F0,phi0.5_gauss_goff,3,0.95,NONE,0.11110354720824017,0.10870915259220157,0.022025694791501627,0.075,EVT-S
F0,phi0.5_gauss_goff,3,0.99,NONE,0.030593594562494806,0.029124314517418926,0.050448570873560694,0.02,EVT-S
F0,phi0.5_gauss_goff,3,0.995,CLAMP,0.019531197311643912,0.01616364377137644,0.20834123715538322,0.02,EVT-S
F0,phi0.5_gauss_goff,3,0.995,LIN,0.016157806121609088,0.01616364377137644,-0.00036115926890756267,0.02,EVT-S
F0,phi0.5_gauss_goff,3,0.995,EVT-S,0.01632765530882458,0.01616364377137644,0.010146940861105902,0.015,EVT-S
F0,phi0.5_gauss_goff,3,0.995,SEL,0.01632765530882458,0.01616364377137644,0.010146940861105902,0.015,EVT-S
F0,phi0.5_gauss_goff,3,0.999,CLAMP,0.010681279510963194,0.003106537151827411,2.43832344148209,0.02,EVT-S
F0,phi0.5_gauss_goff,3,0.999,LIN,0.002907114043526498,0.003106537151827411,-0.06419466388277462,0.0,EVT-S
F0,phi0.5_gauss_goff,3,0.999,EVT-S,0.004537331367263821,0.003106537151827411,0.4605752790031017,0.005,EVT-S
F0,phi0.5_gauss_goff,3,0.999,SEL,0.004537331367263821,0.003106537151827411,0.4605752790031017,0.005,EVT-S
F0,phi0.5_gauss_goff,4,0.9,NONE,0.16367243414401855,0.16426813859843142,-0.0036264150765664693,0.08,EVT-S
F0,phi0.5_gauss_goff,4,0.95,NONE,0.09523523111890608,0.09690657861697066,-0.017246997282513554,0.025,EVT-S
F0,phi0.5_gauss_goff,4,0.99,NONE,0.02509705211929614,0.025913532905764845,-0.03150789162704504,0.005,EVT-S
F0,phi0.5_gauss_goff,4,0.995,CLAMP,0.013019646963533367,0.013652805803107092,-0.04637573028612407,0.005,EVT-S
F0,phi0.5_gauss_goff,4,0.995,LIN,0.013349550767395923,0.013652805803107092,-0.022211920398234497,0.0,EVT-S
F0,phi0.5_gauss_goff,4,0.995,EVT-S,0.013498093903625068,0.013652805803107092,-0.011331875785328682,0.0,EVT-S
F0,phi0.5_gauss_goff,4,0.995,SEL,0.013498093903625068,0.013652805803107092,-0.011331875785328682,0.0,EVT-S
F0,phi0.5_gauss_goff,4,0.999,CLAMP,0.0033577228389231445,0.003216029852658524,0.04405835541218317,0.005,EVT-S
F0,phi0.5_gauss_goff,4,0.999,LIN,0.003194514749246442,0.003216029852658524,-0.0066899576178673925,0.0,EVT-S
F0,phi0.5_gauss_goff,4,0.999,EVT-S,0.003542644960380503,0.003216029852658524,0.10155848132192657,0.0,EVT-S
F0,phi0.5_gauss_goff,4,0.999,SEL,0.003542644960380503,0.003216029852658524,0.10155848132192657,0.0,EVT-S
F0,phi0.5_gauss_goff,5,0.9,NONE,0.19290692991134706,0.1883871826481996,0.02399179816594943,0.135,EVT-S
F0,phi0.5_gauss_goff,5,0.95,NONE,0.10614762734534386,0.10401664291030947,0.02048695646591736,0.08,EVT-S
F0,phi0.5_gauss_goff,5,0.99,NONE,0.024054569521726608,0.024312367595670837,-0.01060357749732832,0.005,EVT-S
F0,phi0.5_gauss_goff,5,0.995,CLAMP,0.012198618801215493,0.013032557057398397,-0.0639888436712801,0.005,EVT-S
F0,phi0.5_gauss_goff,5,0.995,LIN,0.013081969274264298,0.013032557057398397,0.003791444506882069,0.0,EVT-S
F0,phi0.5_gauss_goff,5,0.995,EVT-S,0.013643951653816799,0.013032557057398397,0.04691286550487961,0.0,EVT-S
F0,phi0.5_gauss_goff,5,0.995,SEL,0.013643951653816799,0.013032557057398397,0.04691286550487961,0.0,EVT-S
F0,phi0.5_gauss_goff,5,0.999,CLAMP,0.002713858224806599,0.003120914414098593,-0.13042850116399718,0.005,EVT-S
F0,phi0.5_gauss_goff,5,0.999,LIN,0.003121976676436588,0.003120914414098593,0.00034036894225497605,0.0,EVT-S
F0,phi0.5_gauss_goff,5,0.999,EVT-S,0.0031903063122353786,0.003120914414098593,0.02223447648013388,0.0,EVT-S
F0,phi0.5_gauss_goff,5,0.999,SEL,0.0031903063122353786,0.003120914414098593,0.02223447648013388,0.0,EVT-S
F0,phi0.5_gauss_goff,6,0.9,NONE,0.19847374923843686,0.19131526985187045,0.03741718782880743,0.115,EVT-S
F0,phi0.5_gauss_goff,6,0.95,NONE,0.11961260760710164,0.11495505918506907,0.040516254395852824,0.06,EVT-S
F0,phi0.5_gauss_goff,6,0.99,NONE,0.029884482161674785,0.02733316264126173,0.09334154096612379,0.015,EVT-S
F0,phi0.5_gauss_goff,6,0.995,CLAMP,0.01778510997719096,0.013964790682758492,0.2735679596794238,0.015,EVT-S
F0,phi0.5_gauss_goff,6,0.995,LIN,0.015747550960264037,0.013964790682758492,0.12766108121524633,0.01,EVT-S
F0,phi0.5_gauss_goff,6,0.995,EVT-S,0.015620374475095837,0.013964790682758492,0.1185541430550332,0.01,EVT-S
F0,phi0.5_gauss_goff,6,0.995,SEL,0.015620374475095837,0.013964790682758492,0.1185541430550332,0.01,EVT-S
F0,phi0.5_gauss_goff,6,0.999,CLAMP,0.008105612229603902,0.0031350340856866783,1.585494131183744,0.015,EVT-S
F0,phi0.5_gauss_goff,6,0.999,LIN,0.0032177300387570924,0.0031350340856866783,0.026378007642076762,0.0,EVT-S
F0,phi0.5_gauss_goff,6,0.999,EVT-S,0.003710207330745101,0.0031350340856866783,0.18346634497035796,0.0,EVT-S
F0,phi0.5_gauss_goff,6,0.999,SEL,0.003710207330745101,0.0031350340856866783,0.18346634497035796,0.0,EVT-S
F0,phi0.5_gauss_goff,7,0.9,NONE,0.18519275226475224,0.180729917183006,0.024693394161339643,0.11,EVT-S
F0,phi0.5_gauss_goff,7,0.95,NONE,0.10658771034834455,0.10514452671645057,0.01372571332967154,0.065,EVT-S
F0,phi0.5_gauss_goff,7,0.99,NONE,0.02554123294723708,0.027053782131770728,-0.05590897336152412,0.01,EVT-S
F0,phi0.5_gauss_goff,7,0.995,CLAMP,0.013769242829373201,0.014206581889172532,-0.030784256425019918,0.01,EVT-S
F0,phi0.5_gauss_goff,7,0.995,LIN,0.013422583312962193,0.014206581889172532,-0.055185588083496606,0.005,EVT-S
F0,phi0.5_gauss_goff,7,0.995,EVT-S,0.013724838538984483,0.014206581889172532,-0.03390987036475024,0.01,EVT-S
F0,phi0.5_gauss_goff,7,0.995,SEL,0.013724838538984483,0.014206581889172532,-0.03390987036475024,0.01,EVT-S
F0,phi0.5_gauss_goff,7,0.999,CLAMP,0.004351650735082097,0.0030612690608868287,0.4215185429736299,0.01,EVT-S
F0,phi0.5_gauss_goff,7,0.999,LIN,0.0031714511623243224,0.0030612690608868287,0.03599229575905838,0.0,EVT-S
F0,phi0.5_gauss_goff,7,0.999,EVT-S,0.0037000094914364018,0.0030612690608868287,0.20865216936028963,0.01,EVT-S
F0,phi0.5_gauss_goff,7,0.999,SEL,0.0037000094914364018,0.0030612690608868287,0.20865216936028963,0.01,EVT-S
