condition,series,phi,eps,garch,ar_order,xi,theta,threshold,n_exceedances,se,se_resid,kurtosis,xi_true,theta_true,se_true,truth_ar_order,truth_n_exceedances
phi0.5_gauss_goff,0,0.5,gauss,off,25,-0.3662954454850092,1.0,2.431630708011491,149,0.7681734902226703,0.9350804611045863,0.020386916187791204,-0.12386327325279224,0.9997576203973353,0.749344518059875,25,99999
phi0.5_gauss_goff,1,0.5,gauss,off,25,-0.08080151176750736,0.9363054041730693,2.47591497733041,149,0.7532033628193499,0.9403322821371787,0.12837662287549367,-0.12386327325279224,0.9997576203973353,0.749344518059875,25,99999
phi0.5_gauss_goff,2,0.5,gauss,off,25,-0.08816833841314153,0.9928943747144073,2.425471546707647,149,0.7493327953085729,0.9389494047557869,0.006674999599374232,-0.12386327325279224,0.9997576203973353,0.749344518059875,25,99999
phi0.5_gauss_goff,3,0.5,gauss,off,25,-0.03823229605945454,0.8763876654552243,2.5221476235102847,149,0.7462241975348777,0.9349105130153804,-0.0434387495144839,-0.12386327325279224,0.9997576203973353,0.749344518059875,25,99999
phi0.5_gauss_goff,4,0.5,gauss,off,25,-0.11395414899923287,0.9999674876801531,2.432849900521037,149,0.7776118119465288,0.9410059803723578,0.08048513753209052,-0.12386327325279224,0.9997576203973353,0.749344518059875,25,99999
phi0.5_gauss_goff,5,0.5,gauss,off,25,-0.21173910596244575,1.0,2.388643817493958,149,0.7492759249163814,0.9400904824259126,0.05294476019242911,-0.12386327325279224,0.9997576203973353,0.749344518059875,25,99999
phi0.5_gauss_goff,6,0.5,gauss,off,25,-0.09617516140362839,0.9166034999956015,2.3999221628315865,149,0.8058190890030745,0.9392636766730914,-0.0907489371857717,-0.12386327325279224,0.9997576203973353,0.749344518059875,25,99999
phi0.5_gauss_goff,7,0.5,gauss,off,25,-0.22837227412512387,0.9052069722018913,2.472982490550413,149,0.7426626758378857,0.9402637250204642,0.07155565044272949,-0.12386327325279224,0.9997576203973353,0.749344518059875,25,99999
phi0.5_gauss_goff,8,0.5,gauss,off,25,-0.09032479017483648,1.0,2.502019916408557,149,0.7915757378999684,0.9384430032242637,0.058736008194495426,-0.12386327325279224,0.9997576203973353,0.749344518059875,25,99999
phi0.5_gauss_goff,9,0.5,gauss,off,25,-0.21750067095271602,1.0,2.4720703860066946,149,0.7735868461872043,0.9400537934502619,0.04999916056006404,-0.12386327325279224,0.9997576203973353,0.749344518059875,25,99999
