arm,tag,symbol,series,tau,extension,qs,qs_ref,gap,qs_ref_garch_t,gap_vs_garch_t,exceed_rate,n,sel_choice,seeds
F0,f0,AAPL,,0.9,NONE,0.0035503186833956697,0.0034761861203052424,0.02132583254314291,0.0034786678634241377,0.02059720064824022,0.10606989576946659,1631,EVT-S,1
F0,f0,AAPL,,0.95,NONE,0.002272550209519528,0.002167181025522589,0.048620388770490575,0.0021753546931148966,0.0446803074056199,0.061312078479460456,1631,EVT-S,1
F0,f0,AAPL,,0.99,NONE,0.0007095072694357345,0.0006469585130357274,0.09668124793119914,0.0006419407192898197,0.10525356643626504,0.017780502759043533,1631,EVT-S,1
F0,f0,AAPL,,0.995,CLAMP,0.0004704886776955128,0.0003680576141035616,0.27830171056624264,0.0003650021433769716,0.28900250651294246,0.017780502759043533,1631,EVT-S,1
F0,f0,AAPL,,0.995,LIN,0.0004272346857826088,0.0003680576141035616,0.16078208794342808,0.0003650021433769716,0.17049911496372738,0.009196811771919068,1631,EVT-S,1
F0,f0,AAPL,,0.995,EVT-S,0.0004121796546645648,0.0003680576141035616,0.11987808123047938,0.0003650021433769716,0.12925269657627347,0.005518087063151441,1631,EVT-S,1
F0,f0,AAPL,,0.995,SEL,0.0004121796546645648,0.0003680576141035616,0.11987808123047938,0.0003650021433769716,0.12925269657627347,0.005518087063151441,1631,EVT-S,1
F0,f0,AAPL,,0.999,CLAMP,0.0002792738043033354,0.0001085511743826161,1.5727386727200585,0.0001061685817579537,1.630475039593466,0.017780502759043533,1631,EVT-S,1
F0,f0,AAPL,,0.999,LIN,0.0001475241139995058,0.0001085511743826161,0.3590282632919264,0.0001061685817579537,0.3895270291528965,0.0061312078479460455,1631,EVT-S,1
F0,f0,AAPL,,0.999,EVT-S,0.00014110669269519417,0.0001085511743826161,0.29990940676355926,0.0001061685817579537,0.32908145101620945,0.0,1631,EVT-S,1
F0,f0,AAPL,,0.999,SEL,0.00014110669269519417,0.0001085511743826161,0.29990940676355926,0.0001061685817579537,0.32908145101620945,0.0,1631,EVT-S,1
F0,f0,ABT,,0.9,NONE,0.002711142723144835,0.0027637203604851676,-0.019024224770375353,0.0027484133670052833,-0.013560785399999387,0.10913549969343961,1631,EVT-S,1
F0,f0,ABT,,0.95,NONE,0.0017102573825571394,0.0017298928473956194,-0.01135068271311801,0.0017254253450914774,-0.008790854137785908,0.05211526670754139,1631,EVT-S,1
F0,f0,ABT,,0.99,NONE,0.0005354253377349918,0.0005234619659191665,0.022854328670887103,0.0005209824905964982,0.027722327331878738,0.01655426118945432,1631,EVT-S,1
F0,f0,ABT,,0.995,CLAMP,0.0003516417956604174,0.0003162692736647482,0.11184305571575948,0.0003111261746482746,0.13022247664615616,0.01655426118945432,1631,EVT-S,1
F0,f0,ABT,,0.995,LIN,0.00032708625836881596,0.0003162692736647482,0.0342018197933891,0.0003111261746482746,0.05129778533928908,0.00797057020232986,1631,EVT-S,1
F0,f0,ABT,,0.995,EVT-S,0.00032921820392103706,0.0003162692736647482,0.040942738781557964,0.0003111261746482746,0.058150135690818505,0.005518087063151441,1631,EVT-S,1
