origin_time,ALL,RECENT_OR_PLANNED_CHANGE,RECENT_PAST_CHANGE,CHANGE_IN_PLAN,NO_RECENT_OR_PLANNED_CHANGE,MULTIPLE_CHANGES_IN_CONTEXT,past_changes_in_context,plan_changes,last_observed_change_age_s,recent_window_s,age_resolution_s,no_change_does_not_prove_thermal_settling,PERSISTENCE,CURRENT_PLAN_TUNED,CURRENT_PLAN_A1,HISTORY_SUMMARY_PLAN_TUNED,HISTORY_SUMMARY_PLAN_A1,HISTORY_LAGS_PLAN_TUNED,HISTORY_LAGS_PLAN_A1
1340700.0,True,True,False,True,False,True,7,3,10200,3600,300,True,1.3319200883386653,0.7225685381757737,0.9788935696588162,0.8735812275749145,0.6799263771528649,0.4826562588729091,0.47971111532660715
1342500.0,True,True,True,True,False,True,8,2,1200,3600,300,True,1.3763715592322003,0.666087085426006,0.4621414482630581,0.7139692402866468,0.3045614288178832,0.39548024133333115,0.39698140870872106
1344300.0,True,True,True,True,False,True,8,3,3000,3600,300,True,1.1913166962241775,1.0141520834856574,0.325463995068455,0.4519021427330077,0.39021809586559264,1.226902550345664,1.2408493253756245
1346100.0,True,True,False,True,False,True,8,3,4800,3600,300,True,0.9825412903475308,1.438262737830378,0.8923339517079256,0.6918112679186537,0.7526615007964629,2.265181793461099,2.245565052040828
1347900.0,True,True,True,True,False,True,8,3,1200,3600,300,True,0.769476469083973,1.8422361873386224,1.3039122119734614,1.0364144024832542,1.1951348751254551,1.698452264799946,1.686207631312505
1349700.0,True,True,True,True,False,True,8,3,3000,3600,300,True,0.5130266289560441,2.006530948010646,1.6611509252102137,1.239725943313839,1.2484026681088822,0.6999817308849343,0.6743083884376991
1351500.0,True,True,False,True,False,True,7,3,4800,3600,300,True,0.4301526999301417,1.678116975536816,1.550706214743208,1.3260532367184912,1.21376374885357,0.5545920077006407,0.5534471655652674
1353300.0,True,True,False,True,False,True,6,3,6600,3600,300,True,0.4660325787807038,1.655898136581261,1.5613590366884107,1.266406894089822,1.1192540613651474,0.5468730037607143,0.5461071513250239
1355100.0,True,True,False,True,False,True,6,3,8400,3600,300,True,0.6391935954569542,1.7202456108773907,1.5577305511480073,1.0978232145431777,1.0263888529195841,0.924647141363203,0.9280030443877271
1356900.0,True,True,False,True,False,True,6,3,10200,3600,300,True,0.9356915478707353,1.6364012051713175,1.4512361776845455,1.037269179972451,0.9661488356771338,1.6560015400622876,1.6540494188964976
1358700.0,True,True,True,True,False,True,6,3,1200,3600,300,True,0.9777440620759018,1.4539527424352627,1.5882476163090284,1.099294762134247,1.1395268462120371,1.5882376088882433,1.5893491396154462
1360500.0,True,True,True,True,False,True,6,3,3000,3600,300,True,0.7467812889731115,0.9150883286115916,1.6599643487933353,1.208965525728556,1.2780328104414806,0.9631796558742912,0.9645479722673692
