origin_time,ALL,RECENT_OR_PLANNED_CHANGE,RECENT_PAST_CHANGE,CHANGE_IN_PLAN,NO_RECENT_OR_PLANNED_CHANGE,MULTIPLE_CHANGES_IN_CONTEXT,past_changes_in_context,plan_changes,last_observed_change_age_s,recent_window_s,age_resolution_s,no_change_does_not_prove_thermal_settling,PERSISTENCE,CURRENT_PLAN_TUNED,CURRENT_PLAN_A1,HISTORY_SUMMARY_PLAN_TUNED,HISTORY_SUMMARY_PLAN_A1,HISTORY_LAGS_PLAN_TUNED,HISTORY_LAGS_PLAN_A1
1340700.0,True,True,False,True,False,True,7,2,10200,3600,300,True,0.3776783096578645,0.24197884987696958,0.2517581974439551,0.12068647518596502,0.09798769294231609,0.2801701777938632,0.2689888299392133
1342500.0,True,True,True,True,False,True,8,1,1200,3600,300,True,0.5443254349005618,0.15905086861962303,0.0303735165606156,0.10193036192261691,0.08566610016024374,0.2666493335914571,0.2544716693124561
1344300.0,True,True,True,True,False,True,8,1,3000,3600,300,True,0.5420906380840526,0.08216436218934575,0.061693542227348054,0.09790421736933297,0.08362138606546192,0.24118456014629905,0.2318016799186348
1346100.0,True,True,False,True,False,True,8,1,4800,3600,300,True,0.5522790520879634,0.08308758217305486,0.06385168497072395,0.07813814937577963,0.06754038919141199,0.24640266527423194,0.2506710456109668
1347900.0,True,True,True,False,False,True,8,0,1200,3600,300,True,0.601061517504796,0.16012727787825773,0.04983261540032421,0.23805229794331476,0.2041794626974062,0.14820437934210418,0.1587001334678959
1349700.0,True,True,True,False,False,True,8,0,3000,3600,300,True,0.6331785890056238,0.18253571076960876,0.035555235209763225,0.19337664644449384,0.11297750007557994,0.10914960939690133,0.10499880187511934
1351500.0,True,True,False,True,False,True,7,1,4800,3600,300,True,0.6177761006879384,0.04064523755137136,0.04935140549667002,0.07312846766812224,0.035111111716356426,0.27282679767446655,0.29165739461379775
1353300.0,True,True,False,True,False,True,6,1,6600,3600,300,True,0.4758956090252913,0.10577432118719088,0.13328067931278298,0.18601470631157233,0.13294041046120006,0.5302476944508262,0.5364026526130559
1355100.0,True,True,False,True,False,True,6,1,8400,3600,300,True,0.22166150485014904,0.34162044866256025,0.3094490021442364,0.09618037634231531,0.08505681022186451,0.9137237441900842,0.9510030861448774
1356900.0,True,True,False,True,False,True,6,1,10200,3600,300,True,0.4165449123376656,0.21468993130569203,0.3059184742975655,0.07612693358514377,0.050965536317536454,1.3529629274984838,1.3574570959156749
1358700.0,True,True,True,True,False,True,6,1,1200,3600,300,True,0.6530988026453693,0.4357154871664548,0.10977243840075819,0.2887710216030257,0.16333351310750524,1.355281908024833,1.3786284279622454
1360500.0,True,True,True,True,False,True,6,1,3000,3600,300,True,0.6058475320175939,0.9073872535902984,0.1800944616253517,0.6517869144238896,0.2882442563805346,1.195353636357294,1.187860682483399
1362300.0,True,True,False,True,False,True,6,2,4800,3600,300,True,0.45862419785885084,1.3624592725173439,0.29466497801207225,0.8454769073692958,0.35270574554312856,1.1374056768001328,1.095470871652341
1364100.0,True,True,False,True,False,True,5,2,6600,3600,300,True,0.2463822336587024,1.120509656027392,0.24151902704412956,0.8361168367007702,0.33233991271788693,0.8693384872273265,0.8633900823994646
1365900.0,True,True,True,True,False,True,6,1,1200,3600,300,True,0.0695311226893196,0.47774040004571344,0.15309064279860726,0.3600250997810832,0.1417314775497213,0.7929428683377656,0.7326638559213189
1367700.0,True,True,True,True,False,True,6,1,3000,3600,300,True,0.04962852351138736,0.38996311784994003,0.17637562690182781,0.21542018990962694,0.18588170052317565,0.6287023251867391,0.599163678463853
1369500.0,True,True,True,False,False,True,6,0,1200,3600,300,True,0.09730884483413149,0.32062577751406945,0.18562508438217643,0.31569018942164223,0.32993243325939164,0.5545019039134687,0.5336284054584984
1371300.0,True,True,True,False,False,True,6,0,3000,3600,300,True,0.13143167021849914,0.19994912481277538,0.14065599052225033,0.3963385968670276,0.4154931138486475,0.41024640189084965,0.38440194784460147
1373100.0,True,True,False,True,False,True,6,1,4800,3600,300,True,0.12866788939745769,0.09077534540431742,0.12620338646363885,0.33213064627543076,0.3847310980067415,0.3299006972796074,0.32517647882886297
1374900.0,True,True,False,True,False,True,5,1,6600,3600,300,True,0.08000057443566296,0.09788616257530691,0.1257142365763452,0.42594154174306215,0.4748449481525559,0.5561770090383907,0.5378206203578628
