origin_time,ALL,RECENT_OR_PLANNED_CHANGE,RECENT_PAST_CHANGE,CHANGE_IN_PLAN,NO_RECENT_OR_PLANNED_CHANGE,MULTIPLE_CHANGES_IN_CONTEXT,past_changes_in_context,plan_changes,last_observed_change_age_s,recent_window_s,age_resolution_s,no_change_does_not_prove_thermal_settling,PERSISTENCE,CURRENT_PLAN_TUNED,CURRENT_PLAN_A1,HISTORY_SUMMARY_PLAN_TUNED,HISTORY_SUMMARY_PLAN_A1,HISTORY_LAGS_PLAN_TUNED,HISTORY_LAGS_PLAN_A1
2031900.0,True,True,True,True,False,True,9,2,3000,3600,300,True,0.25095705620866227,0.3098143381198876,0.3098143381198876,0.04638151950703436,0.0735081103828416,0.04399496034819587,0.18930598751926908
2033700.0,True,True,False,True,False,True,9,2,4800,3600,300,True,0.46935866014852695,0.3055984227818532,0.3055984227818532,0.05479031044445293,0.17698608192618082,0.02709578826858679,0.230536219729179
2035500.0,True,True,True,True,False,True,10,1,1200,3600,300,True,0.5284092920783058,0.05422715911196718,0.05422715911196718,0.1098435962102684,0.1264238837688675,0.3146543938148909,0.039063837815374335
2037300.0,True,True,True,True,False,True,11,1,1200,3600,300,True,0.3851529101554618,0.07349687310247788,0.07349687310247788,0.2417324741668144,0.20044413649315848,0.22479562327889605,0.04426609008573005
2039100.0,True,True,True,True,False,True,10,1,3000,3600,300,True,0.22167844192946737,0.22004458384967762,0.22004458384967762,0.2598244454006154,0.23132743870298356,0.056178162766734374,0.09803868169010126
2040900.0,True,True,False,True,False,True,9,1,4800,3600,300,True,0.11636802029125685,0.2613602130635731,0.2613602130635731,0.16931174592586254,0.1802554659887979,0.10022677762396388,0.25447069244258813
2042700.0,True,True,False,True,False,True,9,1,6600,3600,300,True,0.18418543116182917,0.10540384396077702,0.10540384396077702,0.01636262306295085,0.021370955269297554,0.03899060782700303,0.22460810998586567
2044500.0,True,True,True,False,False,True,10,0,1200,3600,300,True,0.2557682187251847,0.1805601203456959,0.1805601203456959,0.18273305060780132,0.18212162878536495,0.5019989308995889,0.3126370137987517
2046300.0,True,True,True,False,False,True,9,0,3000,3600,300,True,0.22931722342385305,0.22115562480979398,0.22115562480979398,0.11589716754393464,0.12663474516754528,0.46746019648150866,0.37251656791683746
2048100.0,True,True,False,True,False,True,9,1,4800,3600,300,True,0.13372623231058137,0.2396407306431101,0.2396407306431101,0.14138470958621716,0.15013109400337754,0.4354956021569241,0.4423892236664244
2049900.0,True,True,False,True,False,True,9,1,6600,3600,300,True,0.045636970122709876,0.21494586209263863,0.21494586209263863,0.10775840652291417,0.1306682444541233,0.8291770185501761,0.3323930550055465
2051700.0,True,True,False,True,False,True,8,1,8400,3600,300,True,0.07529132705613506,0.20441499409075684,0.20441499409075684,0.04152922390684447,0.04733158466212236,0.5865602538043788,0.1656974912151649
2053500.0,True,True,False,True,False,True,8,2,10200,3600,300,True,0.15924153168980837,0.18568975293595238,0.18568975293595238,0.03458051758876953,0.028975065228223684,0.5900794834053945,0.09856945240570288
2055300.0,True,True,True,True,False,True,8,2,1200,3600,300,True,0.2277235325544377,0.053245617529393975,0.053245617529393975,0.08907362448759197,0.06672287468955791,0.48034284623581175,0.13455352455352929
2057100.0,True,True,True,True,False,True,7,2,3000,3600,300,True,0.2073793671230509,0.08669135626305054,0.08669135626305054,0.06564250299290582,0.047299684316494485,0.12567428964562785,0.1386506453970663
2058900.0,True,True,False,True,False,True,7,2,4800,3600,300,True,0.1991802201428546,0.194488129237565,0.194488129237565,0.03469341717104631,0.05730733839582077,0.3359085444993231,0.21151910414036243
2060700.0,True,True,True,True,False,True,8,1,1200,3600,300,True,0.35015309771610487,0.22535288796156058,0.22535288796156058,0.20065404926382277,0.15811570738527791,0.28848947423282806,0.3547501583036687
2062500.0,True,True,True,False,False,True,9,0,1200,3600,300,True,0.5388915869992417,0.03255824196095366,0.03255824196095366,0.47781819432589145,0.36882427378487864,0.07862047318376142,0.21999554351667902
2064300.0,True,True,True,False,False,True,9,0,3000,3600,300,True,0.5679192262948073,0.10611077833029488,0.10611077833029488,0.19814518748293844,0.13111043463413333,0.2919022119979407,0.19114740410483932
2066100.0,True,True,False,True,False,True,9,1,4800,3600,300,True,0.5218724158028843,0.028367782736320162,0.028367782736320162,0.08553584743818259,0.0431931254720889,0.2442671627216626,0.19744601847466944
