origin_time,ALL,RECENT_OR_PLANNED_CHANGE,RECENT_PAST_CHANGE,CHANGE_IN_PLAN,NO_RECENT_OR_PLANNED_CHANGE,MULTIPLE_CHANGES_IN_CONTEXT,past_changes_in_context,plan_changes,last_observed_change_age_s,recent_window_s,age_resolution_s,no_change_does_not_prove_thermal_settling,PERSISTENCE,CURRENT_PLAN_TUNED,CURRENT_PLAN_A1,HISTORY_SUMMARY_PLAN_TUNED,HISTORY_SUMMARY_PLAN_A1,HISTORY_LAGS_PLAN_TUNED,HISTORY_LAGS_PLAN_A1
1649370.0,True,True,True,False,False,True,2,0,540,900,30,True,0.0,0.01778271079661901,0.01914816542600685,0.06329529422688249,0.06838721205801714,0.11995336017042367,0.14812239465886706
1649970.0,True,False,False,False,True,True,2,0,1140,900,30,True,0.0,0.0340643106371374,0.04294566642087337,0.06503931624547098,0.09784883549228122,0.08828545175099028,0.1012510516673918
1650570.0,True,False,False,False,True,True,2,0,1740,900,30,True,0.0,0.03557401549038938,0.051097960899916944,0.09204642114989951,0.09068722135850749,0.06799499392686054,0.06378220508347189
1651170.0,True,False,False,False,True,True,2,0,2340,900,30,True,0.0,0.05290935376285499,0.04383064544602841,0.06272712517993757,0.0694325390246585,0.0511911962222977,0.04847943345166641
1651770.0,True,True,False,True,False,True,2,1,2940,900,30,True,2.1297534807240974,0.11623139071844359,0.13323437951460732,0.12361937696300439,0.14810771625247032,0.13807760678915695,0.13587507670139112
1652370.0,True,True,False,True,False,True,2,1,3540,900,30,True,6.154714875728939,0.6602641773738431,0.6692164082674879,0.6448567605186137,0.6257036607112089,0.6661704236462734,0.6726810732963163
1652970.0,True,True,True,False,False,True,2,0,540,900,30,True,0.1334354614922802,0.0959445360092559,0.04354023300454628,0.16230107786876904,0.27706805831329573,0.03304660111659056,0.0974085840806841
1653570.0,True,True,False,True,False,True,2,1,1140,900,30,True,0.8341611527020386,0.21004089149205357,0.1774085813860457,0.11521398777222393,0.12486491010974987,0.13834137839175847,0.10373561291980687
1654170.0,True,True,False,True,False,True,2,1,1740,900,30,True,2.9614116555140355,0.48082599231381284,0.429686078690933,0.32320680276400066,0.26249135008740915,0.42396520002749677,0.4117676832765672
1654770.0,True,True,True,False,False,True,3,0,540,900,30,True,0.1374965880466732,0.2461000217116445,0.11794288785397763,0.07067888256933656,0.06459778321120477,0.15241397417339045,0.12168331752338683
