arm,seed,variant,id,month,path_index,prediction,primary,raw_2pinball,raw_RMSE,raw_MAE,coverage80,width80,median_scaled_MSE,median_scaled_bias_squared,median_scaled_centered_MSE
INIT0,-1,RAW,D_0601,6,0,.cache/covariate_calibration_control_20260916/INIT0_-1_D_0601_k0.npz,0.13541752816363586,56549.34487614707,121158.32068874112,77011.28138563369,0.7916666666666666,253115.64542643228,0.08417848372436876,0.02533791148302552,0.05884057224134324
INIT0,-1,CAL,D_0601,6,0,.cache/covariate_calibration_control_20260916/INIT0_-1_D_0601_k0.npz,0.12564825571400615,52469.769916873054,113902.69349111473,71276.13412837555,0.7916666666666666,253115.64542643228,0.07439822881992582,0.015557656578582595,0.058840572241343224
INIT0,-1,RAW,D_0601,6,3,.cache/covariate_calibration_control_20260916/INIT0_-1_D_0601_k3.npz,0.09640251564348555,40256.96804526031,79439.63172033367,58745.735297309024,0.875,246547.9324544271,0.03618837254656431,0.005242864316533931,0.030945508230030384
INIT0,-1,CAL,D_0601,6,3,.cache/covariate_calibration_control_20260916/INIT0_-1_D_0601_k3.npz,0.09091396668128966,37964.991132509516,75150.87494141131,56068.23526351503,0.9166666666666666,246547.9324544271,0.03238640113933331,0.0014408929093029323,0.030945508230030384
INIT0,-1,RAW,D_0608,6,0,.cache/covariate_calibration_control_20260916/INIT0_-1_D_0608_k0.npz,0.13862922794456353,52188.297272742544,112647.19934395485,80147.96504720052,0.9583333333333334,319151.82755533856,0.08953733244218935,0.0007673585415717277,0.08876997390061762
INIT0,-1,CAL,D_0608,6,0,.cache/covariate_calibration_control_20260916/INIT0_-1_D_0608_k0.npz,0.14159732257173271,53305.6648512324,114577.71947507796,82592.7596001886,0.9583333333333334,319151.82755533856,0.09263256757136971,0.0038625936707520924,0.08876997390061762
INIT0,-1,RAW,D_0608,6,3,.cache/covariate_calibration_control_20260916/INIT0_-1_D_0608_k3.npz,0.20560637257304373,77402.48324331133,176360.29630746026,116168.32651095919,0.8333333333333334,290151.25797526044,0.21946486070755658,0.007310002533672413,0.21215485817388416
INIT0,-1,CAL,D_0608,6,3,.cache/covariate_calibration_control_20260916/INIT0_-1_D_0608_k3.npz,0.20945657335326817,78851.92811043885,179181.36573673453,118292.07418894728,0.7916666666666666,290151.25797526044,0.2265421610615749,0.01438730288769073,0.21215485817388413
INIT0,-1,RAW,D_0615,6,0,.cache/covariate_calibration_control_20260916/INIT0_-1_D_0615_k0.npz,0.27485404685762965,98205.4249955822,244025.07279634842,133686.58051215278,0.7916666666666666,310477.4766438802,0.4664469037788533,0.08409116022144471,0.38235574355740853
INIT0,-1,CAL,D_0615,6,0,.cache/covariate_calibration_control_20260916/INIT0_-1_D_0615_k0.npz,0.2809971187915758,100400.34625269618,249500.17189866668,131869.65342881947,0.7916666666666666,310477.4766438802,0.487612702882737,0.10525695932532857,0.3823557435574085
INIT0,-1,RAW,D_0615,6,3,.cache/covariate_calibration_control_20260916/INIT0_-1_D_0615_k3.npz,0.22713911091573769,81156.86552780878,167956.79814665733,119146.13454861112,0.7083333333333334,294592.89111328125,0.22096754282359812,0.017458768042720906,0.20350877478087717
INIT0,-1,CAL,D_0615,6,3,.cache/covariate_calibration_control_20260916/INIT0_-1_D_0615_k3.npz,0.23133187744511588,82654.94213840393,171823.06763630503,119320.08512073608,0.75,294592.89111328125,0.2312577252798933,0.027748950499016087,0.20350877478087717
INIT0,-1,RAW,D_0622,6,0,.cache/covariate_calibration_control_20260916/INIT0_-1_D_0622_k0.npz,0.18909832383109737,71680.62327833066,158536.60586091105,112439.90532769098,0.9166666666666666,356092.6956380208,0.17491655882251636,0.054476075118356754,0.1204404837041596
