arm,variant,path_index,month,primary,raw_2pinball,raw_RMSE,raw_MAE,coverage80,width80,median_scaled_MSE,median_scaled_bias_squared,median_scaled_centered_MSE
EXODROP,CAL,0,6,0.16118289147319556,61195.759911168796,136034.604500713,86536.58360115162,0.90625,343728.30172856647,0.14167695972100897,0.019793801478066787,0.12188315824294214
EXODROP,CAL,0,7,0.11973399886080709,52942.19826136145,115416.49077299387,71917.06847357021,0.8645833333333334,293760.1126352946,0.07269523451018195,0.010947317334997965,0.061747917175183936
EXODROP,CAL,0,8,0.16777691475557363,79682.21341478052,168079.1569778184,111938.74616312221,0.7395833333333334,242874.58775838217,0.13117389668086007,0.013888191092756273,0.11728570558810378
EXODROP,CAL,0,9,0.13730024044863573,60145.99022818347,140983.01596226823,86246.23243956444,0.8385416666666666,269627.49757766724,0.10624202537643095,0.00499367504919352,0.10124835032723738
EXODROP,CAL,3,6,0.17286101862775383,65096.500567719864,144567.52394640807,92771.50338152083,0.8697916666666666,326065.11191050214,0.1639989341829402,0.013853577692202386,0.15014535649073776
EXODROP,CAL,3,7,0.15398554348940274,67466.94349270043,144951.77540975303,97814.98466472051,0.8229166666666667,280430.9651851654,0.11310599263160992,0.027281218934840538,0.08582477369676932
EXODROP,CAL,3,8,0.20543308674927777,97498.9113513403,207455.1327765556,130189.51327196107,0.6770833333333334,251036.8217722575,0.2081227492701982,0.03567601473521908,0.1724467345349791
EXODROP,CAL,3,9,0.18434316443987897,81392.81495146861,177481.90312084695,113861.58384910272,0.7916666666666666,262176.33491516113,0.18321587577190282,0.013725416146241237,0.16949045962566162
EXODROP,RAW,0,6,0.16026535514609916,61040.76448728854,135736.62652955577,87038.55849541558,0.8697916666666667,274982.6413828532,0.13983134472473968,0.01794818648179749,0.12188315824294214
EXODROP,RAW,0,7,0.11146543779514789,49239.5519876692,110458.61248160707,68926.31128268772,0.84375,235008.09010823566,0.06672720266577697,0.004979285490592962,0.061747917175183936
EXODROP,RAW,0,8,0.1805170766084912,85853.35812843606,171444.92384046965,115239.74680582683,0.609375,194299.67020670575,0.13637770081351247,0.019091995225408685,0.11728570558810378
EXODROP,RAW,0,9,0.14051724157982287,61549.72046993195,140677.88113569852,85442.15374755858,0.7239583333333333,215701.9980621338,0.10681487528594592,0.0055665249587085125,0.10124835032723738
