arm,seed,variant,path_index,primary,raw_2pinball,raw_RMSE,raw_MAE,coverage80,width80,median_scaled_MSE,median_scaled_bias_squared,median_scaled_centered_MSE
EXODROP,61710,CAL,0,0.14713158355260142,63785.04011115257,140413.5037200257,89524.05521247607,0.8385416666666666,289468.2818222046,0.11339640785052969,0.012697925072177553,0.10069848277835208
EXODROP,61710,CAL,3,0.18022632586370202,78334.77104594106,169202.90098752733,109317.14470467008,0.7916666666666666,281551.171541214,0.16836641652034623,0.022980396234592738,0.14538602028575348
EXODROP,61710,RAW,0,0.14872351116264945,64679.55462702716,139704.5349719788,89263.05623881023,0.765625,231574.62545776367,0.11269026630971626,0.011991783531364106,0.1006984827783521
EXODROP,61710,RAW,3,0.18783493218505012,81855.838604239,169945.83374654606,112480.10773976643,0.6927083333333334,225240.9372329712,0.16922611371606344,0.02384009343030994,0.14538602028575348
EXODROP,61711,CAL,0,0.14586543921650458,63198.04079659454,139843.13038687105,88795.26012622817,0.8359375,285526.96802775067,0.1124976502937113,0.01211356740532972,0.10038408288838152
EXODROP,61711,CAL,3,0.17808508078945465,77392.81413567353,168025.26663925452,108001.64787898249,0.7890625,278303.4453503291,0.16585535940797932,0.022287717519658884,0.1435676418883204
EXODROP,61711,RAW,0,0.1476590444021311,64162.14290963572,139454.48702168668,89060.32892693413,0.7578125,228421.57442220053,0.11218529543527127,0.011801212546889718,0.10038408288838152
EXODROP,61711,RAW,3,0.18498783506771424,80578.05770793007,168707.29298380576,110561.4694281684,0.6979166666666666,222642.75628026327,0.1666869032664949,0.023119261378174476,0.1435676418883204
INIT0,-1,CAL,0,0.15053404430258535,64703.12081964774,142606.37017769876,90872.1183747078,0.7994791666666666,256936.74162546793,0.12525340504811772,0.019699423506189393,0.10555398154192829
INIT0,-1,CAL,3,0.1772534450614486,76568.45035987471,166345.81037629925,107404.85186016724,0.7604166666666666,253247.1767578125,0.1653572595179441,0.02580990722516077,0.13954735229278328
INIT0,-1,RAW,0,0.14947867266943127,64334.834112598684,140815.22822035893,90480.13571675618,0.7994791666666666,256936.74162546793,0.12219734965603853,0.01664336811411022,0.10555398154192827
INIT0,-1,RAW,3,0.1771606306124279,76614.83120770591,165201.8824993667,107445.76884375678,0.7552083333333334,253247.1767578125,0.16255134106352123,0.023003988770737886,0.13954735229278328
STD,61710,CAL,0,0.1456720066180483,63321.23920133124,138971.5013211265,88500.2286505223,0.8020833333333334,245252.54525820413,0.10961147994843339,0.010506727845299354,0.09910475210313396
STD,61710,CAL,3,0.18628410769203554,81100.37737686769,173240.16864019522,110992.4950452582,0.7395833333333334,239334.237408638,0.17516571312869225,0.024002974534661888,0.15116273859403032
STD,61710,RAW,0,0.14927680483975098,65038.86146487564,138537.4233172462,89250.0582555135,0.7057291666666666,196202.03620656332,0.10935426014093144,0.010249508037797412,0.09910475210313396
STD,61710,RAW,3,0.19559973399288358,85313.37955696389,173940.06165307353,114454.00223286946,0.6302083333333334,191467.3899269104,0.17583122962741832,0.024668491033387956,0.15116273859403032
STD,61711,CAL,0,0.14707981050897684,63832.861752880315,140457.66563571527,89722.83006910516,0.8151041666666666,279293.94188308716,0.11228115749385761,0.010105466778941818,0.10217569071491575
STD,61711,CAL,3,0.18524614405672235,80613.95645946119,174379.90561830922,112081.56666094775,0.7604166666666667,272527.91385650635,0.17779263932250491,0.02410302012463472,0.15368961919787016
STD,61711,RAW,0,0.152981939855077,66626.42449052558,140524.2015493135,91206.68193562826,0.6822916666666666,186195.96125539145,0.11273166596394443,0.010555975249028631,0.10217569071491575
STD,61711,RAW,3,0.1987317587078222,86688.85173875012,175314.83190317356,115578.13580830891,0.6197916666666666,181685.27590433756,0.17894413233089015,0.025254513133019983,0.15368961919787016
VINTAGE,61710,CAL,0,0.14277957367135544,62008.084487803215,134052.26752000675,88051.07910455909,0.78125,238264.24181874594,0.10429964656665748,0.011217058333007233,0.09308258823365022
VINTAGE,61710,CAL,3,0.17685124621910553,76843.10625774963,165556.72949432704,106788.75144998373,0.7291666666666666,233395.92909034094,0.16013281449409844,0.02122384503826561,0.13890896945583275
VINTAGE,61710,RAW,0,0.14184264473295763,61646.70533767136,133680.66080690248,86171.41769239637,0.7734375,238264.24181874594,0.10426502252829166,0.011182434294641408,0.09308258823365022
VINTAGE,61710,RAW,3,0.17812297522474474,77496.74730241291,166004.67607890716,107742.0068274604,0.71875,233395.92909034094,0.16093873408542805,0.022029764629595255,0.13890896945583275
VINTAGE,61711,CAL,0,0.14316379369868557,62044.300388289084,134793.46082095258,88531.24973891528,0.84375,295475.51166216534,0.10558807915242326,0.011304390532319889,0.09428368862010329
VINTAGE,61711,CAL,3,0.17287180036693914,75046.40161943465,165271.42289597803,106389.94175781305,0.796875,289881.3202412923,0.15998380280483196,0.021348955511626095,0.13863484729320583
VINTAGE,61711,RAW,0,0.14339289481330642,62324.00427194827,134771.3581932387,87109.33687167698,0.765625,236380.40932973227,0.10611142056781289,0.011827731947709556,0.09428368862010329
VINTAGE,61711,RAW,3,0.1783575028162457,77623.39720128458,166075.63652934023,108124.66026136611,0.71875,231905.05619303387,0.16137897586719469,0.022744128573988835,0.13863484729320583
