candidate,baseline,candidate_variant,baseline_variant,path_index,seed,candidate_primary,baseline_primary,gain_percent,positive_months,ci_low,ci_high
VINTAGE,STD,RAW,RAW,0,-1,0.142617769773132,0.15112937234741397,5.6319975674322365,4,1.9843875914726639,7.889300374369057
VINTAGE,STD,RAW,RAW,0,61710,0.14184264473295763,0.14927680483975098,4.98011738312187,3,0.9325480759557516,7.396986194470455
VINTAGE,STD,RAW,RAW,0,61711,0.14339289481330642,0.152981939855077,6.268089586819517,4,3.0868773456376837,8.371288412634751
VINTAGE,STD,RAW,RAW,3,-1,0.17824023902049524,0.1971657463503529,9.598780559087604,4,5.17776820313784,13.479625071748735
VINTAGE,STD,RAW,RAW,3,61710,0.17812297522474477,0.19559973399288358,8.93496039661008,4,4.361384324608461,12.838331411968774
VINTAGE,STD,RAW,RAW,3,61711,0.1783575028162457,0.19873175870782223,10.252138875060721,4,5.980595346364943,14.114456973887233
VINTAGE,STD,CAL,CAL,0,-1,0.1429716836850205,0.14637590856351257,2.325672927942902,3,-0.138905128915078,4.157585327548822
VINTAGE,STD,CAL,CAL,0,61710,0.14277957367135544,0.1456720066180483,1.985579119725327,3,-0.5214033225643809,4.247346906614614
VINTAGE,STD,CAL,CAL,0,61711,0.1431637936986856,0.14707981050897684,2.6625114600975337,3,0.21607407576261684,4.374769360059877
VINTAGE,STD,CAL,CAL,3,-1,0.17486152329302232,0.18576512587437893,5.869563800005186,3,1.7187810170094098,9.131726656713015
VINTAGE,STD,CAL,CAL,3,61710,0.1768512462191055,0.18628410769203557,5.063696302276335,3,0.9579467444404992,8.461083256480723
VINTAGE,STD,CAL,CAL,3,61711,0.17287180036693914,0.18524614405672235,6.679946701613497,3,2.477009073825198,9.81521203879249
VINTAGE,EXODROP,CAL,CAL,0,-1,0.1429716836850205,0.146498511384553,2.4074153834059855,4,0.8579228699770136,4.390500432074798
VINTAGE,EXODROP,CAL,CAL,0,61710,0.14277957367135544,0.14713158355260142,2.95790324290915,4,1.0855963810229676,5.656865005485003
VINTAGE,EXODROP,CAL,CAL,0,61711,0.1431637936986856,0.14586543921650458,1.8521491672945207,3,0.17662898304676364,3.4277750857131655
VINTAGE,EXODROP,CAL,CAL,3,-1,0.17486152329302232,0.17915570332657832,2.396898314606401,3,-0.10788653067702465,4.972059955478144
VINTAGE,EXODROP,CAL,CAL,3,61710,0.1768512462191055,0.18022632586370202,1.872689590947416,3,-0.048213416489407974,4.525215566074931
VINTAGE,EXODROP,CAL,CAL,3,61711,0.17287180036693914,0.17808508078945465,2.927409976964345,2,-0.16834566186601532,5.520632262293759
VINTAGE,INIT0,CAL,CAL,0,-1,0.1429716836850205,0.15053404430258538,5.023687932255333,4,0.5370125142431895,11.26317495697685
VINTAGE,INIT0,CAL,CAL,0,61710,0.14277957367135544,0.15053404430258538,5.151306913433377,3,0.16380641886518726,11.995683886610559
VINTAGE,INIT0,CAL,CAL,0,61711,0.1431637936986856,0.15053404430258538,4.896068951077271,4,0.4932614163541175,10.53066602734314
VINTAGE,INIT0,CAL,CAL,3,-1,0.17486152329302232,0.17725344506144858,1.3494359828081475,2,-4.237435070296004,7.910570066409109
VINTAGE,INIT0,CAL,CAL,3,61710,0.1768512462191055,0.17725344506144858,0.22690607914765556,1,-5.443332678331495,7.49543218285328
VINTAGE,INIT0,CAL,CAL,3,61711,0.17287180036693914,0.17725344506144858,2.4719658864686394,2,-3.031537462260529,8.325707949964956
STD,VINTAGE,CAL,RAW,0,-1,0.14637590856351257,0.142617769773132,-2.6351125784387093,2,-8.882401646633875,0.5041557385142664
STD,VINTAGE,CAL,RAW,0,61710,0.1456720066180483,0.14184264473295763,-2.699725383928142,1,-8.646977302169576,0.753224112645588
STD,VINTAGE,CAL,RAW,0,61711,0.14707981050897684,0.14339289481330642,-2.5711983152796276,1,-9.64504747206481,1.0171703368271359
STD,VINTAGE,CAL,RAW,3,-1,0.18576512587437893,0.17824023902049524,-4.221766586061654,0,-9.676815216245874,-0.668314806273692
STD,VINTAGE,CAL,RAW,3,61710,0.18628410769203557,0.17812297522474477,-4.581740484063655,0,-10.19695563392428,-0.6983305478430961
STD,VINTAGE,CAL,RAW,3,61711,0.18524614405672235,0.1783575028162457,-3.8622660284573054,0,-9.152865503266291,-0.638390832509395
