arm,seed,role,step,subgroup,primary,contribution,active_series,positions,median_mae,signed_bias,interval80_coverage,interval80_width,E_model_over_E_F0
F0,,F0,0,all,0.8135490853638611,0.8135490853638611,256,73728,0.7415710104653901,-0.4342334550933354,0.7801378038194444,1.4537481319878343,1.0
F0,,F0,0,censored,4.788526364616298,0.40920797399183495,253,7310,3.0255166903747783,-3.0255166903747783,0.0028058094771599216,1.5191079824385907,
F0,,F0,0,uncensored,0.4606493266206281,0.4043411113720261,256,66418,0.4613778945163324,-0.06502557398679701,0.8621094709308162,1.4511810556153386,
NAIVE,41000,selected,360,all,0.8079337116128528,0.8079337116128528,256,73728,0.7349201869779449,-0.4813025369796927,0.7947184244791666,1.4733236211192902,0.993097682915473
NAIVE,41000,selected,360,censored,4.815612326576605,0.41443592468321755,253,7310,3.0699907076578987,-3.0699907076578987,0.0020163831127914303,1.5597416935187618,
NAIVE,41000,selected,360,uncensored,0.4478743758828379,0.39349778692963516,256,66418,0.4438706928118772,-0.11354405175645832,0.878053221210518,1.4687093556505417,
NAIVE,41000,endpoint,360,all,0.8079337116128528,0.8079337116128528,256,73728,0.7349201869779449,-0.4813025369796927,0.7947184244791666,1.4733236211192902,0.993097682915473
NAIVE,41000,endpoint,360,censored,4.815612326576605,0.41443592468321755,253,7310,3.0699907076578987,-3.0699907076578987,0.0020163831127914303,1.5597416935187618,
NAIVE,41000,endpoint,360,uncensored,0.4478743758828379,0.39349778692963516,256,66418,0.4438706928118772,-0.11354405175645832,0.878053221210518,1.4687093556505417,
DROP,41000,selected,15,all,0.813389227298227,0.813389227298227,256,73728,0.7392280028549955,-0.46812947379382924,0.7875569661458334,1.4271009794390415,0.9998035053219161
DROP,41000,selected,15,censored,4.8442841729178445,0.4141623980853574,253,7310,3.061346525881148,-3.061346525881148,0.0024834742908396152,1.4938232264979163,
DROP,41000,selected,15,uncensored,0.4546511756132057,0.39922682921286967,256,66418,0.4513037523162653,-0.09904978001174645,0.8688642193783321,1.4240599723191938,
DROP,41000,endpoint,360,all,0.8337041303809088,0.8337041303809088,256,73728,0.7610044982164597,-0.6395600078516447,0.7241753472222222,1.3268087277566385,1.0247742212235829
DROP,41000,endpoint,360,censored,5.056770586285137,0.4450715760876045,253,7310,3.2476684428939127,-3.2476684428939127,0.0014034484733917625,1.4214615684396261,
DROP,41000,endpoint,360,uncensored,0.44169039581544556,0.38863255429330434,256,66418,0.4305913262946359,-0.2683686774299683,0.7948734308232315,1.318467718917388,
TAIL,41000,selected,15,all,0.8133747949164299,0.8133747949164299,256,73728,0.7392275082174555,-0.46812376641976217,0.7876519097222223,1.4273158662712275,0.9997857652960753
TAIL,41000,selected,15,censored,4.844038028555059,0.4141423932377015,253,7310,3.0613398107565604,-3.0613398107565604,0.0024834742908396152,1.4940522635693092,
TAIL,41000,selected,15,uncensored,0.4546573963987999,0.3992324016787285,256,66418,0.4513031806798866,-0.09904441174439424,0.8689856642503722,1.4242736138419363,
TAIL,41000,endpoint,360,all,0.8337816969630332,0.8337816969630332,256,73728,0.7609885871961912,-0.6398927518243884,0.7266710069444444,1.3255670290108714,1.0248695646804433
TAIL,41000,endpoint,360,censored,5.060367757224055,0.44519357484546285,253,7310,3.2480040996009114,-3.2480040996009114,0.0014034484733917625,1.4202418860452444,
TAIL,41000,endpoint,360,uncensored,0.44163571712298666,0.3885881221175703,256,66418,0.43054016322972544,-0.26871164891017374,0.7977770127877908,1.3172108056742222,
NAIVE,41001,selected,360,all,0.8078446581789163,0.8078446581789163,256,73728,0.7349505144253694,-0.4829668071735681,0.7942301432291666,1.4772769953532991,0.9929882200256012
NAIVE,41001,selected,360,censored,4.816870513672422,0.41460014780742044,253,7310,3.071568158267573,-3.071568158267573,0.0022798877241221286,1.5638276829260036,
NAIVE,41001,selected,360,uncensored,0.4475659545207541,0.3932445103714958,256,66418,0.4433176718177495,-0.11519392138282135,0.8764930556851642,1.4725038703772273,
NAIVE,41001,endpoint,360,all,0.8078446581789163,0.8078446581789163,256,73728,0.7349505144253694,-0.4829668071735681,0.7942301432291666,1.4772769953532991,0.9929882200256012
NAIVE,41001,endpoint,360,censored,4.816870513672422,0.41460014780742044,253,7310,3.071568158267573,-3.071568158267573,0.0022798877241221286,1.5638276829260036,
NAIVE,41001,endpoint,360,uncensored,0.4475659545207541,0.3932445103714958,256,66418,0.4433176718177495,-0.11519392138282135,0.8764930556851642,1.4725038703772273,
DROP,41001,selected,15,all,0.8133281616535626,0.8133281616535626,256,73728,0.7388058308129228,-0.4708094215887375,0.7892388237847222,1.4252206339740268,0.999728444522558
DROP,41001,selected,15,censored,4.8482655675026,0.41449007452994435,253,7310,3.063837153704788,-3.063837153704788,0.0024834742908396152,1.4919992085779679,
DROP,41001,selected,15,uncensored,0.4541888070546807,0.39883808712361823,256,66418,0.45030445564453836,-0.10183159858177188,0.8707850859886416,1.4221942401691527,
DROP,41001,endpoint,360,all,0.8346993810648702,0.8346993810648702,256,73728,0.7624338425757032,-0.6454801701390368,0.7516276041666666,1.3252112531865756,1.0259975655821056
DROP,41001,endpoint,360,censored,5.065226287869478,0.4463359058667328,253,7310,3.2546122421080876,-3.2546122421080876,0.001666953084722461,1.4194427961437568,
DROP,41001,endpoint,360,uncensored,0.4413962243042861,0.3883634751981374,256,66418,0.4304174336201259,-0.2740491093948474,0.8260620099862712,1.3169514827998778,
TAIL,41001,selected,15,all,0.8133144665486971,0.8133144665486971,256,73728,0.738802520014064,-0.47082582040560583,0.7893337673611112,1.4254122909130926,0.9997116107443486
TAIL,41001,selected,15,censored,4.8480605904921035,0.41447368149194436,253,7310,3.0638531107296547,-3.0638531107296547,0.0024834742908396152,1.4922032146707405,
TAIL,41001,selected,15,uncensored,0.4541916626890783,0.3988407850567528,256,66418,0.45029680050570087,-0.10184871790317676,0.870892254500056,1.4223849338047505,
TAIL,41001,endpoint,360,all,0.8348615773081874,0.8348615773081874,256,73728,0.7626696710079304,-0.646226135884124,0.7479790581597221,1.3261449104277956,1.0261969343064214
TAIL,41001,endpoint,360,censored,5.067835491559913,0.4464994067076786,253,7310,3.2552723412400906,-3.2552723412400906,0.001666953084722461,1.420345545740589,
TAIL,41001,endpoint,360,uncensored,0.44138913471461205,0.38836217060050876,256,66418,0.43050346033364517,-0.2748243502348203,0.8219563937578869,1.3178855495237018,
