role,arm,subgroup,primary,contribution,median_mae,signed_bias,interval80_coverage,interval80_width
selected,F0,all,0.8135490853638611,0.8135490853638611,0.7415710104653901,-0.4342334550933354,0.7801378038194444,1.4537481319878343
selected,F0,censored,4.788526364616298,0.40920797399183495,3.0255166903747783,-3.0255166903747783,0.0028058094771599216,1.5191079824385907
selected,F0,uncensored,0.4606493266206281,0.4043411113720261,0.4613778945163324,-0.06502557398679701,0.8621094709308162,1.4511810556153386
selected,NAIVE,all,0.8078891848958845,0.8078891848958845,0.7349353507016572,-0.4821346720766304,0.7944742838541666,1.4753003082362945
selected,NAIVE,censored,4.816241420124513,0.414518036245319,3.070779432962736,-3.070779432962736,0.0021481354184567794,1.5617846882223827
selected,NAIVE,uncensored,0.447720165201796,0.3933711486505655,0.44359418231481335,-0.11436898656963984,0.8772731384478412,1.4706066130138846
selected,DROP,all,0.8133586944758948,0.8133586944758948,0.7390169168339591,-0.4694694476912834,0.7883978949652778,1.4261608067065341
selected,DROP,censored,4.846274870210222,0.41432623630765086,3.062591839792968,-3.062591839792968,0.0024834742908396152,1.4929112175379422
selected,DROP,uncensored,0.4544199913339432,0.39903245816824395,0.4508041039804018,-0.10044068929675917,0.8698246526834869,1.4231271062441733
selected,TAIL,all,0.8133446307325636,0.8133446307325636,0.7390150141157598,-0.469474793412684,0.7884928385416667,1.42636407859216
selected,TAIL,censored,4.846049309523581,0.4143080373648229,3.0625964607431078,-3.0625964607431078,0.0024834742908396152,1.4931277391200248
selected,TAIL,uncensored,0.4544245295439391,0.39903659336774067,0.45079999059279374,-0.1004465648237855,0.869938959375214,1.4233292738233434
endpoint,F0,all,0.8135490853638611,0.8135490853638611,0.7415710104653901,-0.4342334550933354,0.7801378038194444,1.4537481319878343
endpoint,F0,censored,4.788526364616298,0.40920797399183495,3.0255166903747783,-3.0255166903747783,0.0028058094771599216,1.5191079824385907
endpoint,F0,uncensored,0.4606493266206281,0.4043411113720261,0.4613778945163324,-0.06502557398679701,0.8621094709308162,1.4511810556153386
endpoint,NAIVE,all,0.8078891848958845,0.8078891848958845,0.7349353507016572,-0.4821346720766304,0.7944742838541666,1.4753003082362945
endpoint,NAIVE,censored,4.816241420124513,0.414518036245319,3.070779432962736,-3.070779432962736,0.0021481354184567794,1.5617846882223827
endpoint,NAIVE,uncensored,0.447720165201796,0.3933711486505655,0.44359418231481335,-0.11436898656963984,0.8772731384478412,1.4706066130138846
endpoint,DROP,all,0.8342017557228896,0.8342017557228896,0.7617191703960815,-0.6425200889953407,0.7379014756944444,1.326009990471607
endpoint,DROP,censored,5.060998437077307,0.44570374097716864,3.2511403425010004,-3.2511403425010004,0.0015352007790571118,1.4204521822916916
endpoint,DROP,uncensored,0.4415433100598658,0.3884980147457209,0.4305043799573809,-0.27120889341240784,0.8104677204047513,1.3177096008586329
endpoint,TAIL,all,0.8343216371356104,0.8343216371356104,0.7618291291020608,-0.6430594438542563,0.7373250325520833,1.3258559697193335
endpoint,TAIL,censored,5.064101624391984,0.44584649077657074,3.251638220420501,-3.251638220420501,0.0015352007790571118,1.4202937158929165
endpoint,TAIL,uncensored,0.44151242591879936,0.38847514635903957,0.4305218117816853,-0.27176799957249703,0.8098667032728388,1.3175481775989621
