dataset,arm,pair,kind,precision,passed,legacy_fp32_1e5_pass,raw_scaled_max_abs,raw_gradient_relative_l2,update_rms_error,update_rms_reference,update_relative_l2,exp_avg_rms_error,exp_avg_sq_rms_error,sign_flips
ettm2,standard,"[16640, 17664]",microbatch,fp32,True,False,3.473266636078165e-06,4.641473179744972e-05,5.093026219820994e-09,5.850230415612662e-05,8.705684832906719e-05,4.273117681135286e-09,2.8163315727695507e-13,0
ettm2,standard,"[16640, 17664]",microbatch,bf16,False,,0.03663774882012216,0.016242722258299695,1.3577542751143037e-06,5.856286479857209e-05,0.023184560382832436,1.4845157093576923e-06,1.2595572088230893e-10,10
ettm2,standard,"[16640, 17664]",checkpoint,fp32,True,True,0.0,0.0,0.0,5.850230415612662e-05,0.0,0.0,0.0,0
ettm2,standard,"[16640, 17664]",checkpoint,fp32,True,True,0.0,0.0,0.0,5.850224326255036e-05,0.0,0.0,0.0,0
ettm2,standard,"[20992, 22016]",microbatch,fp32,True,False,1.6367865969257878e-06,6.087549535525913e-05,4.020270162466007e-09,5.618752387531491e-05,7.155094022984993e-05,5.602431342430955e-09,4.566984534954893e-13,0
ettm2,standard,"[20992, 22016]",microbatch,bf16,False,,0.04413711983017787,0.0226117254109251,1.7859534069009831e-06,5.6214236841278984e-05,0.03177048212792366,2.0818816084831863e-06,1.3938569942880322e-10,3
ettm2,standard,"[20992, 22016]",checkpoint,fp32,True,True,0.0,0.0,0.0,5.618752387531491e-05,0.0,0.0,0.0,0
ettm2,standard,"[20992, 22016]",checkpoint,fp32,True,True,0.0,0.0,0.0,5.6187543196589606e-05,0.0,0.0,0.0,0
ettm2,side,"[16640, 17664]",microbatch,fp32,True,False,2.315511092199074e-06,3.6055867537607496e-07,3.6345870303901213e-09,0.000613639419014181,5.9230012247753546e-06,3.381031563640501e-11,6.126638265500208e-15,0
ettm2,side,"[16640, 17664]",microbatch,bf16,False,,0.05914973083543629,0.014813708574963969,5.138889576021599e-05,0.000613462562420287,0.08376859307841529,1.3337656130018884e-06,3.4842416200121785e-10,8
ettm2,side,"[16640, 17664]",checkpoint,fp32,True,True,0.0,0.0,0.0,0.000613639419014181,0.0,0.0,0.0,0
ettm2,side,"[16640, 17664]",checkpoint,fp32,True,True,0.0,0.0,0.0,0.0006136394208207512,0.0,0.0,0.0,0
ettm2,side,"[20992, 22016]",microbatch,fp32,True,False,2.0082814993216402e-06,2.8952912361628875e-07,4.495403067233886e-09,0.0006060312381904671,7.417774503931933e-06,2.721955368656146e-11,4.199302085105468e-15,0
ettm2,side,"[20992, 22016]",microbatch,bf16,False,,0.042534845947326705,0.008687751305474306,3.308760630886538e-05,0.0006060451099490148,0.05459594635069216,7.784162042822317e-07,1.1426630454648668e-10,1
ettm2,side,"[20992, 22016]",checkpoint,fp32,True,True,0.0,0.0,0.0,0.0006060312381904671,0.0,0.0,0.0,0
ettm2,side,"[20992, 22016]",checkpoint,fp32,True,True,0.0,0.0,0.0,0.000606031243137997,0.0,0.0,0.0,0
ettm2,query,"[16640, 17664]",microbatch,fp32,True,False,2.0082814993216402e-06,6.737547363210303e-07,1.579647325928498e-10,5.677129859572938e-05,2.782475238372124e-06,6.033645939414519e-11,1.9912266133501357e-14,0
ettm2,query,"[16640, 17664]",microbatch,bf16,False,,0.060737126812528075,0.01417737604075259,1.2669883610484354e-06,5.676549361266577e-05,0.022319692482435288,1.2983733290859972e-06,1.661134756639645e-10,7
ettm2,query,"[16640, 17664]",checkpoint,fp32,True,True,0.0,0.0,0.0,5.677129859572938e-05,0.0,0.0,0.0,0
ettm2,query,"[16640, 17664]",checkpoint,fp32,True,True,0.0,0.0,0.0,5.6771298312636396e-05,0.0,0.0,0.0,0
ettm2,query,"[20992, 22016]",microbatch,fp32,True,True,1.3946552579469085e-06,8.112694574910725e-07,1.954670171035098e-10,5.755749831492466e-05,3.3960304534782183e-06,7.47590019280348e-11,7.602368890845564e-15,0
ettm2,query,"[20992, 22016]",microbatch,bf16,False,,0.04473714810707019,0.016396157300395325,1.3001502529417192e-06,5.75616951812419e-05,0.022587073727552396,1.5057808380720878e-06,1.5698996860035887e-10,2
ettm2,query,"[20992, 22016]",checkpoint,fp32,True,True,0.0,0.0,0.0,5.755749831492466e-05,0.0,0.0,0.0,0
ettm2,query,"[20992, 22016]",checkpoint,fp32,True,True,0.0,0.0,0.0,5.755749803331944e-05,0.0,0.0,0.0,0
electricity,standard,"[16640, 17664]",microbatch,fp32,True,False,5.34986144362648e-06,8.076166095657648e-06,8.708622653364951e-10,5.766343404031839e-05,1.5102504383064754e-05,7.435916035928337e-10,5.3653514483905305e-14,0
electricity,standard,"[16640, 17664]",microbatch,bf16,False,,0.08561631784787416,0.030200946843301178,2.5633753249813746e-06,5.765180622359097e-05,0.04446305316158786,2.728264172579557e-06,2.2795398578628337e-10,34
electricity,standard,"[16640, 17664]",checkpoint,fp32,True,True,0.0,0.0,0.0,5.766343404031839e-05,0.0,0.0,0.0,0
electricity,standard,"[16640, 17664]",checkpoint,fp32,True,True,0.0,0.0,0.0,5.766343560671387e-05,0.0,0.0,0.0,0
electricity,standard,"[20992, 22016]",microbatch,fp32,True,False,6.932744864407425e-06,2.6074169745650497e-05,1.3965026065214424e-09,5.808936002503802e-05,2.4040592045074726e-05,2.400558308324705e-09,2.385086936800413e-13,0
electricity,standard,"[20992, 22016]",microbatch,bf16,False,,0.25289420775132143,0.036561978729617764,3.020020820955881e-06,5.815347149119908e-05,0.05193190954063411,3.360705774718905e-06,2.6425626354487653e-10,23
electricity,standard,"[20992, 22016]",checkpoint,fp32,True,True,0.0,0.0,0.0,5.808936002503802e-05,0.0,0.0,0.0,0
electricity,standard,"[20992, 22016]",checkpoint,fp32,True,True,0.0,0.0,0.0,5.8089356726671456e-05,0.0,0.0,0.0,0
electricity,side,"[16640, 17664]",microbatch,fp32,True,False,4.62182990990101e-06,2.1653828329818805e-07,2.0123784086102367e-09,0.0005874726002830262,3.4254847079532057e-06,2.0503726750805336e-11,4.730095136832972e-15,0
electricity,side,"[16640, 17664]",microbatch,bf16,False,,0.07263667885288871,0.040773347614218816,8.250784161686453e-05,0.0005873109003750492,0.14048409720337277,3.7499049660360983e-06,3.382179991453347e-10,36
electricity,side,"[16640, 17664]",checkpoint,fp32,True,True,0.0,0.0,0.0,0.0005874726002830262,0.0,0.0,0.0,0
electricity,side,"[16640, 17664]",checkpoint,fp32,True,True,0.0,0.0,0.0,0.0005874726008942031,0.0,0.0,0.0,0
electricity,side,"[20992, 22016]",microbatch,fp32,True,False,8.47335483378231e-06,2.1955814294185556e-07,2.767354769115694e-09,0.0005837575977438298,4.740588867386644e-06,2.0707259741279667e-11,5.1183422957556655e-15,0
electricity,side,"[20992, 22016]",microbatch,bf16,False,,0.1941546011303945,0.019345519933361918,2.569432297584294e-05,0.0005838430486532522,0.04400895589169017,1.2568470482833897e-06,2.5507839385497575e-10,18
electricity,side,"[20992, 22016]",checkpoint,fp32,True,True,0.0,0.0,0.0,0.0005837575977438298,0.0,0.0,0.0,0
electricity,side,"[20992, 22016]",checkpoint,fp32,True,True,0.0,0.0,0.0,0.0005837576015379283,0.0,0.0,0.0,0
electricity,query,"[16640, 17664]",microbatch,fp32,True,False,4.236677416891155e-06,1.0927001752754645e-06,2.019616716615908e-10,5.6687649954143967e-05,3.5627102521441075e-06,1.0074247012105231e-10,2.2802725100785532e-14,0
electricity,query,"[16640, 17664]",microbatch,bf16,False,,0.09094220651323504,0.021752233781870394,1.931137294488193e-06,5.667651134159168e-05,0.034072973949453425,1.993021662538417e-06,2.8269302310968516e-10,31
electricity,query,"[16640, 17664]",checkpoint,fp32,True,True,0.0,0.0,0.0,5.6687649954143967e-05,0.0,0.0,0.0,0
electricity,query,"[16640, 17664]",checkpoint,fp32,True,True,0.0,0.0,0.0,5.668764922038483e-05,0.0,0.0,0.0,0
electricity,query,"[20992, 22016]",microbatch,fp32,True,False,4.691915434396066e-06,1.2354489143405136e-06,2.0059112720523965e-10,5.7906150312293e-05,3.464072920120375e-06,6.569085368408005e-11,4.0735271784798945e-15,0
electricity,query,"[20992, 22016]",microbatch,bf16,False,,0.15314919072358002,0.03421375414554458,2.097833404349226e-06,5.803941387234898e-05,0.03614497915094323,1.8356061651404735e-06,1.2901738741650602e-10,23
electricity,query,"[20992, 22016]",checkpoint,fp32,True,True,0.0,0.0,0.0,5.7906150312293e-05,0.0,0.0,0.0,0
electricity,query,"[20992, 22016]",checkpoint,fp32,True,True,0.0,0.0,0.0,5.7906150131071757e-05,0.0,0.0,0.0,0
