track,fit_cap,attempted,completed,main_updates,smoke_updates,optimizer_seconds
N01,16,16,16,8192,8,803.5170361223281
N02,16,5,4,2048,8,200.1063429947826
R05,0,0,0,0,0,0
N06,0,0,0,0,0,0
N03,16,0,0,0,0,0
R04,16,0,0,0,0,0
N07,16,0,0,0,0,0
R08,16,0,0,0,0,0
R09,20,0,0,0,0,0
