dataset,arm,precision,pair,passed,failed_gates,gradient_relative_l2,update_relative_l2,raw_scaled_max_abs,pinball_sign_flips
ettm2,standard,fp32,"[17280, 18944]",False,"clipped_gradient,raw_gradient,update",0.00010871564072389968,0.00016259483388868037,1.3388543340653314e-06,0
ettm2,standard,fp32,"[20544, 22016]",True,,7.200917014703097e-05,7.879962271500305e-05,2.0919828869203627e-06,0
ettm2,standard,bf16,"[17280, 18944]",False,"clipped_gradient,raw_gradient,scaled_absolute,update",0.019490818914821607,0.028935294210650345,0.05412184755361338,5
ettm2,standard,bf16,"[20544, 22016]",False,"clipped_gradient,raw_gradient,scaled_absolute,update",0.022324753958320048,0.029868129666414146,0.08606394351921076,10
ettm2,side,fp32,"[17280, 18944]",True,,4.3568083974030703e-07,1.1400621963289083e-05,2.677708666354306e-06,0
ettm2,side,fp32,"[20544, 22016]",True,,2.586390883940348e-07,6.474226127132966e-06,1.3946552579469085e-06,0
ettm2,side,bf16,"[17280, 18944]",False,"clipped_gradient,raw_gradient,scaled_absolute,update",0.025167782910374453,0.11689629114830345,0.03852130799191311,11
ettm2,side,bf16,"[20544, 22016]",False,"scaled_absolute,update",0.008507557719492069,0.059369548541951124,0.06500441668317447,18
ettm2,query,fp32,"[17280, 18944]",True,,6.107496857489222e-07,2.8554861869497756e-06,2.0082815002098187e-06,0
ettm2,query,fp32,"[20544, 22016]",True,,7.313089503808984e-07,3.206200160079584e-06,2.3244254296894695e-06,0
ettm2,query,bf16,"[17280, 18944]",False,"clipped_gradient,raw_gradient,scaled_absolute,update",0.01881030999471751,0.024820150799071065,0.03831582878392359,13
ettm2,query,bf16,"[20544, 22016]",False,"clipped_gradient,raw_gradient,scaled_absolute,update",0.015756962073808098,0.02364101391162584,0.06500441668317447,14
electricity,standard,fp32,"[17280, 18944]",False,"clipped_gradient,raw_gradient,update",0.00014720115621929023,0.00028203404104966076,4.007008243434029e-06,0
electricity,standard,fp32,"[20544, 22016]",False,"clipped_gradient,raw_gradient,update",0.0003257927478990663,0.0005293288611955061,9.243659818025662e-06,0
electricity,standard,bf16,"[17280, 18944]",False,"clipped_gradient,raw_gradient,scaled_absolute,update",0.040055354698584004,0.05149749946781622,0.10105808356230028,42
electricity,standard,bf16,"[20544, 22016]",False,"clipped_gradient,raw_gradient,scaled_absolute,update",0.03938631462752998,0.054863945200206266,0.23547221990861544,22
electricity,side,fp32,"[17280, 18944]",True,,3.762085034590236e-07,7.473421141259356e-06,4.0070082416576724e-06,0
electricity,side,fp32,"[20544, 22016]",True,,1.9304341900506936e-07,4.569540065191669e-06,8.47335483378231e-06,0
electricity,side,bf16,"[17280, 18944]",False,"clipped_gradient,raw_gradient,scaled_absolute,update",0.029777937442799475,0.060001617469791824,0.09951004271101915,49
electricity,side,bf16,"[20544, 22016]",False,"clipped_gradient,raw_gradient,scaled_absolute,update",0.012158757824430069,0.056922286102219014,0.23479358121694993,17
electricity,query,fp32,"[17280, 18944]",True,,9.090526948264496e-07,3.087023702002623e-06,4.007008243434029e-06,0
electricity,query,fp32,"[20544, 22016]",True,,1.093952390860178e-06,3.4025418032121815e-06,9.24365981980202e-06,0
electricity,query,bf16,"[17280, 18944]",False,"clipped_gradient,raw_gradient,scaled_absolute,update",0.03754982194914869,0.04015737957638112,0.16612254774556945,51
electricity,query,bf16,"[20544, 22016]",False,"clipped_gradient,raw_gradient,scaled_absolute,update",0.03629934932777687,0.05699767421957406,0.23848796392436356,23
