dataset,seed,split,method,channel,mse
electricity,41000,V,UNCHANGED,0,0.5369948454575624
electricity,41000,V,UNCHANGED,1,0.39635483551776607
electricity,41000,V,UNCHANGED,2,0.0004889328771372995
electricity,41000,V,UNCHANGED,3,0.4396411035125031
electricity,41000,V,UNCHANGED,4,0.34249570832745624
electricity,41000,V,UNCHANGED,5,0.3670732760073189
electricity,41000,V,UNCHANGED,6,0.019826937724340292
electricity,41000,V,UNCHANGED,7,0.4755374521077958
electricity,41000,V,UNCHANGED,8,0.3218089528994752
electricity,41000,V,UNCHANGED,9,0.31552238238823666
electricity,41000,V,UNCHANGED,10,0.31858637843112164
electricity,41000,V,UNCHANGED,11,0.9275227355350721
electricity,41000,V,UNCHANGED,12,0.3947720083189959
electricity,41000,V,UNCHANGED,13,0.34386744914922307
electricity,41000,V,UNCHANGED,14,0.4878565009283468
electricity,41000,V,UNCHANGED,15,0.39071935547917264
electricity,41000,V,UNCHANGED,16,0.4349029656256113
electricity,41000,V,UNCHANGED,17,0.6813389364011249
electricity,41000,V,UNCHANGED,18,0.678820051645694
electricity,41000,V,UNCHANGED,19,0.9864557663261342
electricity,41000,V,UNCHANGED,20,0.7107271280747698
electricity,41000,V,UNCHANGED,21,0.4306730382727102
electricity,41000,V,UNCHANGED,22,0.40628642476957627
electricity,41000,V,UNCHANGED,23,0.4052950274279679
electricity,41000,V,UNCHANGED,24,0.3742408378882479
electricity,41000,V,UNCHANGED,25,0.8758831873606227
electricity,41000,V,UNCHANGED,26,0.3781891299208067
electricity,41000,V,UNCHANGED,27,0.6795560115837194
electricity,41000,V,UNCHANGED,28,0.6042349047193885
electricity,41000,V,UNCHANGED,29,0.6255042690725304
electricity,41000,V,UNCHANGED,30,0.24622982197882368
electricity,41000,V,UNCHANGED,31,0.4801701450708688
electricity,41000,V,EXPANDING_BIAS,0,0.5449837932339198
electricity,41000,V,EXPANDING_BIAS,1,0.44088113027169373
electricity,41000,V,EXPANDING_BIAS,2,0.00048431171808240866
electricity,41000,V,EXPANDING_BIAS,3,0.4438503071421305
electricity,41000,V,EXPANDING_BIAS,4,0.3495638886152439
electricity,41000,V,EXPANDING_BIAS,5,0.3359127275890945
electricity,41000,V,EXPANDING_BIAS,6,0.020063552508320502
electricity,41000,V,EXPANDING_BIAS,7,0.41325122451667134
electricity,41000,V,EXPANDING_BIAS,8,0.3258262959915526
electricity,41000,V,EXPANDING_BIAS,9,0.3237767619593787
electricity,41000,V,EXPANDING_BIAS,10,0.3199295904305454
electricity,41000,V,EXPANDING_BIAS,11,0.9516767696807953
electricity,41000,V,EXPANDING_BIAS,12,0.400656015755573
electricity,41000,V,EXPANDING_BIAS,13,0.3464690711029522
electricity,41000,V,EXPANDING_BIAS,14,0.39267166356235006
electricity,41000,V,EXPANDING_BIAS,15,0.37939062328976303
electricity,41000,V,EXPANDING_BIAS,16,0.4250662913829892
electricity,41000,V,EXPANDING_BIAS,17,0.6859011388594699
electricity,41000,V,EXPANDING_BIAS,18,0.646877392677083
electricity,41000,V,EXPANDING_BIAS,19,0.9978544108209983
electricity,41000,V,EXPANDING_BIAS,20,0.736626751311798
electricity,41000,V,EXPANDING_BIAS,21,0.43045044321965237
electricity,41000,V,EXPANDING_BIAS,22,0.40548966314964774
electricity,41000,V,EXPANDING_BIAS,23,0.4101296957549553
electricity,41000,V,EXPANDING_BIAS,24,0.37435734453185865
electricity,41000,V,EXPANDING_BIAS,25,0.9305712597137504
electricity,41000,V,EXPANDING_BIAS,26,0.3623863108309811
electricity,41000,V,EXPANDING_BIAS,27,0.6971979487953498
electricity,41000,V,EXPANDING_BIAS,28,0.6038788541270641
electricity,41000,V,EXPANDING_BIAS,29,0.6672573174586797
electricity,41000,V,EXPANDING_BIAS,30,0.24488083300392627
electricity,41000,V,EXPANDING_BIAS,31,0.42710639424043206
electricity,41000,V,EXPANDING_DAILY,0,0.5345350091575221
electricity,41000,V,EXPANDING_DAILY,1,0.35547962418062873
electricity,41000,V,EXPANDING_DAILY,2,0.00044117671604343667
electricity,41000,V,EXPANDING_DAILY,3,0.2827938183473088
electricity,41000,V,EXPANDING_DAILY,4,0.2914866283440912
electricity,41000,V,EXPANDING_DAILY,5,0.21736602142812475
electricity,41000,V,EXPANDING_DAILY,6,0.015763546575185118
electricity,41000,V,EXPANDING_DAILY,7,0.2619476535489685
electricity,41000,V,EXPANDING_DAILY,8,0.20785769877451904
electricity,41000,V,EXPANDING_DAILY,9,0.31044624484168115
electricity,41000,V,EXPANDING_DAILY,10,0.23765250288649883
electricity,41000,V,EXPANDING_DAILY,11,0.7818507754419813
