dataset,seed,role,channel,mse
electricity,41000,selected,column_000,0.336483112782482
electricity,41000,selected,column_001,0.16669094952244717
electricity,41000,selected,column_002,0.0005771826606808582
electricity,41000,selected,column_003,0.15982792925033085
electricity,41000,selected,column_004,0.27215131023605116
electricity,41000,selected,column_005,0.12487803837240073
electricity,41000,selected,column_006,0.7012866853863357
electricity,41000,selected,column_007,0.19836905650862255
electricity,41000,selected,column_008,0.23627111704166337
electricity,41000,selected,column_009,0.610943796584412
electricity,41000,selected,column_010,0.16674064370720892
electricity,41000,selected,column_011,0.4555441952580446
electricity,41000,selected,column_012,0.12788910954623792
electricity,41000,selected,column_013,0.20575019500159786
electricity,41000,selected,column_014,0.12883363659776131
electricity,41000,selected,column_015,0.2832309751198122
electricity,41000,selected,column_016,0.24105213486166588
electricity,41000,selected,column_017,0.412309538557273
electricity,41000,selected,column_018,0.10976330086148638
electricity,41000,selected,column_019,0.6231929161680678
electricity,41000,selected,column_020,0.330580317296805
electricity,41000,selected,column_021,0.19339487705803649
electricity,41000,selected,column_022,0.17354270358939544
electricity,41000,selected,column_023,0.1741793276979563
electricity,41000,selected,column_024,0.2233124700204998
electricity,41000,selected,column_025,0.5738019216898195
electricity,41000,selected,column_026,0.14324097526911464
electricity,41000,selected,column_027,0.3456052430449555
electricity,41000,selected,column_028,0.3601695868248164
electricity,41000,selected,column_029,0.5520049219019714
electricity,41000,selected,column_030,0.3439685753362143
electricity,41000,selected,column_031,0.20305733165409418
electricity,41000,matched_old_epoch,column_000,0.3426773112579177
electricity,41000,matched_old_epoch,column_001,0.17865055368529908
electricity,41000,matched_old_epoch,column_002,0.0005892781102518963
electricity,41000,matched_old_epoch,column_003,0.19059272695307705
electricity,41000,matched_old_epoch,column_004,0.2725648496407675
electricity,41000,matched_old_epoch,column_005,0.15896966772425425
electricity,41000,matched_old_epoch,column_006,0.7556126690870523
electricity,41000,matched_old_epoch,column_007,0.24232964269595375
electricity,41000,matched_old_epoch,column_008,0.2566450035117384
electricity,41000,matched_old_epoch,column_009,0.6639827112479398
electricity,41000,matched_old_epoch,column_010,0.1864020279390279
electricity,41000,matched_old_epoch,column_011,0.7660522708306234
electricity,41000,matched_old_epoch,column_012,0.18430000200734542
electricity,41000,matched_old_epoch,column_013,0.21904908943230636
electricity,41000,matched_old_epoch,column_014,0.17387398220859093
electricity,41000,matched_old_epoch,column_015,0.2955748740720268
electricity,41000,matched_old_epoch,column_016,0.25731942025815585
electricity,41000,matched_old_epoch,column_017,0.4242764079641682
electricity,41000,matched_old_epoch,column_018,0.14841910850296589
electricity,41000,matched_old_epoch,column_019,0.7020677366803753
electricity,41000,matched_old_epoch,column_020,0.3561723164501304
electricity,41000,matched_old_epoch,column_021,0.20875406799929153
electricity,41000,matched_old_epoch,column_022,0.1901354497787494
electricity,41000,matched_old_epoch,column_023,0.1874418857190719
electricity,41000,matched_old_epoch,column_024,0.23499188063637608
electricity,41000,matched_old_epoch,column_025,0.7697096938410286
electricity,41000,matched_old_epoch,column_026,0.17888660103215526
electricity,41000,matched_old_epoch,column_027,0.33397265848990054
electricity,41000,matched_old_epoch,column_028,0.4054848466309291
electricity,41000,matched_old_epoch,column_029,0.7501714250474121
electricity,41000,matched_old_epoch,column_030,0.3720191052060064
electricity,41000,matched_old_epoch,column_031,0.2966529966276767
electricity,41001,selected,column_000,0.32886177020110763
electricity,41001,selected,column_001,0.16904207882502967
electricity,41001,selected,column_002,0.0005756614176654295
electricity,41001,selected,column_003,0.16136336692693387
electricity,41001,selected,column_004,0.2837795856232094
electricity,41001,selected,column_005,0.12735272425370764
electricity,41001,selected,column_006,0.715645270747617
electricity,41001,selected,column_007,0.20748079390232319
electricity,41001,selected,column_008,0.2370831087292544
electricity,41001,selected,column_009,0.6092766650724192
electricity,41001,selected,column_010,0.16667747675682495
electricity,41001,selected,column_011,0.49324570926128997
electricity,41001,selected,column_012,0.13339635611012657
electricity,41001,selected,column_013,0.21113063434708798
electricity,41001,selected,column_014,0.1372488150741129
electricity,41001,selected,column_015,0.2761159299654361
electricity,41001,selected,column_016,0.2374265078060016
electricity,41001,selected,column_017,0.40902216841891303
electricity,41001,selected,column_018,0.1172398073335416
electricity,41001,selected,column_019,0.6639727709588562
electricity,41001,selected,column_020,0.3319582196973024
electricity,41001,selected,column_021,0.18827723757269202
electricity,41001,selected,column_022,0.1721320098976535
electricity,41001,selected,column_023,0.17549503712273729
electricity,41001,selected,column_024,0.22199663174352754
electricity,41001,selected,column_025,0.591651359894754
electricity,41001,selected,column_026,0.14844324217612237
electricity,41001,selected,column_027,0.36695314255066136
electricity,41001,selected,column_028,0.3638025644391435
electricity,41001,selected,column_029,0.5750186352825716
electricity,41001,selected,column_030,0.345818358254186
electricity,41001,selected,column_031,0.22372248179097734
electricity,41001,matched_old_epoch,column_000,0.3315552633654494
electricity,41001,matched_old_epoch,column_001,0.17872505352514695
electricity,41001,matched_old_epoch,column_002,0.0005803314261021215
electricity,41001,matched_old_epoch,column_003,0.17299402140162012
electricity,41001,matched_old_epoch,column_004,0.2702504104697212
electricity,41001,matched_old_epoch,column_005,0.13803697567969006
electricity,41001,matched_old_epoch,column_006,0.7103288750558695
electricity,41001,matched_old_epoch,column_007,0.2170167859047314
electricity,41001,matched_old_epoch,column_008,0.24781572050868148
electricity,41001,matched_old_epoch,column_009,0.6438146862768345
electricity,41001,matched_old_epoch,column_010,0.17640040386674252
electricity,41001,matched_old_epoch,column_011,0.6515402798994973
electricity,41001,matched_old_epoch,column_012,0.16770494359130134
electricity,41001,matched_old_epoch,column_013,0.22552108917009073
electricity,41001,matched_old_epoch,column_014,0.14876970307145015
electricity,41001,matched_old_epoch,column_015,0.2862015970402275
electricity,41001,matched_old_epoch,column_016,0.2505152697704365
electricity,41001,matched_old_epoch,column_017,0.4160946556155411
electricity,41001,matched_old_epoch,column_018,0.12712937661001583
electricity,41001,matched_old_epoch,column_019,0.6517206868502924
electricity,41001,matched_old_epoch,column_020,0.3831362603899051
electricity,41001,matched_old_epoch,column_021,0.21242101780515282
electricity,41001,matched_old_epoch,column_022,0.18487790011898977
electricity,41001,matched_old_epoch,column_023,0.1872512019495711
electricity,41001,matched_old_epoch,column_024,0.22307133246322264
electricity,41001,matched_old_epoch,column_025,0.7035370567407994
electricity,41001,matched_old_epoch,column_026,0.1643151825726857
electricity,41001,matched_old_epoch,column_027,0.34515932066523014
electricity,41001,matched_old_epoch,column_028,0.3962222396397331
electricity,41001,matched_old_epoch,column_029,0.6854665516399998
electricity,41001,matched_old_epoch,column_030,0.3532458105987514
electricity,41001,matched_old_epoch,column_031,0.2710451726741366
