dataset,seed,role,baseline,epoch,baseline_epoch,updates,baseline_updates,mse,baseline_mse,gain_percent,peak_mib,baseline_peak_mib,trainable,baseline_trainable
electricity,41000,selected,BALANCED_LH,19,16,1216,1024,0.28683262735650816,0.2782832353239307,-3.072190828393136,288.341796875,1069.60009765625,761952,761952
electricity,41000,selected,HEAD_ONLY,19,16,1216,1024,0.28683262735650816,0.2984525082223107,3.8933768508144415,288.341796875,286.373046875,761952,589920
electricity,41000,selected,POINTWISE,19,19,1216,1216,0.28683262735650816,0.29056022955613986,1.2829017258576598,288.341796875,286.560546875,761952,606304
electricity,41000,matched_old_epoch,BALANCED_LH,1,1,64,64,0.3345106956646427,0.3217427022293644,-3.9683863369109846,288.341796875,1069.60009765625,761952,761952
electricity,41000,matched_old_epoch,HEAD_ONLY,1,1,64,64,0.3345106956646427,0.35193987571991486,4.952317500146778,288.341796875,286.373046875,761952,589920
electricity,41000,matched_old_epoch,POINTWISE,1,1,64,64,0.3345106956646427,0.34364439514486267,2.6578927546220203,288.341796875,286.560546875,761952,606304
electricity,41001,selected,BALANCED_LH,8,8,512,512,0.2934751913173059,0.28173688138016956,-4.166408700072497,290.607421875,1069.10009765625,761952,761952
electricity,41001,selected,HEAD_ONLY,8,16,512,1024,0.2934751913173059,0.29600847365712485,0.8558141287378652,290.607421875,286.138671875,761952,589920
electricity,41001,selected,POINTWISE,8,20,512,1280,0.2934751913173059,0.2895662650745193,-1.3499245990483708,290.607421875,286.326171875,761952,606304
electricity,41001,matched_old_epoch,BALANCED_LH,3,3,192,192,0.31632703676117563,0.3029703911916921,-4.4085646511353795,290.607421875,1069.10009765625,761952,761952
electricity,41001,matched_old_epoch,HEAD_ONLY,3,3,192,192,0.31632703676117563,0.3383593632082896,6.511516701711942,290.607421875,286.138671875,761952,589920
electricity,41001,matched_old_epoch,POINTWISE,3,3,192,192,0.31632703676117563,0.32111289726698244,1.4903980956665577,290.607421875,286.326171875,761952,606304
traffic,41000,selected,BALANCED_LH,19,17,1197,1071,0.4064558941905049,0.38590845762630666,-5.3244328177163895,288.107421875,1067.10009765625,761952,761952
traffic,41000,selected,HEAD_ONLY,19,18,1197,1134,0.4064558941905049,0.433988607100922,6.344109605627168,288.107421875,286.138671875,761952,589920
traffic,41000,selected,POINTWISE,19,19,1197,1197,0.4064558941905049,0.4207387379171895,3.3947061298396104,288.107421875,286.326171875,761952,606304
traffic,41000,matched_old_epoch,BALANCED_LH,1,1,63,63,0.5230743906466241,0.5092211071594134,-2.7204849312881865,288.107421875,1067.10009765625,761952,761952
traffic,41000,matched_old_epoch,HEAD_ONLY,1,1,63,63,0.5230743906466241,0.5617041612051538,6.877244860648406,288.107421875,286.138671875,761952,589920
traffic,41000,matched_old_epoch,POINTWISE,1,1,63,63,0.5230743906466241,0.5427931419320771,3.632829850293226,288.107421875,286.326171875,761952,606304
traffic,41001,selected,BALANCED_LH,16,18,1008,1134,0.40808420276595575,0.3871869517414405,-5.3971991903462175,288.107421875,1069.85009765625,761952,761952
traffic,41001,selected,HEAD_ONLY,16,17,1008,1071,0.40808420276595575,0.43976437744365987,7.203897428404784,288.107421875,286.138671875,761952,589920
traffic,41001,selected,POINTWISE,16,16,1008,1008,0.40808420276595575,0.42073769006298545,3.007452765911093,288.107421875,286.326171875,761952,606304
traffic,41001,matched_old_epoch,BALANCED_LH,1,1,63,63,0.5253111136525209,0.5049074319486706,-4.041073751896086,288.107421875,1069.85009765625,761952,761952
traffic,41001,matched_old_epoch,HEAD_ONLY,1,1,63,63,0.5253111136525209,0.5462674000301888,3.836268899903191,288.107421875,286.138671875,761952,589920
traffic,41001,matched_old_epoch,POINTWISE,1,1,63,63,0.5253111136525209,0.5219305045101084,-0.6477125044809653,288.107421875,286.326171875,761952,606304
