dataset,role,baseline,capacity_mse,baseline_mse,gain_percent,both_seeds_improved
electricity,selected,BALANCED_LH,0.290153909336907,0.2800100583520501,-3.622673786990625,False
electricity,selected,HEAD_ONLY,0.290153909336907,0.29723049093971776,2.3808397249009006,True
electricity,selected,POINTWISE,0.290153909336907,0.2900632473153296,-0.0312559493201877,False
electricity,matched_old_epoch,BALANCED_LH,0.32541886621290916,0.31235654671052826,-4.181861926680286,False
electricity,matched_old_epoch,HEAD_ONLY,0.32541886621290916,0.3451496194641022,5.7165797493353985,True
electricity,matched_old_epoch,POINTWISE,0.32541886621290916,0.33237864620592256,2.0939311452341367,True
traffic,selected,BALANCED_LH,0.40727004847823034,0.38654770468387356,-5.360876172141269,False
traffic,selected,HEAD_ONLY,0.40727004847823034,0.436876492272291,6.776845245225027,True
traffic,selected,POINTWISE,0.40727004847823034,0.4207382139900875,3.201079688990278,True
traffic,matched_old_epoch,BALANCED_LH,0.5241927521495725,0.5070642695540419,-3.3779707275755997,False
traffic,matched_old_epoch,HEAD_ONLY,0.5241927521495725,0.5539857806176713,5.3779410068758144,True
traffic,matched_old_epoch,POINTWISE,0.5241927521495725,0.5323618232210927,1.5344960354393309,False
