dataset,seed,role,epoch,updates,trainable,mse,mae,raw_mae,peak_mib,adaptation_step_seconds,research_step_seconds
electricity,41000,selected,19,1216,761952,0.28683262735650816,0.36026257408742457,36.696397139624544,288.341796875,26.67874254193157,28.031405228946824
electricity,41000,matched_old_epoch,1,64,761952,0.3345106956646427,0.3907635786450958,40.321509979665606,288.341796875,1.3738507769885473,28.031405228946824
electricity,41001,selected,8,512,761952,0.2934751913173059,0.36430117341814333,37.07919328366263,290.607421875,11.315743394836318,18.28430395873147
electricity,41001,matched_old_epoch,3,192,761952,0.31632703676117563,0.3823173330406574,39.14558275307841,290.607421875,4.2266753131116275,18.28430395873147
traffic,41000,selected,19,1197,761952,0.4064558941905049,0.33855062140672093,0.01778788689160412,288.107421875,26.49841440442833,27.85165419636178
traffic,41000,matched_old_epoch,1,63,761952,0.5230743906466241,0.4140908943755431,0.021594264036201488,288.107421875,1.4691849849477876,27.85165419636178
traffic,41001,selected,16,1008,761952,0.40808420276595575,0.34141989603805006,0.017933209371332012,288.107421875,21.932922307401896,27.578749329491984
traffic,41001,matched_old_epoch,1,63,761952,0.5253111136525209,0.41500578209913536,0.02165701445016155,288.107421875,1.3787070729595143,27.578749329491984
