dataset,role,baseline,gain_percent,descriptive_ci_low,descriptive_ci_high,blocks,draws,seed
electricity,selected,BALANCED_LH,-3.622673786990625,-5.139987532004075,-2.407138420770991,8,2000,9018
electricity,selected,HEAD_ONLY,2.3808397249009006,1.82309357055522,3.076735330324953,8,2000,9018
electricity,selected,POINTWISE,-0.0312559493201877,-0.3283352877729564,0.30979338247879484,8,2000,9018
electricity,matched_old_epoch,BALANCED_LH,-4.181861926680286,-4.991508425484976,-3.4491461358821582,8,2000,9018
electricity,matched_old_epoch,HEAD_ONLY,5.7165797493353985,4.540814176712217,7.083716913577136,8,2000,9018
electricity,matched_old_epoch,POINTWISE,2.0939311452341367,1.2877615198032222,3.0818740166589262,8,2000,9018
traffic,selected,BALANCED_LH,-5.360876172141269,-7.360355428448298,-3.608981357601614,8,2000,9018
traffic,selected,HEAD_ONLY,6.776845245225027,4.838825507217304,8.884040906248885,8,2000,9018
traffic,selected,POINTWISE,3.201079688990278,1.989341348187715,4.5339633628513765,8,2000,9018
traffic,matched_old_epoch,BALANCED_LH,-3.3779707275755997,-5.073501186255502,-1.714998637347364,8,2000,9018
traffic,matched_old_epoch,HEAD_ONLY,5.3779410068758144,4.193887084142538,6.520714375315445,8,2000,9018
traffic,matched_old_epoch,POINTWISE,1.5344960354393309,0.9507392993389253,2.0993961186258945,8,2000,9018
