dataset,role,baseline,gain_percent,descriptive_ci_low,descriptive_ci_high,origin_count,blocks,bootstrap_draws,bootstrap_seed
electricity,selected,SIDE,1.0068389693586335,-0.23954801863888148,2.2917442711190463,54,8,2000,9019
electricity,selected,BALANCED_LH,0.16578786098380902,-1.0500481001294473,1.5418931681390697,54,8,2000,9019
electricity,selected,HEAD_ONLY,5.949811951673496,4.195656843584901,7.656851296518952,54,8,2000,9019
electricity,selected,CAPACITY_MATCHED,3.6560161106845688,2.089427210750817,5.111123943224138,54,8,2000,9019
electricity,matched_old_epoch,SIDE,0.8450808968583196,0.21973109571833424,1.4471563266790808,54,8,2000,9019
electricity,matched_old_epoch,BALANCED_LH,-2.953387520062346,-3.5715622105456792,-2.507146832309831,54,8,2000,9019
electricity,matched_old_epoch,HEAD_ONLY,6.828335352511862,5.6564862694827545,8.249537100966636,54,8,2000,9019
electricity,matched_old_epoch,CAPACITY_MATCHED,1.1791634204834036,0.770902916558877,1.6340042473911314,54,8,2000,9019
traffic,selected,SIDE,1.4230554530946073,0.6141229275992812,2.28393764997039,36,8,2000,9019
traffic,selected,BALANCED_LH,-3.667725046360971,-4.833792121728087,-2.773193810705002,36,8,2000,9019
traffic,selected,HEAD_ONLY,8.274942975201686,4.336008026706204,12.13639334330302,36,8,2000,9019
traffic,selected,CAPACITY_MATCHED,1.6070017517830395,-0.8284150231494584,3.852900008638943,36,8,2000,9019
traffic,matched_old_epoch,SIDE,-2.251934507472197,-2.8581887500875216,-1.615325086074363,36,8,2000,9019
traffic,matched_old_epoch,BALANCED_LH,-5.029011405048314,-6.548537534758065,-3.6782458884052334,36,8,2000,9019
traffic,matched_old_epoch,HEAD_ONLY,3.866740242492882,2.816244836001468,4.979630763293061,36,8,2000,9019
traffic,matched_old_epoch,CAPACITY_MATCHED,-1.597091397570144,-2.719941868399883,-0.5841174018551146,36,8,2000,9019
