dataset,seed,arm,role,baseline,epoch,baseline_epoch,updates,baseline_updates,mse,baseline_mse,gain_percent
electricity,41000,SIDE,selected,BALANCED_LH,18,16,1152,1024,0.2788122676834418,0.2782832353239307,-0.19010572408191143
electricity,41000,SIDE,selected,HEAD_ONLY,18,16,1152,1024,0.2788122676834418,0.2984525082223107,6.5806920691848525
electricity,41000,SIDE,selected,CAPACITY_MATCHED,18,19,1152,1216,0.2788122676834418,0.28683262735650816,2.7961810854585045
electricity,41000,SIDE,matched_old_epoch,BALANCED_LH,1,1,64,64,0.336359119316213,0.3217427022293644,-4.54289001291125
electricity,41000,SIDE,matched_old_epoch,HEAD_ONLY,1,1,64,64,0.336359119316213,0.35193987571991486,4.427107434708975
electricity,41000,SIDE,matched_old_epoch,CAPACITY_MATCHED,1,1,64,64,0.336359119316213,0.3345106956646427,-0.5525753512597359
electricity,41000,PRIOR,selected,BALANCED_LH,18,16,1152,1024,0.28278264530844993,0.2782832353239307,-1.616845506083683
electricity,41000,PRIOR,selected,HEAD_ONLY,18,16,1152,1024,0.28278264530844993,0.2984525082223107,5.25037065602029
electricity,41000,PRIOR,selected,CAPACITY_MATCHED,18,19,1152,1216,0.28278264530844993,0.28683262735650816,1.4119670015867665
electricity,41000,PRIOR,selected,SIDE,18,18,1152,1152,0.28278264530844993,0.2788122676834418,-1.4240326144888351
electricity,41000,PRIOR,matched_old_epoch,BALANCED_LH,1,1,64,64,0.3341128357877665,0.3217427022293644,-3.8447285587797633
electricity,41000,PRIOR,matched_old_epoch,HEAD_ONLY,1,1,64,64,0.3341128357877665,0.35193987571991486,5.065365183664406
electricity,41000,PRIOR,matched_old_epoch,CAPACITY_MATCHED,1,1,64,64,0.3341128357877665,0.3345106956646427,0.11893786417970025
electricity,41000,PRIOR,matched_old_epoch,SIDE,1,1,64,64,0.3341128357877665,0.336359119316213,0.6678229902055148
electricity,41001,SIDE,selected,BALANCED_LH,8,8,512,512,0.2859658094187547,0.28173688138016956,-1.5010203910359656
electricity,41001,SIDE,selected,HEAD_ONLY,8,16,512,1024,0.2859658094187547,0.29600847365712485,3.3926948490004523
electricity,41001,SIDE,selected,CAPACITY_MATCHED,8,8,512,512,0.2859658094187547,0.2934751913173059,2.558779113438588
electricity,41001,SIDE,matched_old_epoch,BALANCED_LH,3,3,192,192,0.31228574649153007,0.3029703911916921,-3.074675140101083
electricity,41001,SIDE,matched_old_epoch,HEAD_ONLY,3,3,192,192,0.31228574649153007,0.3383593632082896,7.7058948419609505
electricity,41001,SIDE,matched_old_epoch,CAPACITY_MATCHED,3,3,192,192,0.31228574649153007,0.31632703676117563,1.2775671378026092
electricity,41001,PRIOR,selected,BALANCED_LH,17,8,1088,512,0.27630902602308727,0.28173688138016956,1.9265689782936373
electricity,41001,PRIOR,selected,HEAD_ONLY,17,16,1088,1024,0.27630902602308727,0.29600847365712485,6.655028280324171
