dataset,seed,arm,role,epoch,updates,trainable,mse,mae,raw_mae,peak_mib,adaptation_step_seconds,research_step_seconds
electricity,41000,SIDE,selected,18,1152,761952,0.2788122676834418,0.3576946431275915,36.2806402463025,425.869140625,43.72628450585762,48.49872689082986
electricity,41000,SIDE,matched_old_epoch,1,64,761952,0.336359119316213,0.3935289072139987,40.49798804024395,425.869140625,2.4610632528783754,48.49872689082986
electricity,41000,PRIOR,selected,18,1152,761952,0.2827826453084499,0.3611099360046032,36.6600577306772,425.634765625,44.0588485027547,48.897787180671
electricity,41000,PRIOR,matched_old_epoch,1,64,761952,0.3341128357877664,0.39291781913705004,40.44878674491795,425.634765625,2.4360610160802025,48.897787180671
electricity,41001,SIDE,selected,8,512,761952,0.2859658094187547,0.3635115089769375,37.0244936534938,425.884765625,19.675875881919637,31.95640430887579
electricity,41001,SIDE,matched_old_epoch,3,192,761952,0.3122857464915301,0.38497752281031805,39.514092229129005,425.884765625,7.306274502130691,31.95640430887579
electricity,41001,PRIOR,selected,17,1088,761952,0.27630902602308727,0.35700503943219186,36.31348156123959,427.619140625,41.56369938180433,43.93655550785479
electricity,41001,PRIOR,matched_old_epoch,3,192,761952,0.3090504561705831,0.3825243345445847,39.11988137366966,427.619140625,7.290560769906733,43.93655550785479
traffic,41000,SIDE,selected,20,1260,761952,0.39941219131016864,0.34030022945972677,0.017801671804583065,426.384765625,48.17083855572855,48.17083855572855
traffic,41000,SIDE,matched_old_epoch,1,63,761952,0.5229856778782578,0.42290609825215053,0.02214721161586033,426.384765625,2.354613311967114,48.17083855572855
traffic,41000,PRIOR,selected,18,1134,761952,0.40103680258380614,0.34778595805180856,0.018218889081063366,426.384765625,43.28910490995622,48.03256735927425
traffic,41000,PRIOR,matched_old_epoch,1,63,761952,0.534777575982629,0.4313479698508933,0.022539649136833373,426.384765625,2.358530196856009,48.03256735927425
traffic,41001,SIDE,selected,8,504,761952,0.4136079596116776,0.3512645527502095,0.018435065029597065,426.384765625,19.252562268957263,31.27726490329951
traffic,41001,SIDE,matched_old_epoch,1,63,761952,0.518685742943461,0.4132890638007922,0.021603452505748046,426.384765625,2.413014402933186,31.27726490329951
traffic,41001,PRIOR,selected,16,1008,761952,0.4004136207455887,0.34171865226496523,0.01792584239964585,426.384765625,38.65201075494406,48.28106000972912
traffic,41001,PRIOR,matched_old_epoch,1,63,761952,0.5303516030190503,0.4283711945348666,0.0223608613912552,426.384765625,2.420400157221593,48.28106000972912
