dataset,role,arm,mse,mae
electricity,selected,SIDE,0.28238903855109826,0.3606030760522645
electricity,selected,PRIOR,0.27954583566576857,0.3590574877183975
electricity,selected,BALANCED_LH,0.2800100583520501,0.3558186676775821
electricity,selected,HEAD_ONLY,0.29723049093971776,0.36752116930040984
electricity,selected,CAPACITY_MATCHED,0.290153909336907,0.3622818737527839
electricity,matched_old_epoch,SIDE,0.3243224329038715,0.38925321501215837
electricity,matched_old_epoch,PRIOR,0.3215816459791747,0.38772107684081736
electricity,matched_old_epoch,BALANCED_LH,0.31235654671052826,0.37891690585491034
electricity,matched_old_epoch,HEAD_ONLY,0.34514961946410216,0.4058373165703178
electricity,matched_old_epoch,CAPACITY_MATCHED,0.32541886621290916,0.3865404558428766
traffic,selected,SIDE,0.4065100754609231,0.3457823911049681
traffic,selected,PRIOR,0.40072521166469743,0.3447523051583869
traffic,selected,BALANCED_LH,0.38654770468387356,0.3232548740078474
traffic,selected,HEAD_ONLY,0.43687649227229086,0.3554363020194813
traffic,selected,CAPACITY_MATCHED,0.4072700484782303,0.3399852587223855
traffic,matched_old_epoch,SIDE,0.5208357104108594,0.4180975810264714
traffic,matched_old_epoch,PRIOR,0.5325645895008396,0.42985958219287995
traffic,matched_old_epoch,BALANCED_LH,0.5070642695540419,0.4110988390386173
traffic,matched_old_epoch,HEAD_ONLY,0.5539857806176712,0.4397642004645712
traffic,matched_old_epoch,CAPACITY_MATCHED,0.5241927521495725,0.41454833823733916
