dataset,seed,arm,epochs,updates,trainable,peak_allocated_mib,peak_reserved_mib,LH_peak_allocated_mib,peak_allocated_saving_percent,active_step_seconds,early_stopped
electricity,41000,SIDE,20,1280,761952,425.869140625,450.0,1069.60009765625,60.18426498294257,48.49872689082986,False
electricity,41000,PRIOR,20,1280,761952,425.634765625,462.0,1069.60009765625,60.206177378099746,48.897787180671,False
electricity,41001,SIDE,13,832,761952,425.884765625,462.0,1069.10009765625,60.16418232879672,31.95640430887579,True
electricity,41001,PRIOR,18,1152,761952,427.619140625,462.0,1069.10009765625,60.00195476901984,43.93655550785479,True
traffic,41000,SIDE,20,1260,761952,426.384765625,468.0,1067.10009765625,60.04266454838678,48.17083855572855,False
traffic,41000,PRIOR,20,1260,761952,426.384765625,468.0,1067.10009765625,60.04266454838678,48.03256735927425,False
traffic,41001,SIDE,13,819,761952,426.384765625,468.0,1069.85009765625,60.14537302383831,31.27726490329951,True
traffic,41001,PRIOR,20,1260,761952,426.384765625,468.0,1069.85009765625,60.14537302383831,48.28106000972912,False
