batch,baseline,wall_ratio_median,wall_ratio_min,wall_ratio_max,cuda_ratio_median
1,B0,1.0589373045564154,1.0076382090889964,1.1715827837473056,1.0591293770293668
1,PETSA_XY_OFFLINE,1.0069761392205885,0.9479351631727435,1.1604032355181715,1.006932852500164
1,PLAIN,1.0266893730360245,0.7763305717992816,1.0878922535906619,1.0266047873889823
1,TOKEN_GATE,1.0251061266334238,0.9179921523450554,1.0977553773463555,1.0255413934536906
1,TOKEN_GATE_ENTROPY,1.0233914445214478,0.9066557996590754,1.1195161367965234,1.0234550812230894
32,B0,1.0637350709579738,0.9745020164719619,1.0918974560357515,1.0637818539980919
32,PETSA_XY_OFFLINE,1.015022235672756,0.9590317617353945,1.1022915792974661,1.0156480897376596
32,PLAIN,1.0275729920958852,0.983151800165387,1.0995366266558582,1.027979835334607
32,TOKEN_GATE,1.0183890385859522,0.9867087549770114,1.0822084702723604,1.018870461885355
32,TOKEN_GATE_ENTROPY,1.0254366920116267,0.9623286019139125,1.0982650687370819,1.02515617341016
