arm,batch,wall_median_ms,wall_p10_ms,wall_p90_ms,cuda_median_ms,peak_allocated_MiB,transient_peak_MiB,additional_parameters
B0,1,10.205811995547265,9.453790099360049,11.423632089281455,10.17742395401001,192.7275390625,1.3837890625,0
B0,32,10.662719490937889,9.886216599261388,12.042252201354131,10.634064197540283,226.2646484375,34.9208984375,0
MAG_ONLY,1,10.833301494130865,10.039921884890646,12.304608582053334,10.807648181915283,192.76123046875,1.3837890625,8712
MAG_ONLY,32,11.302714003250003,10.417791886720806,12.696975114522505,11.277647972106934,226.29833984375,34.9208984375,8712
PETSA_XY_OFFLINE,1,10.642565466696396,9.777283592848107,12.018824485130608,10.619120121002197,192.8037109375,1.38623046875,19010
PETSA_XY_OFFLINE,32,11.076202004915103,10.21696649841033,12.347480689641088,11.052480220794678,226.4013671875,34.98388671875,19010
PLAIN,1,10.508650506380945,9.76174658862874,12.389185710344464,10.487184047698975,192.76123046875,1.3837890625,8712
PLAIN,32,10.953917488222942,10.149818082572892,12.318214180413634,10.914400100708008,226.30224609375,34.9248046875,8712
TOKEN_GATE,1,10.650350974174216,9.798945824149996,12.100378604372963,10.616559982299805,192.76416015625,1.3837890625,9225
TOKEN_GATE,32,11.022341466741636,10.154418490128592,12.23473590798676,10.994368076324463,226.30859375,34.9248046875,9225
TOKEN_GATE_ENTROPY,1,10.564268537564203,9.795313992071897,12.100620195269585,10.543248176574707,192.76416015625,1.3837890625,9225
TOKEN_GATE_ENTROPY,32,11.014796502422541,10.13594291289337,12.229016510536894,10.989312171936035,226.30859375,34.9248046875,9225
