source,seed,round,batch,baseline,wall_ratio,cuda_ratio
electricity,81551,0,1,B0,1.058749166119725,1.0658202993813248
electricity,81551,0,1,PLAIN,1.065690245139545,1.0648682408477208
electricity,81551,0,1,TOKEN_GATE,1.0353089349774023,1.0357525364200253
electricity,81551,0,1,TOKEN_GATE_ENTROPY,1.0256043960882135,1.025203671417784
electricity,81551,0,1,PETSA_XY_OFFLINE,1.0548696128963764,1.0560435236678467
electricity,81551,0,32,B0,1.0403899239478362,1.0399612277833583
electricity,81551,0,32,PLAIN,0.998964932096257,0.9986670609140845
electricity,81551,0,32,TOKEN_GATE,0.9957993097906827,0.9959614158294943
electricity,81551,0,32,TOKEN_GATE_ENTROPY,1.0009464682650298,1.0010816890108276
electricity,81551,0,32,PETSA_XY_OFFLINE,1.0161445454578957,1.0168319243383905
electricity,81551,1,1,B0,1.0076382090889964,1.008377782965176
electricity,81551,1,1,PLAIN,1.0527255653804704,1.0534129305731001
electricity,81551,1,1,TOKEN_GATE,0.9789878685854743,0.9798815620077475
electricity,81551,1,1,TOKEN_GATE_ENTROPY,1.0579024087399511,1.0583706670694524
electricity,81551,1,1,PETSA_XY_OFFLINE,1.00167107079085,1.0021893303837803
electricity,81551,1,32,B0,1.031279991757715,1.0313473464497593
electricity,81551,1,32,PLAIN,0.9996093088276243,0.9997675274802345
electricity,81551,1,32,TOKEN_GATE,1.0016535496923415,1.0010423336685905
electricity,81551,1,32,TOKEN_GATE_ENTROPY,1.0302110945986334,1.0321662589412388
electricity,81551,1,32,PETSA_XY_OFFLINE,0.9607555398508923,0.9599777842407774
electricity,81551,2,1,B0,1.0615436135330203,1.0624294237997256
electricity,81551,2,1,PLAIN,1.0832814683744438,1.0842790244202345
electricity,81551,2,1,TOKEN_GATE,1.025171767325498,1.0257526589401809
electricity,81551,2,1,TOKEN_GATE_ENTROPY,1.0158352184017196,1.0163207403207695
electricity,81551,2,1,PETSA_XY_OFFLINE,1.07223024427616,1.0720583318618415
electricity,81551,2,32,B0,1.0455953284210213,1.0461866517934717
electricity,81551,2,32,PLAIN,1.0441461888068067,1.0488641879796832
electricity,81551,2,32,TOKEN_GATE,1.037298891859341,1.03811923769942
electricity,81551,2,32,TOKEN_GATE_ENTROPY,0.9623286019139125,0.9625444405665271
electricity,81551,2,32,PETSA_XY_OFFLINE,0.9590317617353945,0.9590491756907882
electricity,81551,3,1,B0,1.0785704416939517,1.0787771165980853
electricity,81551,3,1,PLAIN,1.0167808069122,1.0166326739507405
electricity,81551,3,1,TOKEN_GATE,0.9682655433850853,0.9683529573472158
electricity,81551,3,1,TOKEN_GATE_ENTROPY,0.9066557996590754,0.9063480323912103
electricity,81551,3,1,PETSA_XY_OFFLINE,0.9876221475152814,0.9875903362257393
electricity,81551,3,32,B0,1.0850717736094433,1.0847438828934617
electricity,81551,3,32,PLAIN,1.0260455593603346,1.0258583470917684
electricity,81551,3,32,TOKEN_GATE,1.0230871249417086,1.0225889911656858
electricity,81551,3,32,TOKEN_GATE_ENTROPY,1.0075350106905256,1.007137777317827
electricity,81551,3,32,PETSA_XY_OFFLINE,1.0341223973298053,1.03346293485035
electricity,81551,4,1,B0,1.059147128050232,1.0592138052257674
electricity,81551,4,1,PLAIN,0.9601103367468256,0.9605830239276659
electricity,81551,4,1,TOKEN_GATE,0.9179921523450554,0.9184853418698408
electricity,81551,4,1,TOKEN_GATE_ENTROPY,1.0120958896022096,1.0122978419591289
electricity,81551,4,1,PETSA_XY_OFFLINE,0.9857141303734558,0.9872913564783137
electricity,81551,4,32,B0,1.0439867962634737,1.0436211885372328
electricity,81551,4,32,PLAIN,1.0535374504891646,1.0535118514159891
