source,seed,arm,batch,n,wall_median_ms,wall_p10_ms,wall_p90_ms,cuda_median_ms,peak_allocated_MiB,transient_peak_MiB,adaptation_parameters
electricity,81551,B0,1,192,10.27575446642004,9.455179033102468,11.586607800563797,10.210384368896484,192.7275390625,1.3837890625,0
electricity,81551,B0,32,192,10.807204496813938,9.995275031542405,12.277155090123415,10.78059196472168,226.2646484375,34.9208984375,0
electricity,81551,MAG_ONLY,1,192,11.003857012838125,9.97483396786265,12.548339628847316,10.979072093963623,192.76123046875,1.3837890625,8712
electricity,81551,MAG_ONLY,32,192,11.330846522469074,10.449053696356714,13.133079290855676,11.31008005142212,226.29833984375,34.9208984375,8712
electricity,81551,PETSA_XY_OFFLINE,1,192,10.579183959634975,9.713958110660315,11.897582525853068,10.560128211975098,192.8037109375,1.38623046875,19010
electricity,81551,PETSA_XY_OFFLINE,32,192,11.246169538935646,10.244572325609624,12.749473529402167,11.221968173980713,226.4013671875,34.98388671875,19010
electricity,81551,PLAIN,1,192,10.383807006292045,9.796134399948642,12.430701206903905,10.35204792022705,192.76123046875,1.3837890625,8712
electricity,81551,PLAIN,32,192,10.98914848989807,10.088850790634751,12.474354932783172,10.964928150177002,226.30224609375,34.9248046875,8712
electricity,81551,TOKEN_GATE,1,192,10.921114007942379,9.87764981109649,12.4729098752141,10.893455982208252,192.76416015625,1.3837890625,9225
electricity,81551,TOKEN_GATE,32,192,10.977330501191318,10.175380716100335,12.20974390162155,10.954592227935791,226.30859375,34.9248046875,9225
electricity,81551,TOKEN_GATE_ENTROPY,1,192,10.777798510389403,9.838147601112723,12.763495510444045,10.743776321411133,192.76416015625,1.3837890625,9225
electricity,81551,TOKEN_GATE_ENTROPY,32,192,11.095061985542998,10.097660979954526,12.581710459198804,11.063744068145752,226.30859375,34.9248046875,9225
electricity,81552,B0,1,192,10.200972465099767,9.530065202852711,11.520679696695879,10.17742395401001,192.7275390625,1.3837890625,0
electricity,81552,B0,32,192,10.596055013593286,9.926006494788453,11.703448503976688,10.572272300720215,226.2646484375,34.9208984375,0
electricity,81552,MAG_ONLY,1,192,10.740591009380296,10.056446597445756,11.909890914103016,10.715136051177979,192.76123046875,1.3837890625,8712
electricity,81552,MAG_ONLY,32,192,11.287602013908327,10.424272518139333,12.668980017770082,11.256304264068604,226.29833984375,34.9208984375,8712
electricity,81552,PETSA_XY_OFFLINE,1,192,10.781039978610352,9.97552266344428,12.189315597061068,10.761104106903076,192.8037109375,1.38623046875,19010
electricity,81552,PETSA_XY_OFFLINE,32,192,11.016885488061234,10.28196182451211,12.091244815383106,10.975103855133057,226.4013671875,34.98388671875,19010
electricity,81552,PLAIN,1,192,10.637056024279445,9.824450261658058,12.072367023210973,10.617071628570557,192.76123046875,1.3837890625,8712
electricity,81552,PLAIN,32,192,10.976793972076848,10.302014730405062,12.45292391977273,10.954303741455078,226.30224609375,34.9248046875,8712
electricity,81552,TOKEN_GATE,1,192,10.536506510106847,9.704016795149073,11.871705896919593,10.503407955169678,192.76416015625,1.3837890625,9225
electricity,81552,TOKEN_GATE,32,192,10.985014523612335,10.152903496054932,11.893191596027464,10.961296081542969,226.30859375,34.9248046875,9225
electricity,81552,TOKEN_GATE_ENTROPY,1,192,10.498447489226237,9.810275334166363,11.94518637494184,10.473583698272705,192.76416015625,1.3837890625,9225
electricity,81552,TOKEN_GATE_ENTROPY,32,192,11.028926470316947,10.299481829861179,12.12265428621322,11.007376194000244,226.30859375,34.9248046875,9225
ettm1,81551,B0,1,192,10.144881496671587,9.392926975851879,11.263911612331867,10.123792171478271,192.7275390625,1.3837890625,0
ettm1,81551,B0,32,192,10.581088485196233,9.689109993632883,11.75051720929332,10.55457592010498,226.2646484375,34.9208984375,0
ettm1,81551,MAG_ONLY,1,192,10.800603515235707,10.070340009406209,12.6026067067869,10.776975631713867,192.76123046875,1.3837890625,8712
ettm1,81551,MAG_ONLY,32,192,11.206357012270018,10.37666582269594,12.399618438212201,11.180463790893555,226.29833984375,34.9208984375,8712
ettm1,81551,PETSA_XY_OFFLINE,1,192,10.687546979170293,9.61661349865608,12.190745794214308,10.662896156311035,192.8037109375,1.38623046875,19010
ettm1,81551,PETSA_XY_OFFLINE,32,192,10.987004032358527,10.101556009612978,12.334209401160479,10.965343952178955,226.4013671875,34.98388671875,19010
ettm1,81551,PLAIN,1,192,10.406123008579016,9.620302892290056,11.616879311623052,10.379696369171143,192.76123046875,1.3837890625,8712
ettm1,81551,PLAIN,32,192,10.851879487745464,10.078953875927255,12.219635193469003,10.8264799118042,226.30224609375,34.9248046875,8712
ettm1,81551,TOKEN_GATE,1,192,10.51982503850013,9.757455287035555,11.885552346939221,10.493439674377441,192.76416015625,1.3837890625,9225
ettm1,81551,TOKEN_GATE,32,192,11.05693748104386,10.17673701280728,12.8489860042464,11.023920059204102,226.30859375,34.9248046875,9225
ettm1,81551,TOKEN_GATE_ENTROPY,1,192,10.446038999361917,9.672290598973632,11.79639171459712,10.4269118309021,192.76416015625,1.3837890625,9225
ettm1,81551,TOKEN_GATE_ENTROPY,32,192,10.924588015768677,9.968012833269313,12.122120225103572,10.904112339019775,226.30859375,34.9248046875,9225
ettm1,81552,B0,1,192,10.292652499629185,9.456509997835383,11.417717969743535,10.267439842224121,192.7275390625,1.3837890625,0
ettm1,81552,B0,32,192,10.686029505450279,9.899009217042476,12.469202699139714,10.65444803237915,226.2646484375,34.9208984375,0
ettm1,81552,MAG_ONLY,1,192,10.70147450082004,10.05940189352259,11.946335638640448,10.678159713745117,192.76123046875,1.3837890625,8712
ettm1,81552,MAG_ONLY,32,192,11.336096038576216,10.46185886953026,12.643387011485174,11.31335973739624,226.29833984375,34.9208984375,8712
ettm1,81552,PETSA_XY_OFFLINE,1,192,10.581443493720144,9.756422194186598,11.733518465189263,10.553088188171387,192.8037109375,1.38623046875,19010
ettm1,81552,PETSA_XY_OFFLINE,32,192,11.144998017698526,10.194021003553644,12.403566989814863,11.117568016052246,226.4013671875,34.98388671875,19010
ettm1,81552,PLAIN,1,192,10.804745485074818,9.792421734891832,13.333230908028781,10.778512001037598,192.76123046875,1.3837890625,8712
ettm1,81552,PLAIN,32,192,10.900951485382393,10.157093493035063,12.145460257306695,10.874144077301025,226.30224609375,34.9248046875,8712
ettm1,81552,TOKEN_GATE,1,192,10.583385999780148,9.875680058030412,12.17307917540893,10.553232192993164,192.76416015625,1.3837890625,9225
ettm1,81552,TOKEN_GATE,32,192,11.060031509259716,10.136193584185094,12.145345198223367,11.035744190216064,226.30859375,34.9248046875,9225
ettm1,81552,TOKEN_GATE_ENTROPY,1,192,10.489638487342745,9.80224198428914,11.901749263051897,10.465007781982422,192.76416015625,1.3837890625,9225
ettm1,81552,TOKEN_GATE_ENTROPY,32,192,10.991824994562194,10.197573114419356,12.211993127129972,10.960815906524658,226.30859375,34.9248046875,9225
