origin_utc,shift_score,bin,utc_date
2026-07-01T00:00:00+00:00,1.2411261861255907,1<=S<2,2026-07-01
2026-07-01T01:00:00+00:00,1.4659101881760026,1<=S<2,2026-07-01
2026-07-01T02:00:00+00:00,1.634524671492752,1<=S<2,2026-07-01
2026-07-01T03:00:00+00:00,1.8928074707032825,1<=S<2,2026-07-01
2026-07-01T04:00:00+00:00,1.8849950395542432,1<=S<2,2026-07-01
2026-07-01T05:00:00+00:00,1.668137911320916,1<=S<2,2026-07-01
2026-07-01T06:00:00+00:00,1.4264001482616488,1<=S<2,2026-07-01
2026-07-01T07:00:00+00:00,1.1915422239612912,1<=S<2,2026-07-01
2026-07-01T08:00:00+00:00,1.0568237596279715,1<=S<2,2026-07-01
2026-07-01T09:00:00+00:00,0.8269248471914261,S<1,2026-07-01
2026-07-01T10:00:00+00:00,0.6834992693584464,S<1,2026-07-01
2026-07-01T11:00:00+00:00,0.5685266804470023,S<1,2026-07-01
2026-07-01T12:00:00+00:00,0.540795058043074,S<1,2026-07-01
2026-07-01T13:00:00+00:00,0.6082299018058334,S<1,2026-07-01
2026-07-01T14:00:00+00:00,0.6370495957716553,S<1,2026-07-01
2026-07-01T15:00:00+00:00,0.6965854671645184,S<1,2026-07-01
2026-07-01T16:00:00+00:00,0.7920327597041291,S<1,2026-07-01
2026-07-01T17:00:00+00:00,0.8792440507836979,S<1,2026-07-01
2026-07-01T18:00:00+00:00,1.0214561704587455,1<=S<2,2026-07-01
2026-07-01T19:00:00+00:00,1.1613943025904285,1<=S<2,2026-07-01
2026-07-01T20:00:00+00:00,1.2803877707904456,1<=S<2,2026-07-01
2026-07-01T21:00:00+00:00,1.4349442760479354,1<=S<2,2026-07-01
2026-07-01T22:00:00+00:00,1.7100152346665365,1<=S<2,2026-07-01
2026-07-01T23:00:00+00:00,1.8770074619822137,1<=S<2,2026-07-01
2026-07-02T00:00:00+00:00,1.9988876469561865,1<=S<2,2026-07-02
2026-07-02T01:00:00+00:00,2.267525727751224,2<=S<3,2026-07-02
2026-07-02T02:00:00+00:00,2.421196828533248,2<=S<3,2026-07-02
2026-07-02T03:00:00+00:00,2.3595412495997246,2<=S<3,2026-07-02
2026-07-02T04:00:00+00:00,2.270653822378941,2<=S<3,2026-07-02
2026-07-02T05:00:00+00:00,2.2437863594041807,2<=S<3,2026-07-02
2026-07-02T06:00:00+00:00,2.2365148911805033,2<=S<3,2026-07-02
2026-07-02T07:00:00+00:00,2.0949188399462155,2<=S<3,2026-07-02
2026-07-02T08:00:00+00:00,1.9453911599877964,1<=S<2,2026-07-02
2026-07-02T09:00:00+00:00,1.7980420456583803,1<=S<2,2026-07-02
2026-07-02T10:00:00+00:00,1.6902615657940612,1<=S<2,2026-07-02
2026-07-02T11:00:00+00:00,1.611711510592119,1<=S<2,2026-07-02
2026-07-02T12:00:00+00:00,1.6567951121254758,1<=S<2,2026-07-02
2026-07-02T13:00:00+00:00,1.8154062330566114,1<=S<2,2026-07-02
2026-07-02T14:00:00+00:00,1.9774380049289015,1<=S<2,2026-07-02
2026-07-02T15:00:00+00:00,2.102375377037287,2<=S<3,2026-07-02
2026-07-02T16:00:00+00:00,2.3244755033586997,2<=S<3,2026-07-02
2026-07-02T17:00:00+00:00,2.469445174569564,2<=S<3,2026-07-02
2026-07-02T18:00:00+00:00,2.540726376048399,2<=S<3,2026-07-02
2026-07-02T19:00:00+00:00,2.606783108993578,2<=S<3,2026-07-02
2026-07-02T20:00:00+00:00,2.779430643983122,2<=S<3,2026-07-02
2026-07-02T21:00:00+00:00,3.016281489646557,S>=3,2026-07-02
2026-07-02T22:00:00+00:00,3.0493742155725636,S>=3,2026-07-02
2026-07-02T23:00:00+00:00,3.1937678450517897,S>=3,2026-07-02
2026-07-03T00:00:00+00:00,3.4073943821939956,S>=3,2026-07-03
2026-07-03T01:00:00+00:00,3.4387803228209277,S>=3,2026-07-03
2026-07-03T02:00:00+00:00,3.651787447865206,S>=3,2026-07-03
2026-07-03T03:00:00+00:00,3.5569054139033756,S>=3,2026-07-03
2026-07-03T04:00:00+00:00,3.441856524675572,S>=3,2026-07-03
2026-07-03T05:00:00+00:00,3.255546791572054,S>=3,2026-07-03
2026-07-03T06:00:00+00:00,2.953801847677615,2<=S<3,2026-07-03
2026-07-03T07:00:00+00:00,2.7626960179776225,2<=S<3,2026-07-03
2026-07-03T08:00:00+00:00,2.5158900891232907,2<=S<3,2026-07-03
2026-07-03T09:00:00+00:00,2.333361274982214,2<=S<3,2026-07-03
2026-07-03T10:00:00+00:00,2.0990675242766414,2<=S<3,2026-07-03
2026-07-03T11:00:00+00:00,1.9254983532708372,1<=S<2,2026-07-03
2026-07-03T12:00:00+00:00,1.8069512251639857,1<=S<2,2026-07-03
2026-07-03T13:00:00+00:00,1.678812911892898,1<=S<2,2026-07-03
2026-07-03T14:00:00+00:00,1.6475348364736668,1<=S<2,2026-07-03
2026-07-03T15:00:00+00:00,1.6475348364736668,1<=S<2,2026-07-03
2026-07-03T16:00:00+00:00,1.6485223232209674,1<=S<2,2026-07-03
2026-07-03T17:00:00+00:00,1.756801366327925,1<=S<2,2026-07-03
2026-07-03T18:00:00+00:00,1.772768366669114,1<=S<2,2026-07-03
2026-07-03T19:00:00+00:00,1.798121040299581,1<=S<2,2026-07-03
2026-07-03T20:00:00+00:00,1.831945152608503,1<=S<2,2026-07-03
2026-07-03T21:00:00+00:00,1.813900228469425,1<=S<2,2026-07-03
2026-07-03T22:00:00+00:00,1.6857746719177231,1<=S<2,2026-07-03
2026-07-03T23:00:00+00:00,1.8094982857204036,1<=S<2,2026-07-03
2026-07-04T00:00:00+00:00,1.8896387303501543,1<=S<2,2026-07-04
2026-07-04T01:00:00+00:00,2.0025634727382142,2<=S<3,2026-07-04
2026-07-04T02:00:00+00:00,2.122989200634765,2<=S<3,2026-07-04
2026-07-04T03:00:00+00:00,2.078209564261114,2<=S<3,2026-07-04
2026-07-04T04:00:00+00:00,1.8694404143526846,1<=S<2,2026-07-04
2026-07-04T05:00:00+00:00,1.6982541397328559,1<=S<2,2026-07-04
