topic,verdict,etth1_gain_percent,traffic_gain_percent
anchor,PILOT_STOP,0.19587819150564956,0.34075453347689466
drift,PILOT_STOP,0.011882787834438524,-1.2816441946161383
distill,STOP_NO_TEACHER_HEADROOM,,
