fit,source,arm,seed,lr,trainable_parameters,optimizer_seconds,validation_seconds,peak_allocated,peak_reserved
ettm1_TOKEN_GATE_ENTROPY_s81551_lr0.0001,ettm1,TOKEN_GATE_ENTROPY,81551,0.0001,9225,39.767904063512105,6.419564310112037,381374976,400556032
ettm1_TOKEN_GATE_ENTROPY_s81550_lr0.0001,ettm1,TOKEN_GATE_ENTROPY,81550,0.0001,9225,36.719019990065135,5.493333582940977,381374976,400556032
electricity_TOKEN_GATE_s81550_lr0.0003,electricity,TOKEN_GATE,81550,0.0003,9225,34.30126151139848,4.98365093790926,381374976,400556032
electricity_TOKEN_GATE_ENTROPY_s81552_lr0.0003,electricity,TOKEN_GATE_ENTROPY,81552,0.0003,9225,41.042139402299654,6.212726948026102,381374976,400556032
electricity_TOKEN_GATE_s81552_lr0.0003,electricity,TOKEN_GATE,81552,0.0003,9225,37.01514724921435,5.517134332971182,381374976,400556032
ettm1_TOKEN_GATE_s81550_lr0.0001,ettm1,TOKEN_GATE,81550,0.0001,9225,34.568024894513655,5.036370825953782,381374976,400556032
ettm1_TOKEN_GATE_ENTROPY_s81552_lr0.0001,ettm1,TOKEN_GATE_ENTROPY,81552,0.0001,9225,40.82011125306599,6.3592770990217105,381374976,400556032
ettm1_TOKEN_GATE_s81551_lr0.0003,ettm1,TOKEN_GATE,81551,0.0003,9225,39.360912781441584,6.116488753061276,381374976,400556032
electricity_TOKEN_GATE_ENTROPY_s81551_lr0.0003,electricity,TOKEN_GATE_ENTROPY,81551,0.0003,9225,37.62334608763922,5.794101852108724,381374976,400556032
electricity_TOKEN_GATE_s81551_lr0.0003,electricity,TOKEN_GATE,81551,0.0003,9225,36.827101189875975,5.560606830986217,381374976,400556032
ettm1_TOKEN_GATE_ENTROPY_s81550_lr0.0003,ettm1,TOKEN_GATE_ENTROPY,81550,0.0003,9225,37.60138483776245,5.689890140958596,381374976,400556032
electricity_TOKEN_GATE_s81550_lr0.0001,electricity,TOKEN_GATE,81550,0.0001,9225,34.561098720820155,5.275152073067147,380259840,400556032
ettm1_TOKEN_GATE_s81550_lr0.0003,ettm1,TOKEN_GATE,81550,0.0003,9225,35.77797751070466,5.2221624230151065,381374976,400556032
electricity_TOKEN_GATE_ENTROPY_s81550_lr0.0003,electricity,TOKEN_GATE_ENTROPY,81550,0.0003,9225,34.5404102075845,4.998856249963865,381374976,400556032
electricity_TOKEN_GATE_ENTROPY_s81550_lr0.0001,electricity,TOKEN_GATE_ENTROPY,81550,0.0001,9225,34.64450258569559,5.022769892064389,381374976,400556032
ettm1_TOKEN_GATE_s81552_lr0.0003,ettm1,TOKEN_GATE,81552,0.0003,9225,40.06378473743098,6.195523360976949,381374976,400556032
