view,crossing_pairs,total_pairs,fraction
electricity_transfer__shape__TOKEN_GATE__s81551__selected,44029,9437184,0.004665480719672309
electricity_transfer__shape__TOKEN_GATE__s81552__fixed1024,38926,9437184,0.0041247473822699655
electricity_transfer__shape__TOKEN_GATE__s81552__selected,38926,9437184,0.0041247473822699655
electricity_transfer__standard__B0__s81551__fixed1024,47849,20971520,0.0022816181182861326
electricity_transfer__standard__B0__s81551__selected,47849,20971520,0.0022816181182861326
electricity_transfer__standard__B0__s81552__fixed1024,34587,20971520,0.0016492366790771484
electricity_transfer__standard__B0__s81552__selected,34587,20971520,0.0016492366790771484
electricity_transfer__standard__C3__s81551__fixed1024,46393,20971520,0.002212190628051758
electricity_transfer__standard__C3__s81551__selected,60953,20971520,0.002906465530395508
electricity_transfer__standard__C3__s81552__fixed1024,36657,20971520,0.0017479419708251952
electricity_transfer__standard__C3__s81552__selected,37327,20971520,0.0017798900604248046
electricity_transfer__standard__MAG_ONLY__s81551__fixed1024,49565,20971520,0.002363443374633789
electricity_transfer__standard__MAG_ONLY__s81551__selected,62173,20971520,0.002964639663696289
electricity_transfer__standard__MAG_ONLY__s81552__fixed1024,37726,20971520,0.0017989158630371093
electricity_transfer__standard__MAG_ONLY__s81552__selected,37785,20971520,0.0018017292022705078
electricity_transfer__standard__PLAIN__s81551__fixed1024,50817,20971520,0.0024231433868408202
electricity_transfer__standard__PLAIN__s81551__selected,50196,20971520,0.0023935317993164064
electricity_transfer__standard__PLAIN__s81552__fixed1024,41129,20971520,0.0019611835479736326
electricity_transfer__standard__PLAIN__s81552__selected,41129,20971520,0.0019611835479736326
electricity_transfer__standard__TOKEN_GATE_ENTROPY__s81551__fixed1024,48706,20971520,0.002322483062744141
electricity_transfer__standard__TOKEN_GATE_ENTROPY__s81551__selected,63871,20971520,0.00304560661315918
electricity_transfer__standard__TOKEN_GATE_ENTROPY__s81552__fixed1024,36063,20971520,0.0017196178436279298
electricity_transfer__standard__TOKEN_GATE_ENTROPY__s81552__selected,35637,20971520,0.0016993045806884765
electricity_transfer__standard__TOKEN_GATE__s81551__fixed1024,51403,20971520,0.0024510860443115235
electricity_transfer__standard__TOKEN_GATE__s81551__selected,66080,20971520,0.00315093994140625
electricity_transfer__standard__TOKEN_GATE__s81552__fixed1024,39621,20971520,0.0018892765045166015
electricity_transfer__standard__TOKEN_GATE__s81552__selected,39621,20971520,0.0018892765045166015
ettm1__shape__B0__s81551__fixed1024,0,2359296,0.0
ettm1__shape__B0__s81551__selected,0,2359296,0.0
ettm1__shape__B0__s81552__fixed1024,33,2359296,1.3987223307291666e-05
ettm1__shape__B0__s81552__selected,33,2359296,1.3987223307291666e-05
ettm1__shape__C3__s81551__fixed1024,0,2359296,0.0
ettm1__shape__C3__s81551__selected,0,2359296,0.0
ettm1__shape__C3__s81552__fixed1024,2,2359296,8.477105034722222e-07
ettm1__shape__C3__s81552__selected,2,2359296,8.477105034722222e-07
ettm1__shape__MAG_ONLY__s81551__fixed1024,0,2359296,0.0
ettm1__shape__MAG_ONLY__s81551__selected,0,2359296,0.0
ettm1__shape__MAG_ONLY__s81552__fixed1024,2,2359296,8.477105034722222e-07
ettm1__shape__MAG_ONLY__s81552__selected,33,2359296,1.3987223307291666e-05
ettm1__shape__PLAIN__s81551__fixed1024,0,2359296,0.0
ettm1__shape__PLAIN__s81551__selected,0,2359296,0.0
ettm1__shape__PLAIN__s81552__fixed1024,2,2359296,8.477105034722222e-07
ettm1__shape__PLAIN__s81552__selected,2,2359296,8.477105034722222e-07
ettm1__shape__TOKEN_GATE_ENTROPY__s81551__fixed1024,0,2359296,0.0
ettm1__shape__TOKEN_GATE_ENTROPY__s81551__selected,0,2359296,0.0
ettm1__shape__TOKEN_GATE_ENTROPY__s81552__fixed1024,2,2359296,8.477105034722222e-07
ettm1__shape__TOKEN_GATE_ENTROPY__s81552__selected,2,2359296,8.477105034722222e-07
ettm1__shape__TOKEN_GATE__s81551__fixed1024,0,2359296,0.0
ettm1__shape__TOKEN_GATE__s81551__selected,0,2359296,0.0
ettm1__shape__TOKEN_GATE__s81552__fixed1024,2,2359296,8.477105034722222e-07
ettm1__shape__TOKEN_GATE__s81552__selected,2,2359296,8.477105034722222e-07
ettm1__standard__B0__s81551__fixed1024,36,5242880,6.866455078125e-06
ettm1__standard__B0__s81551__selected,36,5242880,6.866455078125e-06
ettm1__standard__B0__s81552__fixed1024,297,5242880,5.664825439453125e-05
ettm1__standard__B0__s81552__selected,297,5242880,5.664825439453125e-05
ettm1__standard__C3__s81551__fixed1024,46,5242880,8.7738037109375e-06
ettm1__standard__C3__s81551__selected,36,5242880,6.866455078125e-06
ettm1__standard__C3__s81552__fixed1024,263,5242880,5.016326904296875e-05
ettm1__standard__C3__s81552__selected,263,5242880,5.016326904296875e-05
ettm1__standard__MAG_ONLY__s81551__fixed1024,44,5242880,8.392333984375e-06
ettm1__standard__MAG_ONLY__s81551__selected,36,5242880,6.866455078125e-06
ettm1__standard__MAG_ONLY__s81552__fixed1024,276,5242880,5.2642822265625e-05
ettm1__standard__MAG_ONLY__s81552__selected,297,5242880,5.664825439453125e-05
ettm1__standard__PLAIN__s81551__fixed1024,51,5242880,9.72747802734375e-06
ettm1__standard__PLAIN__s81551__selected,36,5242880,6.866455078125e-06
ettm1__standard__PLAIN__s81552__fixed1024,299,5242880,5.702972412109375e-05
ettm1__standard__PLAIN__s81552__selected,299,5242880,5.702972412109375e-05
ettm1__standard__TOKEN_GATE_ENTROPY__s81551__fixed1024,50,5242880,9.5367431640625e-06
ettm1__standard__TOKEN_GATE_ENTROPY__s81551__selected,36,5242880,6.866455078125e-06
ettm1__standard__TOKEN_GATE_ENTROPY__s81552__fixed1024,319,5242880,6.084442138671875e-05
ettm1__standard__TOKEN_GATE_ENTROPY__s81552__selected,306,5242880,5.83648681640625e-05
ettm1__standard__TOKEN_GATE__s81551__fixed1024,47,5242880,8.96453857421875e-06
ettm1__standard__TOKEN_GATE__s81551__selected,36,5242880,6.866455078125e-06
ettm1__standard__TOKEN_GATE__s81552__fixed1024,294,5242880,5.60760498046875e-05
ettm1__standard__TOKEN_GATE__s81552__selected,294,5242880,5.60760498046875e-05
neso_2026_jul_aug__shape__B0__s81551__fixed1024,317,506880,0.0006253945707070707
neso_2026_jul_aug__shape__B0__s81551__selected,317,506880,0.0006253945707070707
neso_2026_jul_aug__shape__B0__s81552__fixed1024,193,506880,0.00038076073232323234
neso_2026_jul_aug__shape__B0__s81552__selected,193,506880,0.00038076073232323234
neso_2026_jul_aug__shape__C3__s81551__fixed1024,595,506880,0.0011738478535353535
neso_2026_jul_aug__shape__C3__s81551__selected,678,506880,0.001337594696969697
neso_2026_jul_aug__shape__C3__s81552__fixed1024,617,506880,0.0012172506313131313
neso_2026_jul_aug__shape__C3__s81552__selected,524,506880,0.0010337752525252525
neso_2026_jul_aug__shape__MAG_ONLY__s81551__fixed1024,569,506880,0.0011225536616161617
neso_2026_jul_aug__shape__MAG_ONLY__s81551__selected,628,506880,0.0012389520202020202
neso_2026_jul_aug__shape__MAG_ONLY__s81552__fixed1024,680,506880,0.001341540404040404
neso_2026_jul_aug__shape__MAG_ONLY__s81552__selected,576,506880,0.0011363636363636363
neso_2026_jul_aug__shape__PLAIN__s81551__fixed1024,1102,506880,0.002174084595959596
neso_2026_jul_aug__shape__PLAIN__s81551__selected,590,506880,0.0011639835858585858
neso_2026_jul_aug__shape__PLAIN__s81552__fixed1024,607,506880,0.0011975220959595959
neso_2026_jul_aug__shape__PLAIN__s81552__selected,607,506880,0.0011975220959595959
neso_2026_jul_aug__shape__TOKEN_GATE_ENTROPY__s81551__fixed1024,1083,506880,0.002136600378787879
neso_2026_jul_aug__shape__TOKEN_GATE_ENTROPY__s81551__selected,1204,506880,0.0023753156565656567
neso_2026_jul_aug__shape__TOKEN_GATE_ENTROPY__s81552__fixed1024,442,506880,0.0008720012626262626
neso_2026_jul_aug__shape__TOKEN_GATE_ENTROPY__s81552__selected,317,506880,0.0006253945707070707
neso_2026_jul_aug__shape__TOKEN_GATE__s81551__fixed1024,1122,506880,0.0022135416666666666
neso_2026_jul_aug__shape__TOKEN_GATE__s81551__selected,1210,506880,0.002387152777777778
neso_2026_jul_aug__shape__TOKEN_GATE__s81552__fixed1024,589,506880,0.0011620107323232322
neso_2026_jul_aug__shape__TOKEN_GATE__s81552__selected,589,506880,0.0011620107323232322
neso_2026_jul_aug__standard__B0__s81551__fixed1024,64,563200,0.00011363636363636364
neso_2026_jul_aug__standard__B0__s81551__selected,64,563200,0.00011363636363636364
neso_2026_jul_aug__standard__B0__s81552__fixed1024,13,563200,2.3082386363636363e-05
neso_2026_jul_aug__standard__B0__s81552__selected,13,563200,2.3082386363636363e-05
neso_2026_jul_aug__standard__C3__s81551__fixed1024,89,563200,0.00015802556818181817
neso_2026_jul_aug__standard__C3__s81551__selected,114,563200,0.00020241477272727273
neso_2026_jul_aug__standard__C3__s81552__fixed1024,39,563200,6.924715909090909e-05
neso_2026_jul_aug__standard__C3__s81552__selected,32,563200,5.681818181818182e-05
neso_2026_jul_aug__standard__MAG_ONLY__s81551__fixed1024,78,563200,0.00013849431818181818
neso_2026_jul_aug__standard__MAG_ONLY__s81551__selected,109,563200,0.00019353693181818182
neso_2026_jul_aug__standard__MAG_ONLY__s81552__fixed1024,41,563200,7.279829545454545e-05
neso_2026_jul_aug__standard__MAG_ONLY__s81552__selected,35,563200,6.214488636363636e-05
neso_2026_jul_aug__standard__PLAIN__s81551__fixed1024,136,563200,0.00024147727272727274
neso_2026_jul_aug__standard__PLAIN__s81551__selected,99,563200,0.00017578125
neso_2026_jul_aug__standard__PLAIN__s81552__fixed1024,35,563200,6.214488636363636e-05
neso_2026_jul_aug__standard__PLAIN__s81552__selected,35,563200,6.214488636363636e-05
neso_2026_jul_aug__standard__TOKEN_GATE_ENTROPY__s81551__fixed1024,113,563200,0.00020063920454545454
neso_2026_jul_aug__standard__TOKEN_GATE_ENTROPY__s81551__selected,141,563200,0.0002503551136363636
neso_2026_jul_aug__standard__TOKEN_GATE_ENTROPY__s81552__fixed1024,19,563200,3.3735795454545455e-05
neso_2026_jul_aug__standard__TOKEN_GATE_ENTROPY__s81552__selected,16,563200,2.840909090909091e-05
neso_2026_jul_aug__standard__TOKEN_GATE__s81551__fixed1024,140,563200,0.00024857954545454543
neso_2026_jul_aug__standard__TOKEN_GATE__s81551__selected,163,563200,0.00028941761363636366
neso_2026_jul_aug__standard__TOKEN_GATE__s81552__fixed1024,33,563200,5.859375e-05
neso_2026_jul_aug__standard__TOKEN_GATE__s81552__selected,33,563200,5.859375e-05
