source,budget,seed,arm,F0_loss,loss,relative_gain_vs_native,gain_vs_F0,selected_lr,selected_step
beijing,32,34000,native,0.21133329451344984,0.2105153616590959,0.0,0.3870345447635496,3e-05,150
beijing,32,34000,native_anchor,0.21133329451344984,0.2099615996407505,0.2630506457966447,0.6490670936907377,3e-05,150
beijing,32,34001,native,0.21133329451344984,0.21049452875220526,0.0,0.39689238895161644,3e-05,150
beijing,32,34001,native_anchor,0.21133329451344984,0.21028449044747408,0.09978326086491214,0.49627961764870804,3e-05,150
beijing,233,34000,native,0.21133329451344984,0.21634178155426229,0.0,-2.3699469846166092,0.0001,450
beijing,233,34000,native_anchor,0.21133329451344984,0.21017693885234523,2.8495848825996686,0.5471715489823207,0.0001,450
beijing,233,34001,native,0.21133329451344984,0.22390999915129134,0.0,-5.951123161542858,3e-05,900
beijing,233,34001,native_anchor,0.21133329451344984,0.2117055386750775,5.450609853277497,-0.17614080284162648,3e-05,900
ettm2_later,32,34000,native,0.1292031730692813,0.1292031730692813,0.0,0.0,3e-05,0
ettm2_later,32,34000,native_anchor,0.1292031730692813,0.1292031730692813,0.0,0.0,3e-05,0
ettm2_later,32,34001,native,0.1292031730692813,0.1292031730692813,0.0,0.0,3e-05,0
ettm2_later,32,34001,native_anchor,0.1292031730692813,0.1292031730692813,0.0,0.0,3e-05,0
ettm2_later,233,34000,native,0.1292031730692813,0.1292031730692813,0.0,0.0,3e-05,0
ettm2_later,233,34000,native_anchor,0.1292031730692813,0.1292031730692813,0.0,0.0,3e-05,0
ettm2_later,233,34001,native,0.1292031730692813,0.1292031730692813,0.0,0.0,3e-05,0
ettm2_later,233,34001,native_anchor,0.1292031730692813,0.1292031730692813,0.0,0.0,3e-05,0
electricity_new,32,34000,native,0.22176288069002428,0.21985828609476793,0.0,0.85884282767708,3e-05,150
electricity_new,32,34000,native_anchor,0.22176288069002428,0.22047611183093946,-0.2810108944018697,0.5802453751867719,3e-05,150
electricity_new,32,34001,native,0.22176288069002428,0.21902755060743123,0.0,1.2334481199387202,3e-05,150
electricity_new,32,34001,native_anchor,0.22176288069002428,0.21938170887416047,-0.16169576190166604,1.0737467913722507,3e-05,150
electricity_new,233,34000,native,0.22176288069002428,0.22165502304781973,0.0,0.04863647237488655,3e-05,450
electricity_new,233,34000,native_anchor,0.22176288069002428,0.22381538323789169,-0.9746497780047526,-0.9255392703598349,3e-05,900
electricity_new,233,34001,native,0.22176288069002428,0.22013193119307467,0.0,0.7354474706834827,0.0001,150
electricity_new,233,34001,native_anchor,0.22176288069002428,0.22313010595787108,-1.3619899432794034,-0.6165257520071089,3e-05,900
