panel,kind,condition,new,baseline,origin,new_nmae,baseline_nmae,absolute_error_benefit
electricity,shape,PAIRED_SHIFT8_D32,C3,POS_ONLY,21068,0.20098123818463992,0.20243469008955295,0.0014534519049130483
electricity,shape,PAIRED_SHIFT8_D32,C3,POS_ONLY,21147,0.147243405503807,0.14907522401035203,0.0018318185065450488
electricity,shape,PAIRED_SHIFT8_D32,C3,POS_ONLY,21216,0.27337026184432345,0.2767907880892061,0.003420526244882614
electricity,shape,PAIRED_SHIFT8_D32,C3,POS_ONLY,21303,0.43799519756933497,0.43837253426539824,0.0003773366960632789
electricity,shape,PAIRED_SHIFT8_D32,C3,POS_ONLY,21402,0.17677553774631913,0.17379592540200248,-0.0029796123443166754
electricity,shape,PAIRED_SHIFT8_D32,C3,POS_ONLY,21470,0.20151385888429066,0.20117902070831,-0.00033483817598064635
electricity,shape,PAIRED_SHIFT8_D32,C3,POS_ONLY,21573,0.24047628915258729,0.24217717709547062,0.0017008879428833013
electricity,shape,PAIRED_SHIFT8_D32,C3,POS_ONLY,21630,0.16058255724407386,0.15984475669371417,-0.0007378005503596696
electricity,shape,PAIRED_SHIFT8_D32,C3,POS_ONLY,21700,0.14558172062757757,0.14486160595926317,-0.0007201146683143808
electricity,shape,PAIRED_SHIFT8_D32,C3,POS_ONLY,21793,0.14343714040291575,0.14518843072816198,0.0017512903252462362
electricity,shape,PAIRED_SHIFT8_D32,C3,POS_ONLY,21876,0.18544553880682405,0.18658320757740857,0.001137668770584529
electricity,shape,PAIRED_SHIFT8_D32,C3,POS_ONLY,21941,0.16453079730950568,0.16714041195569518,0.002609614646189526
electricity,shape,PAIRED_SHIFT8_D32,C3,POS_ONLY,22043,0.2645986239159957,0.26319177161881047,-0.0014068522971852366
electricity,shape,PAIRED_SHIFT8_D32,C3,POS_ONLY,22115,0.32713985082912045,0.32968260224350054,0.002542751414380126
electricity,shape,PAIRED_SHIFT8_D32,C3,POS_ONLY,22215,0.18904806817555148,0.18892105034538495,-0.00012701783016652287
electricity,shape,PAIRED_SHIFT8_D32,C3,POS_ONLY,22285,0.17653829493986212,0.17661856039588444,8.026545602231837e-05
electricity,shape,PAIRED_SHIFT8_D32,C3,POS_ONLY,22360,0.18271417655145145,0.17852330840691255,-0.004190868144538911
electricity,shape,PAIRED_SHIFT8_D32,C3,POS_ONLY,22443,0.14842085293444915,0.15172449452042694,0.003303641585977776
