panel,kind,condition,new,baseline,seed,new_nmae,baseline_nmae,gain_pct
electricity,shape,PAIRED_SHIFT8_D32,C3,POS_ONLY,81551,0.20478331838228292,0.20518718706367658,0.19682938646082837
electricity,shape,PAIRED_SHIFT8_D32,C3,POS_ONLY,81552,0.20495632134116135,0.20621046678863394,0.6081870949635637
electricity,shape,PAIRED_SHIFT8_D32,C3,POS_ONLY,81553,0.20506294612476453,0.20454745699941007,-0.2520144385642187
electricity,shape,PAIRED_SHIFT8_D32,C3,MAG_ONLY,81551,0.20478331838228292,0.204623093178736,-0.07830260067809292
electricity,shape,PAIRED_SHIFT8_D32,C3,MAG_ONLY,81552,0.20495632134116135,0.20470281626954884,-0.12384053929122008
electricity,shape,PAIRED_SHIFT8_D32,C3,MAG_ONLY,81553,0.20506294612476453,0.20510903593463306,0.022470882210778864
electricity,shape,PAIRED_SHIFT8_D32,C3,OUTPUT_CONTEXT,81551,0.20478331838228292,0.20768760600270675,1.3983923626073147
electricity,shape,PAIRED_SHIFT8_D32,C3,OUTPUT_CONTEXT,81552,0.20495632134116135,0.20766350154365587,1.303637944256375
electricity,shape,PAIRED_SHIFT8_D32,C3,OUTPUT_CONTEXT,81553,0.20506294612476453,0.20752886134542367,1.1882276058724828
electricity,shape,PAIRED_SHIFT8_D32,C3,C0,81551,0.20478331838228292,0.21142078463748243,3.1394577721299277
electricity,shape,PAIRED_SHIFT8_D32,C3,C0,81552,0.20495632134116135,0.2143870549534957,4.398928664037127
electricity,shape,PAIRED_SHIFT8_D32,C3,C0,81553,0.20506294612476453,0.20830589272381267,1.5568194238978483
electricity,shape,PAIRED_SHIFT8_D32,C3,C2,81551,0.20478331838228292,0.2050580198354147,0.1339627942141708
electricity,shape,PAIRED_SHIFT8_D32,C3,C2,81552,0.20495632134116135,0.2101600645460429,2.4760856522012986
electricity,shape,PAIRED_SHIFT8_D32,C3,C2,81553,0.20506294612476453,0.20471650191958302,-0.16923120604981357
electricity,shape,PAIRED_SHIFT8_D32,C3,M_RECENCY,81551,0.20478331838228292,0.20528135498552608,0.24261170883165262
electricity,shape,PAIRED_SHIFT8_D32,C3,M_RECENCY,81552,0.20495632134116135,0.20503378683250692,0.03778181759324095
electricity,shape,PAIRED_SHIFT8_D32,C3,M_RECENCY,81553,0.20506294612476453,0.20502694343610567,-0.01755997921808472
electricity,shape,PAIRED_SHIFT8_D32,C3,M_MEAN,81551,0.20478331838228292,0.20501019499571482,0.11066601513970431
electricity,shape,PAIRED_SHIFT8_D32,C3,M_MEAN,81552,0.20495632134116135,0.20894709437191294,1.9099442577786063
electricity,shape,PAIRED_SHIFT8_D32,C3,M_MEAN,81553,0.20506294612476453,0.20482295837300638,-0.117168384669597
electricity,shape,PAIRED_SHIFT8_D32,C3,M_ROTATE16,81551,0.20478331838228292,0.20525933838778032,0.2319114975407821
electricity,shape,PAIRED_SHIFT8_D32,C3,M_ROTATE16,81552,0.20495632134116135,0.21003725758870712,2.4190642678715624
electricity,shape,PAIRED_SHIFT8_D32,C3,M_ROTATE16,81553,0.20506294612476453,0.20469030848187955,-0.1820494803338235
electricity,shape,PAIRED_SHIFT8_D32,C3,F0,81551,0.20478331838228292,0.3239126702860632,36.77823155190912
electricity,shape,PAIRED_SHIFT8_D32,C3,F0,81552,0.20495632134116135,0.3239126702860632,36.724821180920664
electricity,shape,PAIRED_SHIFT8_D32,C3,F0,81553,0.20506294612476453,0.3239126702860632,36.69190342456707
electricity,shape,PAIRED_SHIFT8_D32,POS_ONLY,C0,81551,0.20518718706367658,0.21142078463748243,2.948431765823978
electricity,shape,PAIRED_SHIFT8_D32,POS_ONLY,C0,81552,0.20621046678863394,0.2143870549534957,3.813937444420512
electricity,shape,PAIRED_SHIFT8_D32,POS_ONLY,C0,81553,0.20454745699941007,0.20830589272381267,1.8042867992149492
electricity,shape,PAIRED_SHIFT8_D32,POS_ONLY,C2,81551,0.20518718706367658,0.2050580198354147,-0.06299057621135251
electricity,shape,PAIRED_SHIFT8_D32,POS_ONLY,C2,81552,0.20621046678863394,0.2101600645460429,1.8793283899775637
electricity,shape,PAIRED_SHIFT8_D32,POS_ONLY,C2,81553,0.20454745699941007,0.20471650191958302,0.08257513126096461
electricity,shape,PAIRED_SHIFT8_D32,MAG_ONLY,C0,81551,0.204623093178736,0.21142078463748243,3.2152427541134343
electricity,shape,PAIRED_SHIFT8_D32,MAG_ONLY,C0,81552,0.20470281626954884,0.2143870549534957,4.517175109312232
electricity,shape,PAIRED_SHIFT8_D32,MAG_ONLY,C0,81553,0.20510903593463306,0.20830589272381267,1.5346934008334756
electricity,shape,PAIRED_SHIFT8_D32,MAG_ONLY,C2,81551,0.204623093178736,0.2050580198354147,0.21209931561212425
electricity,shape,PAIRED_SHIFT8_D32,MAG_ONLY,C2,81552,0.20470281626954884,0.2101600645460429,2.596710411315317
electricity,shape,PAIRED_SHIFT8_D32,MAG_ONLY,C2,81553,0.20510903593463306,0.20471650191958302,-0.1917451750930388
electricity,shape,PAIRED_SHIFT8_D32,OUTPUT_CONTEXT,C0,81551,0.20768760600270675,0.21142078463748243,1.765757629353648
