panel,kind,condition,new,baseline,new_nmae,baseline_nmae,gain_pct,ci_type,ci_low_pct,ci_high_pct,bonferroni3_low_pct,bonferroni3_high_pct,conditional_on_fixed_seeds,development_E_reused
electricity,shape,PAIRED_SHIFT8_D32,C3,POS_ONLY,0.20493419528273626,0.20531503695057352,0.1854913665816582,time,-0.07693988744308045,0.4398141823295647,-0.1267062442410849,0.5093164641535576,True,True
electricity,shape,PAIRED_SHIFT8_D32,C3,MAG_ONLY,0.20493419528273626,0.20481164846097263,-0.05983391212585065,time,-0.1453556783131993,0.01678316480962225,-0.16191603817842237,0.03950094094784291,True,True
electricity,shape,PAIRED_SHIFT8_D32,C3,OUTPUT_CONTEXT,0.20493419528273626,0.2076266562972621,1.296780029376865,time,0.7016384135958496,1.9319125646692603,0.5744994265610367,2.080458818326673,True,True
electricity,shape,PAIRED_SHIFT8_D32,C3,C0,0.20493419528273626,0.2113712441049303,3.0453758501787997,time,2.322730674768996,3.858746294761717,,,True,True
electricity,shape,PAIRED_SHIFT8_D32,C3,C2,0.20493419528273626,0.20664486210034688,0.8278293494565214,time,0.4201178120948265,1.2666915573619868,,,True,True
electricity,shape,PAIRED_SHIFT8_D32,C3,M_RECENCY,0.20493419528273626,0.20511402841804624,0.08767471279119698,time,-0.010290780000985489,0.19272779005374233,,,True,True
electricity,shape,PAIRED_SHIFT8_D32,C3,M_MEAN,0.20493419528273626,0.2062600825802114,0.6428230227046083,time,0.2636049912984065,1.0358252924542635,,,True,True
electricity,shape,PAIRED_SHIFT8_D32,C3,M_ROTATE16,0.20493419528273626,0.20666230148612233,0.836198083036499,time,0.4398410431791028,1.2706894186493178,,,True,True
electricity,shape,PAIRED_SHIFT8_D32,C3,F0,0.20493419528273626,0.3239126702860632,36.73165205246563,time,30.382143981867994,41.76078230480805,,,True,True
electricity,shape,PAIRED_SHIFT8_D32,POS_ONLY,C0,0.20531503695057352,0.2113712441049303,2.865199180712741,time,2.1760271581816966,3.6257714112576624,,,True,True
electricity,shape,PAIRED_SHIFT8_D32,POS_ONLY,C2,0.20531503695057352,0.20664486210034688,0.6435316785798451,time,0.42215651659191666,0.883730575962463,,,True,True
electricity,shape,PAIRED_SHIFT8_D32,MAG_ONLY,C0,0.20481164846097263,0.2113712441049303,3.103352904854606,time,2.352006397626404,3.9330432190552007,,,True,True
electricity,shape,PAIRED_SHIFT8_D32,MAG_ONLY,C2,0.20481164846097263,0.20664486210034688,0.8871324555284832,time,0.4463792266146782,1.3629309829235001,,,True,True
electricity,shape,PAIRED_SHIFT8_D32,OUTPUT_CONTEXT,C0,0.2076266562972621,0.2113712441049303,1.771569176083998,time,1.3446695072434387,2.2295675278565086,,,True,True
electricity,shape,PAIRED_SHIFT8_D32,OUTPUT_CONTEXT,C2,0.2076266562972621,0.20664486210034688,-0.4751118353179651,time,-1.242430801107861,0.30991733208555144,,,True,True
electricity,shape,PULSE8_D32,C3,POS_ONLY,3.0033453833773063,2.9900757498639425,-0.44378920881744666,time,-0.46607241160810997,-0.4218468197122921,-0.4694906334074178,-0.4173935540877971,True,True
electricity,shape,PULSE8_D32,C3,MAG_ONLY,3.0033453833773063,3.0042111231967947,0.028817542575609867,time,0.019243110340207703,0.036557770043405824,0.016473806647066453,0.03791115827692482,True,True
electricity,shape,PULSE8_D32,C3,OUTPUT_CONTEXT,3.0033453833773063,2.998752880764086,-0.153147084665739,time,-0.18372369658579024,-0.12190058356170988,-0.1896925970708141,-0.113904285374579,True,True
electricity,shape,PULSE8_D32,C3,C0,3.0033453833773063,2.99348744864939,-0.3293127129149642,time,-0.3605682627446033,-0.2980902124657198,,,True,True
electricity,shape,PULSE8_D32,C3,C2,3.0033453833773063,2.9846648413852037,-0.6258840769348462,time,-0.6514796767265263,-0.598554892620346,,,True,True
electricity,shape,PULSE8_D32,C3,M_RECENCY,3.0033453833773063,3.0019335120724593,-0.0470320644734068,time,-0.06084669926591457,-0.03469974524387187,,,True,True
electricity,shape,PULSE8_D32,C3,M_MEAN,3.0033453833773063,2.9869319520534505,-0.5495080432807331,time,-0.570971007764941,-0.5270098758613417,,,True,True
electricity,shape,PULSE8_D32,C3,M_ROTATE16,3.0033453833773063,2.984525193878175,-0.6305924150928677,time,-0.6529589933246466,-0.6057553398834087,,,True,True
electricity,shape,PULSE8_D32,C3,F0,3.0033453833773063,2.886527138233591,-4.047017039832945,time,-4.821054664546358,-3.3256175899334472,,,True,True
electricity,shape,PULSE8_D32,POS_ONLY,C0,2.9900757498639425,2.99348744864939,0.11397070620713379,time,0.07452872738013011,0.15150810820363597,,,True,True
electricity,shape,PULSE8_D32,POS_ONLY,C2,2.9900757498639425,2.9846648413852037,-0.1812903212351058,time,-0.19777008941641583,-0.16243471556006753,,,True,True
electricity,shape,PULSE8_D32,MAG_ONLY,C0,3.0042111231967947,2.99348744864939,-0.35823348957895185,time,-0.3874899788863967,-0.3270744469341758,,,True,True
electricity,shape,PULSE8_D32,MAG_ONLY,C2,3.0042111231967947,2.9846648413852037,-0.6548903428138075,time,-0.6821662046671434,-0.6235827674696004,,,True,True
electricity,shape,PULSE8_D32,OUTPUT_CONTEXT,C0,2.998752880764086,2.99348744864939,-0.17589624827296646,time,-0.17740520762684564,-0.17430973951576278,,,True,True
electricity,shape,PULSE8_D32,OUTPUT_CONTEXT,C2,2.998752880764086,2.9846648413852037,-0.47201411641060176,time,-0.5131916472291953,-0.42539596074577135,,,True,True
electricity,shape,RAMP8_D32,C3,POS_ONLY,0.4848126867766814,0.4944890800139614,1.9568466986180644,time,1.6093059267211205,2.348280468099227,1.5299713410749636,2.4315312166736396,True,True
electricity,shape,RAMP8_D32,C3,MAG_ONLY,0.4848126867766814,0.4831926443708302,-0.3352787805701585,time,-0.4424660316316087,-0.23119565465091974,-0.4719536952970471,-0.21045020663868663,True,True
electricity,shape,RAMP8_D32,C3,OUTPUT_CONTEXT,0.4848126867766814,0.4825270213305565,-0.47368651807770945,time,-0.8412376853445402,-0.11841815919119043,-0.922706637857364,-0.025532899695135388,True,True
electricity,shape,RAMP8_D32,C3,C0,0.4848126867766814,0.4856188009238579,0.16599731016240238,time,-0.19042241466085186,0.5190800968915721,,,True,True
electricity,shape,RAMP8_D32,C3,C2,0.4848126867766814,0.49661499753309163,2.3765514160944745,time,2.0259046352836845,2.7546295748641128,,,True,True
electricity,shape,RAMP8_D32,C3,M_RECENCY,0.4848126867766814,0.48549553167679027,0.14064905968351749,time,-0.011879104018435727,0.2867558377650811,,,True,True
electricity,shape,RAMP8_D32,C3,M_MEAN,0.4848126867766814,0.49610659683776137,2.2765087449085786,time,1.9455461582637212,2.633378658679744,,,True,True
electricity,shape,RAMP8_D32,C3,M_ROTATE16,0.4848126867766814,0.4963991815647389,2.3341083584253353,time,2.014317668857234,2.6857368828152004,,,True,True
electricity,shape,RAMP8_D32,C3,F0,0.4848126867766814,0.4696372074946977,-3.2313196313678016,time,-7.979759106004471,1.2452522723663924,,,True,True
electricity,shape,RAMP8_D32,POS_ONLY,C0,0.4944890800139614,0.4856188009238579,-1.826593013538269,time,-2.218924675264105,-1.4437296254040162,,,True,True
electricity,shape,RAMP8_D32,POS_ONLY,C2,0.4944890800139614,0.49661499753309163,0.4280816184953351,time,0.29081765182213865,0.5766515535113609,,,True,True
electricity,shape,RAMP8_D32,MAG_ONLY,C0,0.4831926443708302,0.4856188009238579,0.4996010344764379,time,0.20219213993526108,0.8148280383129624,,,True,True
electricity,shape,RAMP8_D32,MAG_ONLY,C2,0.4831926443708302,0.49661499753309163,2.7027683877724695,time,2.363590360707114,3.04742349596285,,,True,True
electricity,shape,RAMP8_D32,OUTPUT_CONTEXT,C0,0.4825270213305565,0.4856188009238579,0.6366680176754791,time,0.5699200325528212,0.7054701842629235,,,True,True
electricity,shape,RAMP8_D32,OUTPUT_CONTEXT,C2,0.4825270213305565,0.49661499753309163,2.8368003931649954,time,2.3919171402754165,3.2667532600232394,,,True,True
electricity,shape,STEP12_D17,C3,POS_ONLY,0.29322235051179013,0.29630957422120785,1.0418913116566952,time,0.5597475388434368,1.524704528514814,0.47235884536853207,1.659288789876495,True,True
electricity,shape,STEP12_D17,C3,MAG_ONLY,0.29322235051179013,0.2902391719398626,-1.0278345793191646,time,-1.2362053437218072,-0.838229454788823,-1.2801489670330475,-0.7964237067663863,True,True
electricity,shape,STEP12_D17,C3,OUTPUT_CONTEXT,0.29322235051179013,0.302732074407006,3.14130041022036,time,2.4181895440260437,3.860721526746494,2.223161913081899,3.9888814497070535,True,True
electricity,shape,STEP12_D17,C3,C0,0.29322235051179013,0.31231433509618406,6.113067009400686,time,5.144192551760307,7.11214017178702,,,True,True
