stage,config,episode,panel,model,n_origins,n_forecast_points,alpha,status,mae_K,rmse_K,p90_abs_K
TRAIN_FORWARD,SUPPLY_15M,2,ALL,PERSISTENCE,130,3900,,OBSERVED,0.681031055482449,1.955929742160114,1.6798155090069642
TRAIN_FORWARD,SUPPLY_15M,2,ALL,CURRENT_PLAN_TUNED,130,3900,0.01,OBSERVED,0.16425757018876488,0.3543126552440072,0.2951828515258057
TRAIN_FORWARD,SUPPLY_15M,2,ALL,CURRENT_PLAN_A1,130,3900,1.0,OBSERVED,0.17633013011991108,0.3615075027884475,0.35402496912594184
TRAIN_FORWARD,SUPPLY_15M,2,ALL,HISTORY_SUMMARY_PLAN_TUNED,130,3900,0.01,OBSERVED,0.16620754849631345,0.35728736560508073,0.3148590846827233
TRAIN_FORWARD,SUPPLY_15M,2,ALL,HISTORY_SUMMARY_PLAN_A1,130,3900,1.0,OBSERVED,0.17327851665968821,0.364739111306206,0.34813217412195163
TRAIN_FORWARD,SUPPLY_15M,2,ALL,HISTORY_LAGS_PLAN_TUNED,130,3900,0.01,OBSERVED,0.17531952392410852,0.35520481223839817,0.36740885305911775
TRAIN_FORWARD,SUPPLY_15M,2,ALL,HISTORY_LAGS_PLAN_A1,130,3900,1.0,OBSERVED,0.17832513156302154,0.35507705019928293,0.37567455388838195
TRAIN_FORWARD,SUPPLY_15M,2,RECENT_OR_PLANNED_CHANGE,PERSISTENCE,37,1110,,OBSERVED,2.166463227691297,3.6580428880554723,7.335419337401586
TRAIN_FORWARD,SUPPLY_15M,2,RECENT_OR_PLANNED_CHANGE,CURRENT_PLAN_TUNED,37,1110,0.01,OBSERVED,0.36737553666716155,0.6399342740398521,1.2666270566455353
TRAIN_FORWARD,SUPPLY_15M,2,RECENT_OR_PLANNED_CHANGE,CURRENT_PLAN_A1,37,1110,1.0,OBSERVED,0.3678084346932586,0.6428663600327902,1.2458708711092927
TRAIN_FORWARD,SUPPLY_15M,2,RECENT_OR_PLANNED_CHANGE,HISTORY_SUMMARY_PLAN_TUNED,37,1110,0.01,OBSERVED,0.3623051540073951,0.6417399241888854,1.218241311276404
TRAIN_FORWARD,SUPPLY_15M,2,RECENT_OR_PLANNED_CHANGE,HISTORY_SUMMARY_PLAN_A1,37,1110,1.0,OBSERVED,0.36594589063002275,0.6492199882678144,1.214154441160315
