stage,config,episode,panel,comparison,n_origins,mean_MAE_reduction_K,relative_MAE_reduction_pct,origin_positive_fraction,status
TRAIN_FORWARD,SUPPLY_15M,2,ALL,HISTORY_SUMMARY_PLAN_TUNED__vs__CURRENT_PLAN_TUNED,130,-0.0019499783075485457,-1.1871466899867262,0.46153846153846156,OBSERVED
TRAIN_FORWARD,SUPPLY_15M,2,RECENT_OR_PLANNED_CHANGE,HISTORY_SUMMARY_PLAN_TUNED__vs__CURRENT_PLAN_TUNED,37,0.005070382659766479,1.3801633896924916,0.4594594594594595,OBSERVED
TRAIN_FORWARD,SUPPLY_15M,2,RECENT_PAST_CHANGE,HISTORY_SUMMARY_PLAN_TUNED__vs__CURRENT_PLAN_TUNED,13,0.009250704678965329,13.007980860268761,0.6153846153846154,OBSERVED
TRAIN_FORWARD,SUPPLY_15M,2,CHANGE_IN_PLAN,HISTORY_SUMMARY_PLAN_TUNED__vs__CURRENT_PLAN_TUNED,24,0.002806041566033772,0.5315986262283269,0.375,OBSERVED
TRAIN_FORWARD,SUPPLY_15M,2,NO_RECENT_OR_PLANNED_CHANGE,HISTORY_SUMMARY_PLAN_TUNED__vs__CURRENT_PLAN_TUNED,93,-0.004743025144007214,-5.683863984656163,0.46236559139784944,OBSERVED
TRAIN_FORWARD,SUPPLY_15M,2,MULTIPLE_CHANGES_IN_CONTEXT,HISTORY_SUMMARY_PLAN_TUNED__vs__CURRENT_PLAN_TUNED,33,0.011283274403743894,8.372381123969177,0.6363636363636364,OBSERVED
TRAIN_FORWARD,SUPPLY_15M,2,ALL,HISTORY_LAGS_PLAN_TUNED__vs__CURRENT_PLAN_TUNED,130,-0.011061953735343643,-6.734516846091928,0.45384615384615384,OBSERVED
TRAIN_FORWARD,SUPPLY_15M,2,RECENT_OR_PLANNED_CHANGE,HISTORY_LAGS_PLAN_TUNED__vs__CURRENT_PLAN_TUNED,37,0.011689791097592923,3.1819731938721203,0.6486486486486487,OBSERVED
TRAIN_FORWARD,SUPPLY_15M,2,RECENT_PAST_CHANGE,HISTORY_LAGS_PLAN_TUNED__vs__CURRENT_PLAN_TUNED,13,0.01933344505935883,27.185937939089612,0.6923076923076923,OBSERVED
TRAIN_FORWARD,SUPPLY_15M,2,CHANGE_IN_PLAN,HISTORY_LAGS_PLAN_TUNED__vs__CURRENT_PLAN_TUNED,24,0.007549478534969729,1.430232704500803,0.625,OBSERVED
TRAIN_FORWARD,SUPPLY_15M,2,NO_RECENT_OR_PLANNED_CHANGE,HISTORY_LAGS_PLAN_TUNED__vs__CURRENT_PLAN_TUNED,93,-0.020113723185006583,-24.10353378645903,0.3763440860215054,OBSERVED
