target,seed,arm,variant,condition,metric,score,n
T0,73260,F0,RAW,S0,Brier,0.007623697916666667,75
T0,73260,F0,RAW,S0,energy,0.6588215668125172,75
T0,73260,F0,RAW,S0,marginal_CRPS_normalized,0.08884213034655988,75
T0,73260,F0,RAW,S0,sum_CRPS_Wh,543939.7512000306,75
T0,73260,F0,RAW,S0,sum_CRPS_normalized,0.052568302686549766,75
T0,73260,F0,RAW,S0,variogram,11781.35868476281,75
T0,73260,F0,RAW,S0,variogram_normalized,0.027326233599941623,75
T0,73260,F1,RAW,S0,Brier,0.011114908854166666,75
T0,73260,F1,RAW,S0,energy,0.6538071155797159,75
T0,73260,F1,RAW,S0,marginal_CRPS_normalized,0.08884213034655988,75
T0,73260,F1,RAW,S0,sum_CRPS_Wh,497965.44443045574,75
T0,73260,F1,RAW,S0,sum_CRPS_normalized,0.0481251795856265,75
T0,73260,F1,RAW,S0,variogram,11652.677195111606,75
T0,73260,F1,RAW,S0,variogram_normalized,0.027027763742577454,75
T0,73260,F2,RAW,S0,Brier,0.008209025065104167,75
T0,73260,F2,RAW,S0,energy,0.6539042337193665,75
T0,73260,F2,RAW,S0,marginal_CRPS_normalized,0.0888421303465599,75
T0,73260,F2,RAW,S0,sum_CRPS_Wh,501887.47012280097,75
T0,73260,F2,RAW,S0,sum_CRPS_normalized,0.04850421831792136,75
T0,73260,F2,RAW,S0,variogram,11687.153270473878,75
T0,73260,F2,RAW,S0,variogram_normalized,0.027107729162030907,75
T0,73260,F3,RAW,S0,Brier,0.008733723958333333,75
T0,73260,F3,RAW,S0,energy,0.6607216657176308,75
T0,73260,F3,RAW,S0,marginal_CRPS_normalized,0.0888421303465599,75
T0,73260,F3,RAW,S0,sum_CRPS_Wh,507805.85083990387,75
T0,73260,F3,RAW,S0,sum_CRPS_normalized,0.049076192012185306,75
T0,73260,F3,RAW,S0,variogram,11705.604254137794,75
T0,73260,F3,RAW,S0,variogram_normalized,0.027150525235322607,75
T1,73260,F0,RAW,S0,Brier,0.037626953125,75
T1,73260,F0,RAW,S0,energy,0.6177547800789136,75
T1,73260,F0,RAW,S0,marginal_CRPS_normalized,0.08512285504557648,75
