target,seed,arm,variant,condition,metric,date,id,value
T0,73260,F0,RAW,S0,sum_CRPS_normalized,2024-10-01,T0_TEST_1001,0.016432011434129506
T0,73260,F0,RAW,S0,sum_CRPS_Wh,2024-10-01,T0_TEST_1001,170026.87464519113
T0,73260,F0,RAW,S0,energy,2024-10-01,T0_TEST_1001,0.6297611489798767
T0,73260,F0,RAW,S0,variogram,2024-10-01,T0_TEST_1001,18548.358919772218
T0,73260,F0,RAW,S0,variogram_normalized,2024-10-01,T0_TEST_1001,0.043021930008190795
T0,73260,F0,RAW,S0,Brier,2024-10-01,T0_TEST_1001,0.0
T0,73260,F0,RAW,S0,marginal_CRPS_normalized,2024-10-01,T0_TEST_1001,0.0992620126362511
T0,73260,F1,RAW,S0,sum_CRPS_normalized,2024-10-01,T0_TEST_1001,0.028310840662949047
T0,73260,F1,RAW,S0,sum_CRPS_Wh,2024-10-01,T0_TEST_1001,292940.62846751057
T0,73260,F1,RAW,S0,energy,2024-10-01,T0_TEST_1001,0.6392932313097537
T0,73260,F1,RAW,S0,variogram,2024-10-01,T0_TEST_1001,18234.37686021626
T0,73260,F1,RAW,S0,variogram_normalized,2024-10-01,T0_TEST_1001,0.042293665354241027
T0,73260,F1,RAW,S0,Brier,2024-10-01,T0_TEST_1001,0.006103515625
T0,73260,F1,RAW,S0,marginal_CRPS_normalized,2024-10-01,T0_TEST_1001,0.0992620126362511
T0,73260,F2,RAW,S0,sum_CRPS_normalized,2024-10-01,T0_TEST_1001,0.024596487330274204
T0,73260,F2,RAW,S0,sum_CRPS_Wh,2024-10-01,T0_TEST_1001,254507.11769408593
T0,73260,F2,RAW,S0,energy,2024-10-01,T0_TEST_1001,0.635367004276381
T0,73260,F2,RAW,S0,variogram,2024-10-01,T0_TEST_1001,18272.758494700014
T0,73260,F2,RAW,S0,variogram_normalized,2024-10-01,T0_TEST_1001,0.042382689509936004
T0,73260,F2,RAW,S0,Brier,2024-10-01,T0_TEST_1001,0.0003814697265625
T0,73260,F2,RAW,S0,marginal_CRPS_normalized,2024-10-01,T0_TEST_1001,0.0992620126362511
T0,73260,F3,RAW,S0,sum_CRPS_normalized,2024-10-01,T0_TEST_1001,0.038426633109549545
T0,73260,F3,RAW,S0,sum_CRPS_Wh,2024-10-01,T0_TEST_1001,397611.7200833879
T0,73260,F3,RAW,S0,energy,2024-10-01,T0_TEST_1001,0.6595807375654278
T0,73260,F3,RAW,S0,variogram,2024-10-01,T0_TEST_1001,17989.360819220572
T0,73260,F3,RAW,S0,variogram_normalized,2024-10-01,T0_TEST_1001,0.04172536370490407
T0,73260,F3,RAW,S0,Brier,2024-10-01,T0_TEST_1001,0.0009765625
T0,73260,F3,RAW,S0,marginal_CRPS_normalized,2024-10-01,T0_TEST_1001,0.0992620126362511
T0,73260,F0,RAW,S0,sum_CRPS_normalized,2024-10-02,T0_TEST_1002,0.07586634053926096
T0,73260,F0,RAW,S0,sum_CRPS_Wh,2024-10-02,T0_TEST_1002,785011.4287205432
T0,73260,F0,RAW,S0,energy,2024-10-02,T0_TEST_1002,0.9447166502169719
T0,73260,F0,RAW,S0,variogram,2024-10-02,T0_TEST_1002,15281.127294119342
T0,73260,F0,RAW,S0,variogram_normalized,2024-10-02,T0_TEST_1002,0.03544376037456633
T0,73260,F0,RAW,S0,Brier,2024-10-02,T0_TEST_1002,0.06646728515625
T0,73260,F0,RAW,S0,marginal_CRPS_normalized,2024-10-02,T0_TEST_1002,0.1385523904782792
T0,73260,F1,RAW,S0,sum_CRPS_normalized,2024-10-02,T0_TEST_1002,0.06434295411398365
T0,73260,F1,RAW,S0,sum_CRPS_Wh,2024-10-02,T0_TEST_1002,665775.5465479407
T0,73260,F1,RAW,S0,energy,2024-10-02,T0_TEST_1002,0.9593740752284866
T0,73260,F1,RAW,S0,variogram,2024-10-02,T0_TEST_1002,15145.543360545951
T0,73260,F1,RAW,S0,variogram_normalized,2024-10-02,T0_TEST_1002,0.03512928066637976
T0,73260,F1,RAW,S0,Brier,2024-10-02,T0_TEST_1002,0.1181640625
T0,73260,F1,RAW,S0,marginal_CRPS_normalized,2024-10-02,T0_TEST_1002,0.13855239047827914
T0,73260,F2,RAW,S0,sum_CRPS_normalized,2024-10-02,T0_TEST_1002,0.06750558500053842
T0,73260,F2,RAW,S0,sum_CRPS_Wh,2024-10-02,T0_TEST_1002,698500.2222489556
T0,73260,F2,RAW,S0,energy,2024-10-02,T0_TEST_1002,0.9538240375903584
T0,73260,F2,RAW,S0,variogram,2024-10-02,T0_TEST_1002,14983.10930803132
T0,73260,F2,RAW,S0,variogram_normalized,2024-10-02,T0_TEST_1002,0.03475252353824473
T0,73260,F2,RAW,S0,Brier,2024-10-02,T0_TEST_1002,0.0769195556640625
T0,73260,F2,RAW,S0,marginal_CRPS_normalized,2024-10-02,T0_TEST_1002,0.13855239047827914
T0,73260,F3,RAW,S0,sum_CRPS_normalized,2024-10-02,T0_TEST_1002,0.06282013495028613
T0,73260,F3,RAW,S0,sum_CRPS_Wh,2024-10-02,T0_TEST_1002,650018.4869760666
T0,73260,F3,RAW,S0,energy,2024-10-02,T0_TEST_1002,0.9902038444471695
T0,73260,F3,RAW,S0,variogram,2024-10-02,T0_TEST_1002,15210.915406694508
T0,73260,F3,RAW,S0,variogram_normalized,2024-10-02,T0_TEST_1002,0.03528090764351882
T0,73260,F3,RAW,S0,Brier,2024-10-02,T0_TEST_1002,0.0791015625
T0,73260,F3,RAW,S0,marginal_CRPS_normalized,2024-10-02,T0_TEST_1002,0.13855239047827914
T0,73260,F0,RAW,S0,sum_CRPS_normalized,2024-10-03,T0_TEST_1003,0.036511908936826785
