target,arm,type,neural_fits,optimizer_updates,CAL_origins,coefficients
T0,F1,CPU_dependence_estimation,0,0,16,1
T0,F2,CPU_dependence_estimation,0,0,16,276
T0,F3,CPU_dependence_estimation,0,0,16,384
T1,F1,CPU_dependence_estimation,0,0,16,1
T1,F2,CPU_dependence_estimation,0,0,16,276
T1,F3,CPU_dependence_estimation,0,0,16,384
T2,F1,CPU_dependence_estimation,0,0,16,1
T2,F2,CPU_dependence_estimation,0,0,16,276
T2,F3,CPU_dependence_estimation,0,0,16,384
