scope,variant,condition,metric,method,baseline,method_score,baseline_score,gain_percent,ci_low,ci_high,replicates,bootstrap_seed
ALL,RAW,S0,Brier,F1,F0,0.02818305121527778,0.026143866644965277,-7.7998583683305425,-152.0476346592841,9.851208370065182,2000,73300
ALL,RAW,S0,Brier,F2,F0,0.026248508029513885,0.026143866644965277,-0.40025213549947053,-25.68118898440914,1.8793179127214548,2000,73300
ALL,RAW,S0,Brier,F2,F1,0.026248508029513885,0.02818305121527778,6.86420775020696,-8.84303639928834,52.00153188744658,2000,73300
ALL,RAW,S0,Brier,F3,F0,0.027961222330729164,0.026143866644965277,-6.951365344857541,-63.13808344261499,1.1725910980454421,2000,73300
ALL,RAW,S0,Brier,F3,F1,0.027961222330729164,0.02818305121527778,0.7871003137813686,-9.626992348001702,35.27467181782911,2000,73300
ALL,RAW,S0,energy,F1,F0,0.7069138554866425,0.713605746308084,0.9377574180228676,0.7604647085383607,1.146025107154545,2000,73300
ALL,RAW,S0,energy,F2,F0,0.7096940813072896,0.713605746308084,0.5481549190196194,0.48663720396722565,0.6191910108882053,2000,73300
ALL,RAW,S0,energy,F2,F1,0.7096940813072896,0.7069138554866425,-0.3932906108811739,-0.5615649156808136,-0.2431188495464258,2000,73300
ALL,RAW,S0,energy,F3,F0,0.7177573734699534,0.713605746308084,-0.5817816326939954,-0.7231027131197685,-0.4033085978580108,2000,73300
ALL,RAW,S0,energy,F3,F1,0.7177573734699534,0.7069138554866425,-1.5339235324290146,-1.6891111912547707,-1.368570722088294,2000,73300
ALL,RAW,S0,marginal_CRPS_normalized,F1,F0,0.1026864027285016,0.10268640272850159,-1.3514727791669485e-14,-2.785608336058002e-14,2.495347551904156e-14,2000,73300
ALL,RAW,S0,marginal_CRPS_normalized,F2,F0,0.1026864027285016,0.10268640272850159,-1.3514727791669485e-14,-2.7489560063895526e-14,2.6152776344079496e-14,2000,73300
ALL,RAW,S0,marginal_CRPS_normalized,F2,F1,0.1026864027285016,0.1026864027285016,0.0,-2.5819688312572613e-14,2.7261606394675574e-14,2000,73300
ALL,RAW,S0,marginal_CRPS_normalized,F3,F0,0.1026864027285016,0.10268640272850159,-1.3514727791669485e-14,-2.821433128517836e-14,1.3441782473343391e-14,2000,73300
ALL,RAW,S0,marginal_CRPS_normalized,F3,F1,0.1026864027285016,0.1026864027285016,0.0,-2.7232848565593664e-14,1.449603869590101e-14,2000,73300
ALL,RAW,S0,sum_CRPS_Wh,F1,F0,544469.9987612157,604649.4921845439,9.952789872675671,8.718535104659116,11.22195773930528,2000,73300
ALL,RAW,S0,sum_CRPS_Wh,F2,F0,558332.5482337679,604649.4921845439,7.660131125461974,6.93623555075364,8.334807252936878,2000,73300
ALL,RAW,S0,sum_CRPS_Wh,F2,F1,558332.5482337679,544469.9987612157,-2.546063052894075,-3.444125258992532,-1.723601825742197,2000,73300
ALL,RAW,S0,sum_CRPS_Wh,F3,F0,552953.5150077305,604649.4921845439,8.549742924622416,6.802716062188074,10.22116134282058,2000,73300
ALL,RAW,S0,sum_CRPS_Wh,F3,F1,552953.5150077305,544469.9987612157,-1.558123728730056,-2.640284630458302,-0.5799441832409324,2000,73300
ALL,RAW,S0,sum_CRPS_normalized,F1,F0,0.05824808590882099,0.06472956171897108,10.013161897016968,8.979022695512375,11.125474286714583,2000,73300
ALL,RAW,S0,sum_CRPS_normalized,F2,F0,0.05971446766193489,0.06472956171897108,7.7477645821389185,7.082551298598008,8.502574504823716,2000,73300
ALL,RAW,S0,sum_CRPS_normalized,F2,F1,0.05971446766193489,0.05824808590882099,-2.5174762916833187,-3.310292759127805,-1.8143574577876185,2000,73300
ALL,RAW,S0,sum_CRPS_normalized,F3,F0,0.059135084864114264,0.06472956171897108,8.642846801814782,6.812788561184398,10.462391177789465,2000,73300
ALL,RAW,S0,sum_CRPS_normalized,F3,F1,0.059135084864114264,0.05824808590882099,-1.5227950265726233,-3.01869240055373,-0.19989827815264977,2000,73300
ALL,RAW,S0,variogram,F1,F0,11276.69072804939,11534.105838968755,2.231773442286875,1.379808828585474,3.346052933425751,2000,73300
ALL,RAW,S0,variogram,F2,F0,11370.63319559422,11534.105838968755,1.4172979306486955,0.935009459258766,2.0233378187575815,2000,73300
ALL,RAW,S0,variogram,F2,F1,11370.63319559422,11276.69072804939,-0.8330676952162882,-1.3816995094391245,-0.41725110943619026,2000,73300
ALL,RAW,S0,variogram,F3,F0,11314.175744868602,11534.105838968755,1.906780613691824,0.94605595286862,3.0813270774767867,2000,73300
ALL,RAW,S0,variogram,F3,F1,11314.175744868602,11276.69072804939,-0.33241150017506577,-0.5709892060733196,-0.05047708417475258,2000,73300
ALL,RAW,S0,variogram_normalized,F1,F0,0.026901032591679908,0.027687901256469066,2.8419223887737304,1.8833269069355445,4.096380271117736,2000,73300
ALL,RAW,S0,variogram_normalized,F2,F0,0.027185129035451835,0.027687901256469066,1.8158552949178912,1.2765746765807333,2.522457686452083,2000,73300
ALL,RAW,S0,variogram_normalized,F2,F1,0.027185129035451835,0.026901032591679908,-1.0560800698029462,-1.705886051112166,-0.5755467992227634,2000,73300
ALL,RAW,S0,variogram_normalized,F3,F0,0.026926455207594336,0.027687901256469066,2.750103887692909,1.656691038221421,4.215094678744417,2000,73300
ALL,RAW,S0,variogram_normalized,F3,F1,0.026926455207594336,0.026901032591679908,-0.09450423818411557,-0.3348967306474772,0.24484766256590798,2000,73300
ADDITIONAL,RAW,S0,Brier,F1,F0,0.03671712239583333,0.03540395100911459,-3.709109715976819,-132.38879504504507,14.740316957820129,2000,73300
ADDITIONAL,RAW,S0,Brier,F2,F0,0.03526824951171875,0.03540395100911459,0.383294783570622,-22.897081864473158,4.084882920110184,2000,73300
ADDITIONAL,RAW,S0,Brier,F2,F1,0.03526824951171875,0.03671712239583333,3.9460414912008344,-14.233608486011395,49.67476736832595,2000,73300
ADDITIONAL,RAW,S0,Brier,F3,F0,0.03757497151692708,0.03540395100911459,-6.1321418822819425,-46.17361927144536,0.13073068197839977,2000,73300
