target,id,arm,lead,original_2pinball,ensemble_CRPS
T0,T0_TEST_1001,F0,0,40192.44014632939,41978.24828916414
T0,T0_TEST_1001,F0,1,83189.96819940477,86844.58959055506
T0,T0_TEST_1001,F0,2,37386.593452380956,39026.345925492235
T0,T0_TEST_1001,F0,3,55424.82125372024,57903.476137681835
T0,T0_TEST_1001,F0,4,102187.09257440477,106872.4014368141
T0,T0_TEST_1001,F0,5,52019.459724702385,54277.53668025043
T0,T0_TEST_1001,F0,6,46346.28410838294,48348.42596308861
T0,T0_TEST_1001,F0,7,116872.46211309524,122343.75569222495
T0,T0_TEST_1001,F0,8,51235.8090773809,53532.04349084238
T0,T0_TEST_1001,F0,9,34476.16589285715,36016.11408457905
T0,T0_TEST_1001,F0,10,20381.54150793653,21302.47713210446
T0,T0_TEST_1001,F0,11,9902.80359126984,10353.723551680057
T0,T0_TEST_1001,F0,12,11516.501081349195,12051.871280041843
T0,T0_TEST_1001,F0,13,13110.98044642857,13694.503814082593
T0,T0_TEST_1001,F0,14,18334.064811507957,19135.67199304895
T0,T0_TEST_1001,F0,15,21662.569861111104,22643.909390162153
T0,T0_TEST_1001,F0,16,47976.92978174602,50065.89200928186
T0,T0_TEST_1001,F0,17,38056.71090773808,39838.79100506735
T0,T0_TEST_1001,F0,18,44618.314102182536,46642.67726924729
T0,T0_TEST_1001,F0,19,44491.94632440476,46529.613576850854
T0,T0_TEST_1001,F0,20,42664.503690476195,44722.5078316219
T0,T0_TEST_1001,F0,21,12478.013100198412,12997.795095766938
T0,T0_TEST_1001,F0,22,18992.063918650783,19836.263121428507
T0,T0_TEST_1001,F0,23,19312.39560763889,20134.72223670641
T0,T0_TEST_1001,F1,0,40192.44014632939,41978.248289164214
T0,T0_TEST_1001,F1,1,83189.96819940477,86844.58959055506
T0,T0_TEST_1001,F1,2,37386.593452380956,39026.345925492235
T0,T0_TEST_1001,F1,3,55424.82125372024,57903.476137681864
T0,T0_TEST_1001,F1,4,102187.09257440477,106872.4014368141
T0,T0_TEST_1001,F1,5,52019.459724702385,54277.53668025043
T0,T0_TEST_1001,F1,6,46346.28410838294,48348.42596308864
T0,T0_TEST_1001,F1,7,116872.46211309524,122343.75569222495
T0,T0_TEST_1001,F1,8,51235.8090773809,53532.04349084235
T0,T0_TEST_1001,F1,9,34476.16589285715,36016.11408457905
T0,T0_TEST_1001,F1,10,20381.54150793653,21302.477132104446
T0,T0_TEST_1001,F1,11,9902.80359126984,10353.723551679992
T0,T0_TEST_1001,F1,12,11516.501081349195,12051.871280041822
T0,T0_TEST_1001,F1,13,13110.98044642857,13694.503814082593
T0,T0_TEST_1001,F1,14,18334.064811507957,19135.67199304892
T0,T0_TEST_1001,F1,15,21662.569861111104,22643.909390162138
T0,T0_TEST_1001,F1,16,47976.92978174602,50065.892009281844
T0,T0_TEST_1001,F1,17,38056.71090773808,39838.79100506738
T0,T0_TEST_1001,F1,18,44618.314102182536,46642.67726924733
T0,T0_TEST_1001,F1,19,44491.94632440476,46529.613576850854
T0,T0_TEST_1001,F1,20,42664.503690476195,44722.50783162193
T0,T0_TEST_1001,F1,21,12478.013100198412,12997.795095766873
T0,T0_TEST_1001,F1,22,18992.063918650783,19836.263121428514
T0,T0_TEST_1001,F1,23,19312.39560763889,20134.72223670641
T0,T0_TEST_1001,F2,0,40192.44014632939,41978.24828916414
T0,T0_TEST_1001,F2,1,83189.96819940477,86844.58959055506
T0,T0_TEST_1001,F2,2,37386.593452380956,39026.345925492235
T0,T0_TEST_1001,F2,3,55424.82125372024,57903.47613768195
T0,T0_TEST_1001,F2,4,102187.09257440477,106872.4014368141
T0,T0_TEST_1001,F2,5,52019.459724702385,54277.53668025043
T0,T0_TEST_1001,F2,6,46346.28410838294,48348.425963088666
T0,T0_TEST_1001,F2,7,116872.46211309524,122343.75569222495
T0,T0_TEST_1001,F2,8,51235.8090773809,53532.04349084242
T0,T0_TEST_1001,F2,9,34476.16589285715,36016.11408457905
