target,arm,id,metric,scalar,recorded,absolute_error
T0,F0,T0_TEST_1001,sum_CRPS_normalized,0.016432011434129423,0.0164320114341295,7.632783294297951e-17
T0,F0,T0_TEST_1001,sum_CRPS_Wh,170026.87464519026,170026.87464519113,8.731149137020111e-10
T0,F0,T0_TEST_1001,energy,0.6297611489798765,0.6297611489798767,2.220446049250313e-16
T0,F0,T0_TEST_1001,variogram,18548.358919772218,18548.358919772218,0.0
T0,F0,T0_TEST_1001,variogram_normalized,0.043021930008190795,0.0430219300081907,9.71445146547012e-17
T0,F0,T0_TEST_1001,Brier,0.0,0.0,0.0
T0,F1,T0_TEST_1001,sum_CRPS_normalized,0.028310840662949012,0.028310840662949,1.0408340855860843e-17
T0,F1,T0_TEST_1001,sum_CRPS_Wh,292940.6284675102,292940.62846751057,3.4924596548080444e-10
T0,F1,T0_TEST_1001,energy,0.6392932313097537,0.6392932313097537,0.0
T0,F1,T0_TEST_1001,variogram,18234.376860216256,18234.37686021626,3.637978807091713e-12
T0,F1,T0_TEST_1001,variogram_normalized,0.04229366535424102,0.042293665354241,2.0816681711721685e-17
T0,F1,T0_TEST_1001,Brier,0.006103515625,0.006103515625,0.0
T0,F2,T0_TEST_1001,sum_CRPS_normalized,0.024596487330274173,0.0245964873302742,2.7755575615628914e-17
T0,F2,T0_TEST_1001,sum_CRPS_Wh,254507.11769408558,254507.11769408596,3.7834979593753815e-10
T0,F2,T0_TEST_1001,energy,0.6353670042763812,0.635367004276381,1.1102230246251565e-16
T0,F2,T0_TEST_1001,variogram,18272.758494700014,18272.75849470001,3.637978807091713e-12
T0,F2,T0_TEST_1001,variogram_normalized,0.042382689509936004,0.042382689509936,6.938893903907228e-18
T0,F2,T0_TEST_1001,Brier,0.0003814697265625,0.0003814697265625,0.0
T0,F3,T0_TEST_1001,sum_CRPS_normalized,0.03842663310954952,0.0384266331095495,1.3877787807814457e-17
T0,F3,T0_TEST_1001,sum_CRPS_Wh,397611.7200833877,397611.7200833879,2.3283064365386963e-10
T0,F3,T0_TEST_1001,energy,0.6595807375654276,0.6595807375654278,2.220446049250313e-16
T0,F3,T0_TEST_1001,variogram,17989.360819220572,17989.360819220572,0.0
T0,F3,T0_TEST_1001,variogram_normalized,0.04172536370490407,0.041725363704904,6.938893903907228e-17
T0,F3,T0_TEST_1001,Brier,0.0009765625,0.0009765625,0.0
T1,F0,T1_TEST_1001,sum_CRPS_normalized,0.0571527904226859,0.0571527904226859,0.0
T1,F0,T1_TEST_1001,sum_CRPS_Wh,782006.3412179099,782006.3412179099,0.0
T1,F0,T1_TEST_1001,energy,0.7270865061947427,0.7270865061947425,2.220446049250313e-16
T1,F0,T1_TEST_1001,variogram,21722.59280728581,21722.592807285808,3.637978807091713e-12
T1,F0,T1_TEST_1001,variogram_normalized,0.03810220133668808,0.038102201336688,8.326672684688674e-17
T1,F0,T1_TEST_1001,Brier,0.0003814697265625,0.0003814697265625,0.0
T1,F1,T1_TEST_1001,sum_CRPS_normalized,0.05164545186677873,0.0516454518667787,2.7755575615628914e-17
T1,F1,T1_TEST_1001,sum_CRPS_Wh,706650.9011405031,706650.9011405031,0.0
T1,F1,T1_TEST_1001,energy,0.7214512691547789,0.7214512691547791,2.220446049250313e-16
T1,F1,T1_TEST_1001,variogram,21523.457890283295,21523.4578902833,3.637978807091713e-12
T1,F1,T1_TEST_1001,variogram_normalized,0.037752911600968796,0.0377529116009688,6.938893903907228e-18
T1,F1,T1_TEST_1001,Brier,0.01031494140625,0.01031494140625,0.0
T1,F2,T1_TEST_1001,sum_CRPS_normalized,0.05129439604592892,0.0512943960459289,2.0816681711721685e-17
T1,F2,T1_TEST_1001,sum_CRPS_Wh,701847.4982620841,701847.4982620841,0.0
T1,F2,T1_TEST_1001,energy,0.7251997279819024,0.7251997279819026,2.220446049250313e-16
T1,F2,T1_TEST_1001,variogram,21720.59941232458,21720.59941232458,0.0
T1,F2,T1_TEST_1001,variogram_normalized,0.03809870485094026,0.0380987048509402,6.245004513516506e-17
T1,F2,T1_TEST_1001,Brier,0.0003814697265625,0.0003814697265625,0.0
T1,F3,T1_TEST_1001,sum_CRPS_normalized,0.053851618987432195,0.0538516189874321,9.71445146547012e-17
T1,F3,T1_TEST_1001,sum_CRPS_Wh,736837.2956345971,736837.2956345968,2.3283064365386963e-10
T1,F3,T1_TEST_1001,energy,0.734160694115196,0.734160694115196,0.0
T1,F3,T1_TEST_1001,variogram,21896.17523100033,21896.17523100033,0.0
T1,F3,T1_TEST_1001,variogram_normalized,0.03840667108924278,0.0384066710892427,8.326672684688674e-17
T1,F3,T1_TEST_1001,Brier,0.00152587890625,0.00152587890625,0.0
T2,F0,T2_TEST_1001,sum_CRPS_normalized,0.01174049538526969,0.0117404953852696,9.020562075079397e-17
T2,F0,T2_TEST_1001,sum_CRPS_Wh,76247.1168255198,76247.11682551965,1.4551915228366852e-10
T2,F0,T2_TEST_1001,energy,0.5110177704546915,0.5110177704546915,0.0
T2,F0,T2_TEST_1001,variogram,4344.349183068424,4344.349183068423,9.094947017729282e-13
T2,F0,T2_TEST_1001,variogram_normalized,0.016054580524805497,0.0160545805248054,9.71445146547012e-17
T2,F0,T2_TEST_1001,Brier,0.0,0.0,0.0
T2,F1,T2_TEST_1001,sum_CRPS_normalized,0.02081573162662159,0.0208157316266215,8.673617379884035e-17
T2,F1,T2_TEST_1001,sum_CRPS_Wh,135185.05557567882,135185.05557567865,1.7462298274040222e-10
T2,F1,T2_TEST_1001,energy,0.5050726973972143,0.505072697397214,2.220446049250313e-16
T2,F1,T2_TEST_1001,variogram,4032.3834221616407,4032.3834221616416,9.094947017729282e-13
T2,F1,T2_TEST_1001,variogram_normalized,0.014901708318082307,0.0149017083180823,6.938893903907228e-18
T2,F1,T2_TEST_1001,Brier,0.0003814697265625,0.0003814697265625,0.0
T2,F2,T2_TEST_1001,sum_CRPS_normalized,0.015565759298595768,0.0155657592985957,6.765421556309548e-17
T2,F2,T2_TEST_1001,sum_CRPS_Wh,101089.7946612233,101089.7946612232,1.0186340659856796e-10
T2,F2,T2_TEST_1001,energy,0.5074290272851794,0.5074290272851794,0.0
T2,F2,T2_TEST_1001,variogram,4214.465161096431,4214.465161096431,0.0
