target,arm,lr,mean_best_validation,selected
T0,LATEST,0.0001,0.1821312760304259,False
T0,LATEST,3e-05,0.18111380983734532,True
T0,DROP,0.0001,0.18173022880777961,False
T0,DROP,3e-05,0.18134316531007388,True
T0,PATH,0.0001,0.1749114373042466,True
T0,PATH,3e-05,0.17705647432793137,False
T0,POINT,0.0001,0.17528888423176195,True
T0,POINT,3e-05,0.1765911860692262,False
T1,LATEST,0.0001,0.19674637332766928,False
T1,LATEST,3e-05,0.1939758923315063,True
T1,DROP,0.0001,0.19571741168914675,False
T1,DROP,3e-05,0.1946555356439249,True
T1,PATH,0.0001,0.1883113636656053,False
T1,PATH,3e-05,0.18804759388734524,True
T1,POINT,0.0001,0.1894805857435199,False
T1,POINT,3e-05,0.18865003530432137,True
T2,LATEST,0.0001,0.20293174551536475,True
T2,LATEST,3e-05,0.20488794599387883,False
T2,DROP,0.0001,0.20283981913713647,True
T2,DROP,3e-05,0.20798476218210513,False
T2,PATH,0.0001,0.19907968021905562,True
T2,PATH,3e-05,0.20210069223556107,False
T2,POINT,0.0001,0.20326912497994212,True
T2,POINT,3e-05,0.20541673221897405,False
