target,arm,seed,policy,variant,case,month,primary,n_origins
T0,FROZEN_WEATHER,-1,SELECTED,RAW,S0,10,0.10777309495711944,25
T0,FROZEN_WEATHER,-1,SELECTED,RAW,S1,10,0.13140153845002192,25
T0,FROZEN_WEATHER,-1,SELECTED,RAW,S2,10,0.1284927434126893,25
T0,FROZEN_WEATHER,-1,SELECTED,RAW,S3,10,0.15536851146245131,25
T0,FROZEN_WEATHER,-1,SELECTED,RAW,S0,11,0.08906837139192622,21
T0,FROZEN_WEATHER,-1,SELECTED,RAW,S1,11,0.08989885382101075,21
T0,FROZEN_WEATHER,-1,SELECTED,RAW,S2,11,0.10276391447563567,21
T0,FROZEN_WEATHER,-1,SELECTED,RAW,S3,11,0.1115469272074841,21
T0,FROZEN_WEATHER,-1,SELECTED,RAW,S0,12,0.06301737750886072,29
T0,FROZEN_WEATHER,-1,SELECTED,RAW,S1,12,0.0741012661200944,29
T0,FROZEN_WEATHER,-1,SELECTED,RAW,S2,12,0.0783727078757699,29
T0,FROZEN_WEATHER,-1,SELECTED,RAW,S3,12,0.08218339221229416,29
T0,FROZEN_WEATHER,-1,SELECTED,CALIBRATED,S0,10,0.11336866703682573,25
T0,FROZEN_WEATHER,-1,SELECTED,CALIBRATED,S1,10,0.13339337638956403,25
T0,FROZEN_WEATHER,-1,SELECTED,CALIBRATED,S2,10,0.12946603617386973,25
T0,FROZEN_WEATHER,-1,SELECTED,CALIBRATED,S3,10,0.15518991715646213,25
T0,FROZEN_WEATHER,-1,SELECTED,CALIBRATED,S0,11,0.09447575830053702,21
T0,FROZEN_WEATHER,-1,SELECTED,CALIBRATED,S1,11,0.09247169798784323,21
T0,FROZEN_WEATHER,-1,SELECTED,CALIBRATED,S2,11,0.10607242789437601,21
T0,FROZEN_WEATHER,-1,SELECTED,CALIBRATED,S3,11,0.11334842351281148,21
T0,FROZEN_WEATHER,-1,SELECTED,CALIBRATED,S0,12,0.06573141142975118,29
T0,FROZEN_WEATHER,-1,SELECTED,CALIBRATED,S1,12,0.07163231015972106,29
T0,FROZEN_WEATHER,-1,SELECTED,CALIBRATED,S2,12,0.07668679022086392,29
T0,FROZEN_WEATHER,-1,SELECTED,CALIBRATED,S3,12,0.07953442463713103,29
T0,FROZEN_HISTORY,-1,SELECTED,RAW,S0,10,0.15232245057925795,25
T0,FROZEN_HISTORY,-1,SELECTED,RAW,S1,10,0.15232245057925795,25
T0,FROZEN_HISTORY,-1,SELECTED,RAW,S2,10,0.15232245057925795,25
T0,FROZEN_HISTORY,-1,SELECTED,RAW,S3,10,0.15232245057925795,25
T0,FROZEN_HISTORY,-1,SELECTED,RAW,S0,11,0.13303939246502294,21
T0,FROZEN_HISTORY,-1,SELECTED,RAW,S1,11,0.13303939246502294,21
T0,FROZEN_HISTORY,-1,SELECTED,RAW,S2,11,0.13303939246502294,21
T0,FROZEN_HISTORY,-1,SELECTED,RAW,S3,11,0.13303939246502294,21
T0,FROZEN_HISTORY,-1,SELECTED,RAW,S0,12,0.08830379144573629,29
T0,FROZEN_HISTORY,-1,SELECTED,RAW,S1,12,0.08830379144573629,29
T0,FROZEN_HISTORY,-1,SELECTED,RAW,S2,12,0.08830379144573629,29
T0,FROZEN_HISTORY,-1,SELECTED,RAW,S3,12,0.08830379144573629,29
T0,FROZEN_HISTORY,-1,SELECTED,CALIBRATED,S0,10,0.1536158904348409,25
T0,FROZEN_HISTORY,-1,SELECTED,CALIBRATED,S1,10,0.1536158904348409,25
T0,FROZEN_HISTORY,-1,SELECTED,CALIBRATED,S2,10,0.1536158904348409,25
T0,FROZEN_HISTORY,-1,SELECTED,CALIBRATED,S3,10,0.1536158904348409,25
T0,FROZEN_HISTORY,-1,SELECTED,CALIBRATED,S0,11,0.13333989290751236,21
T0,FROZEN_HISTORY,-1,SELECTED,CALIBRATED,S1,11,0.13333989290751236,21
T0,FROZEN_HISTORY,-1,SELECTED,CALIBRATED,S2,11,0.13333989290751236,21
T0,FROZEN_HISTORY,-1,SELECTED,CALIBRATED,S3,11,0.13333989290751236,21
T0,FROZEN_HISTORY,-1,SELECTED,CALIBRATED,S0,12,0.08750847861641255,29
T0,FROZEN_HISTORY,-1,SELECTED,CALIBRATED,S1,12,0.08750847861641255,29
T0,FROZEN_HISTORY,-1,SELECTED,CALIBRATED,S2,12,0.08750847861641255,29
T0,FROZEN_HISTORY,-1,SELECTED,CALIBRATED,S3,12,0.08750847861641255,29
T1,FROZEN_WEATHER,-1,SELECTED,RAW,S0,10,0.11065447617941966,25
T1,FROZEN_WEATHER,-1,SELECTED,RAW,S1,10,0.12877423138112332,25
T1,FROZEN_WEATHER,-1,SELECTED,RAW,S2,10,0.12792338255755908,25
T1,FROZEN_WEATHER,-1,SELECTED,RAW,S3,10,0.14742836514908347,25
T1,FROZEN_WEATHER,-1,SELECTED,RAW,S0,11,0.07951403719255473,21
T1,FROZEN_WEATHER,-1,SELECTED,RAW,S1,11,0.0842477533958627,21
T1,FROZEN_WEATHER,-1,SELECTED,RAW,S2,11,0.09274239312434232,21
T1,FROZEN_WEATHER,-1,SELECTED,RAW,S3,11,0.10989468880749899,21
T1,FROZEN_WEATHER,-1,SELECTED,RAW,S0,12,0.05809037935340125,29
T1,FROZEN_WEATHER,-1,SELECTED,RAW,S1,12,0.07111250496530291,29
T1,FROZEN_WEATHER,-1,SELECTED,RAW,S2,12,0.07094536783420141,29
T1,FROZEN_WEATHER,-1,SELECTED,RAW,S3,12,0.07706738162520697,29
T1,FROZEN_WEATHER,-1,SELECTED,CALIBRATED,S0,10,0.11637488296626959,25
T1,FROZEN_WEATHER,-1,SELECTED,CALIBRATED,S1,10,0.13145451866445887,25
T1,FROZEN_WEATHER,-1,SELECTED,CALIBRATED,S2,10,0.12892550697949065,25
T1,FROZEN_WEATHER,-1,SELECTED,CALIBRATED,S3,10,0.14831362469077441,25
T1,FROZEN_WEATHER,-1,SELECTED,CALIBRATED,S0,11,0.08520350018430863,21
T1,FROZEN_WEATHER,-1,SELECTED,CALIBRATED,S1,11,0.08661234285826966,21
T1,FROZEN_WEATHER,-1,SELECTED,CALIBRATED,S2,11,0.09596217114958205,21
T1,FROZEN_WEATHER,-1,SELECTED,CALIBRATED,S3,11,0.11121051242623334,21
T1,FROZEN_WEATHER,-1,SELECTED,CALIBRATED,S0,12,0.06306361976778316,29
T1,FROZEN_WEATHER,-1,SELECTED,CALIBRATED,S1,12,0.06960278234672251,29
T1,FROZEN_WEATHER,-1,SELECTED,CALIBRATED,S2,12,0.06983112825967808,29
T1,FROZEN_WEATHER,-1,SELECTED,CALIBRATED,S3,12,0.07479424549134679,29
T1,FROZEN_HISTORY,-1,SELECTED,RAW,S0,10,0.1552630328513,25
T1,FROZEN_HISTORY,-1,SELECTED,RAW,S1,10,0.1552630328513,25
T1,FROZEN_HISTORY,-1,SELECTED,RAW,S2,10,0.1552630328513,25
T1,FROZEN_HISTORY,-1,SELECTED,RAW,S3,10,0.1552630328513,25
T1,FROZEN_HISTORY,-1,SELECTED,RAW,S0,11,0.11973218854752349,21
T1,FROZEN_HISTORY,-1,SELECTED,RAW,S1,11,0.11973218854752349,21
T1,FROZEN_HISTORY,-1,SELECTED,RAW,S2,11,0.11973218854752349,21
T1,FROZEN_HISTORY,-1,SELECTED,RAW,S3,11,0.11973218854752349,21
T1,FROZEN_HISTORY,-1,SELECTED,RAW,S0,12,0.08115498879187028,29
T1,FROZEN_HISTORY,-1,SELECTED,RAW,S1,12,0.08115498879187028,29
T1,FROZEN_HISTORY,-1,SELECTED,RAW,S2,12,0.08115498879187028,29
T1,FROZEN_HISTORY,-1,SELECTED,RAW,S3,12,0.08115498879187028,29
T1,FROZEN_HISTORY,-1,SELECTED,CALIBRATED,S0,10,0.154894660376907,25
T1,FROZEN_HISTORY,-1,SELECTED,CALIBRATED,S1,10,0.154894660376907,25
T1,FROZEN_HISTORY,-1,SELECTED,CALIBRATED,S2,10,0.154894660376907,25
T1,FROZEN_HISTORY,-1,SELECTED,CALIBRATED,S3,10,0.154894660376907,25
T1,FROZEN_HISTORY,-1,SELECTED,CALIBRATED,S0,11,0.11994776569465436,21
T1,FROZEN_HISTORY,-1,SELECTED,CALIBRATED,S1,11,0.11994776569465436,21
T1,FROZEN_HISTORY,-1,SELECTED,CALIBRATED,S2,11,0.11994776569465436,21
T1,FROZEN_HISTORY,-1,SELECTED,CALIBRATED,S3,11,0.11994776569465436,21
T1,FROZEN_HISTORY,-1,SELECTED,CALIBRATED,S0,12,0.0809539678161754,29
T1,FROZEN_HISTORY,-1,SELECTED,CALIBRATED,S1,12,0.0809539678161754,29
T1,FROZEN_HISTORY,-1,SELECTED,CALIBRATED,S2,12,0.0809539678161754,29
T1,FROZEN_HISTORY,-1,SELECTED,CALIBRATED,S3,12,0.0809539678161754,29
T2,FROZEN_WEATHER,-1,SELECTED,RAW,S0,10,0.12000407025789615,25
T2,FROZEN_WEATHER,-1,SELECTED,RAW,S1,10,0.12368244960238384,25
T2,FROZEN_WEATHER,-1,SELECTED,RAW,S2,10,0.1249518562775796,25
T2,FROZEN_WEATHER,-1,SELECTED,RAW,S3,10,0.11981136184665346,25
T2,FROZEN_WEATHER,-1,SELECTED,RAW,S0,11,0.14094083947099656,21
T2,FROZEN_WEATHER,-1,SELECTED,RAW,S1,11,0.14161882339582685,21
T2,FROZEN_WEATHER,-1,SELECTED,RAW,S2,11,0.1428651737394084,21
T2,FROZEN_WEATHER,-1,SELECTED,RAW,S3,11,0.14503701768784324,21
T2,FROZEN_WEATHER,-1,SELECTED,RAW,S0,12,0.12698615497955595,29
T2,FROZEN_WEATHER,-1,SELECTED,RAW,S1,12,0.12636774344505872,29
T2,FROZEN_WEATHER,-1,SELECTED,RAW,S2,12,0.13416143260254398,29
T2,FROZEN_WEATHER,-1,SELECTED,RAW,S3,12,0.13197759495336303,29
T2,FROZEN_WEATHER,-1,SELECTED,CALIBRATED,S0,10,0.12586162965632722,25
T2,FROZEN_WEATHER,-1,SELECTED,CALIBRATED,S1,10,0.13015796047054248,25
T2,FROZEN_WEATHER,-1,SELECTED,CALIBRATED,S2,10,0.13163626583276036,25
T2,FROZEN_WEATHER,-1,SELECTED,CALIBRATED,S3,10,0.1260163685420366,25
T2,FROZEN_WEATHER,-1,SELECTED,CALIBRATED,S0,11,0.1437108998399744,21
T2,FROZEN_WEATHER,-1,SELECTED,CALIBRATED,S1,11,0.14827437214525252,21
T2,FROZEN_WEATHER,-1,SELECTED,CALIBRATED,S2,11,0.14973901502106624,21
T2,FROZEN_WEATHER,-1,SELECTED,CALIBRATED,S3,11,0.1510231641679916,21
T2,FROZEN_WEATHER,-1,SELECTED,CALIBRATED,S0,12,0.12985843155406815,29
T2,FROZEN_WEATHER,-1,SELECTED,CALIBRATED,S1,12,0.1316210891171745,29
T2,FROZEN_WEATHER,-1,SELECTED,CALIBRATED,S2,12,0.1394608379247183,29
T2,FROZEN_WEATHER,-1,SELECTED,CALIBRATED,S3,12,0.13704176251966393,29
T2,FROZEN_HISTORY,-1,SELECTED,RAW,S0,10,0.14823776252753282,25
T2,FROZEN_HISTORY,-1,SELECTED,RAW,S1,10,0.14823776252753282,25
T2,FROZEN_HISTORY,-1,SELECTED,RAW,S2,10,0.14823776252753282,25
T2,FROZEN_HISTORY,-1,SELECTED,RAW,S3,10,0.14823776252753282,25
T2,FROZEN_HISTORY,-1,SELECTED,RAW,S0,11,0.14785530248781534,21
T2,FROZEN_HISTORY,-1,SELECTED,RAW,S1,11,0.14785530248781534,21
T2,FROZEN_HISTORY,-1,SELECTED,RAW,S2,11,0.14785530248781534,21
T2,FROZEN_HISTORY,-1,SELECTED,RAW,S3,11,0.14785530248781534,21
T2,FROZEN_HISTORY,-1,SELECTED,RAW,S0,12,0.1395296045026581,29
T2,FROZEN_HISTORY,-1,SELECTED,RAW,S1,12,0.1395296045026581,29
T2,FROZEN_HISTORY,-1,SELECTED,RAW,S2,12,0.1395296045026581,29
