month,scope,policy,variant,case,method,baseline,method_score,baseline_score,gain_percent,ci_low,ci_high,original_resamples,defined_month_resamples,undefined_empty_month_resamples,origins_per_target
10,T0,SELECTED,RAW,S0,PATH,LATEST,0.10574779474820631,0.10398950962122802,-1.6908293282492388,-9.032110850005932,4.983237879371404,2000,1986,14,25
10,T0,SELECTED,RAW,S1,PATH,LATEST,0.12516445306186064,0.12794095789208548,2.1701454139234664,-1.216784805372547,5.610995138117501,2000,1986,14,25
10,T0,SELECTED,RAW,S2,PATH,LATEST,0.12487664695593446,0.12596468803942282,0.8637667432223798,-7.183482779727667,5.211826920825537,2000,1986,14,25
10,T0,SELECTED,RAW,S3,PATH,LATEST,0.14399098397933524,0.15447004221546923,6.783877369255081,4.166960827605007,10.285776763914257,2000,1986,14,25
10,T0,SELECTED,RAW,MEAN,PATH,LATEST,0.12494496968633416,0.1280912994420514,2.4563180867258128,-0.4006985881148565,6.288033587873792,2000,1986,14,25
10,T0,SELECTED,RAW,WORST,PATH,LATEST,0.14399098397933524,0.15447004221546923,6.783877369255081,4.187811582443093,10.285776763914257,2000,1986,14,25
10,T1,SELECTED,RAW,S0,PATH,LATEST,0.1079453784626371,0.10824385725277266,0.275746631458769,-2.1072059615225065,3.255244831497512,2000,1986,14,25
10,T1,SELECTED,RAW,S1,PATH,LATEST,0.12370968741014567,0.12620810775855146,1.979603682186184,-0.9370428420146875,4.718501498621408,2000,1986,14,25
10,T1,SELECTED,RAW,S2,PATH,LATEST,0.12335386123964484,0.12580848906209374,1.9510828249732823,-3.3381666459836246,4.625283408147956,2000,1986,14,25
10,T1,SELECTED,RAW,S3,PATH,LATEST,0.13946544299579705,0.14646257414942326,4.777419210512876,3.1752765492806305,7.1621580345715055,2000,1986,14,25
10,T1,SELECTED,RAW,MEAN,PATH,LATEST,0.12361859252705616,0.1266807570557103,2.4172294197038107,-0.08550768389280337,4.705566289110664,2000,1986,14,25
10,T1,SELECTED,RAW,WORST,PATH,LATEST,0.13946544299579705,0.14646257414942326,4.777419210512876,3.330166266955157,7.1621580345715055,2000,1986,14,25
10,T2,SELECTED,RAW,S0,PATH,LATEST,0.12040260755607507,0.11748128630534344,-2.486626885527013,-11.025571282654534,4.039373470102517,2000,1986,14,25
10,T2,SELECTED,RAW,S1,PATH,LATEST,0.1239845371981492,0.11788368811470151,-5.1753123617166805,-13.436447281273093,2.852476407655335,2000,1986,14,25
10,T2,SELECTED,RAW,S2,PATH,LATEST,0.12623816214579656,0.12156262272233637,-3.846198213524632,-10.813754408028302,1.382599645012803,2000,1986,14,25
10,T2,SELECTED,RAW,S3,PATH,LATEST,0.12088585666133062,0.11558430547609166,-4.586739664526136,-13.109719140034514,2.0368352561182257,2000,1986,14,25
10,T2,SELECTED,RAW,MEAN,PATH,LATEST,0.12287779089033786,0.11812797565461824,-4.020906317405363,-12.08057613858655,2.589414657213447,2000,1986,14,25
10,T2,SELECTED,RAW,WORST,PATH,LATEST,0.12623816214579656,0.12156262272233637,-3.846198213524632,-10.813754408028302,2.852476407655335,2000,1986,14,25
10,ALL,SELECTED,RAW,S0,PATH,LATEST,0.11136526025563949,0.1099048843931147,-1.328763385348028,-5.344886641085872,3.5179134525790885,2000,1986,14,25
10,ALL,SELECTED,RAW,S1,PATH,LATEST,0.12428622589005182,0.12401091792177948,-0.22200300819157845,-3.976552198358106,4.243469261785966,2000,1986,14,25
